method,budget,frames,area_coverage_proxy_mean,confidence_max_proxy_mean,confidence_noisy_or_proxy_mean
area_aware_union,10,11,0.971586,0.368944,0.419209
area_aware_union,5,11,0.809362,0.260032,0.279318
comm_aware_topk,10,11,0.896644,0.344270,0.399242
comm_aware_topk,5,11,0.683664,0.227836,0.260247
confidence_topk,10,11,0.904559,0.344366,0.400669
confidence_topk,5,11,0.841084,0.229007,0.262318
full,10,11,1.000000,0.389933,0.462662
full,5,11,1.000000,0.389933,0.462662
random,10,11,0.840432,0.274485,0.317932
random,5,11,0.695183,0.183008,0.201180
