scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,4;8;12,4;12,12,"{""12"": 61}","{""4"": 4886, ""12"": 4891}",78256,12>4:0,,21,29,
2026_07_15_01_26_56,000060,11,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,1;2;10;11,11;10;2,10;2,"{""2"": 55, ""10"": 57}","{""2"": 4863, ""10"": 4953, ""11"": 4909}",157056,2>11:7;10>11:1,,32,51,
2026_07_15_01_26_56,000060,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,9;13;14;19,13;14;9,14;9,"{""9"": 50, ""14"": 53}","{""9"": 4858, ""13"": 4793, ""14"": 5044}",158432,9>13:8;14>13:2,,16,31,
2026_07_15_01_26_56,000060,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,6;15,15;6,6,"{""6"": 57}","{""6"": 4556, ""15"": 4740}",72896,6>15:3,,16,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,5;7;16;20,16;20;7,20;7,"{""7"": 56, ""20"": 54}","{""7"": 4908, ""16"": 4857, ""20"": 4909}",157072,7>16:6;20>16:4,,24,27,
2026_07_15_01_26_56,000060,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,3;17;18,17;3;18,3;18,"{""3"": 60, ""18"": 61}","{""3"": 4977, ""17"": 4967, ""18"": 5003}",159680,3>17:5;18>17:9,,22,25,
2026_07_15_01_26_56,000062,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,1;2;8;11,1;2;11,2;11,"{""2"": 53, ""11"": 56}","{""1"": 4921, ""2"": 4862, ""11"": 4909}",156336,2>1:0;11>1:6,,28,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,4;12,12;4,4,"{""4"": 60}","{""4"": 4848, ""12"": 4894}",77568,4>12:1,,17,32,
2026_07_15_01_26_56,000062,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,6;15,15;6,6,"{""6"": 57}","{""6"": 4561, ""15"": 4745}",72976,6>15:2,,15,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,5;7;16;20,16;20;7,20;7,"{""7"": 57, ""20"": 54}","{""7"": 4906, ""16"": 4866, ""20"": 4908}",157024,7>16:8;20>16:3,,22,27,
