scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,3,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;19,3;19,19,"{""19"": 6}","{""3"": 4977, ""19"": 46}",736,19>3:4,,9,12,
2026_07_15_01_26_56,000060,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;4,4;2,2,"{""2"": 2}","{""2"": 324, ""4"": 4886}",5184,2>4:2,,12,41,
2026_07_15_01_26_56,000060,10,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;18,10;18,18,"{""18"": 11}","{""10"": 4953, ""18"": 205}",3280,18>10:1,,12,36,
2026_07_15_01_26_56,000060,11,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,11;13,11;13,13,"{""13"": 4}","{""11"": 4909, ""13"": 129}",2064,13>11:5,,16,17,
2026_07_15_01_26_56,000060,12,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;15,12;15,15,"{""15"": 4}","{""12"": 4891, ""15"": 110}",1760,15>12:3,,10,31,
2026_07_15_01_26_56,000060,14,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,9;14,14;9,9,"{""9"": 4}","{""9"": 11, ""14"": 5044}",176,9>14:0,,0,15,
2026_07_15_01_26_56,000062,3,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;9,3;9,9,"{""9"": 4}","{""3"": 4976, ""9"": 11}",176,9>3:0,,7,16,
2026_07_15_01_26_56,000062,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;4,4;2,2,"{""2"": 2}","{""2"": 315, ""4"": 4848}",5040,2>4:2,,12,41,
2026_07_15_01_26_56,000062,10,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;18,10;18,18,"{""18"": 11}","{""10"": 4955, ""18"": 214}",3424,18>10:1,,11,35,
2026_07_15_01_26_56,000062,11,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,11;13,11;13,13,"{""13"": 4}","{""11"": 4909, ""13"": 129}",2064,13>11:5,,16,17,
2026_07_15_01_26_56,000062,12,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;15,12;15,15,"{""15"": 4}","{""12"": 4894, ""15"": 95}",1520,15>12:3,,7,29,
2026_07_15_01_26_56,000062,17,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,17;19,17;19,19,"{""19"": 6}","{""17"": 4985, ""19"": 46}",736,19>17:4,,6,16,
