scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;19,4,,{},"{""4"": 4886}",0,,,12,28,
2026_07_15_01_26_56,000060,11,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,11,11,,{},"{""11"": 4909}",0,,,16,13,
2026_07_15_01_26_56,000060,13,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,13,13,,{},"{""13"": 4793}",0,,,2,11,
2026_07_15_01_26_56,000060,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,15,15,,{},"{""15"": 4740}",0,,,13,9,
2026_07_15_01_26_56,000060,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,16;12,12,"{""12"": 5}","{""12"": 562, ""16"": 4857}",8992,12>16:5,,20,39,
2026_07_15_01_26_56,000060,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,9;17,17;9,9,"{""9"": 10}","{""9"": 1811, ""17"": 4967}",28976,9>17:0,,10,21,
2026_07_15_01_26_56,000062,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1,1,,{},"{""1"": 4921}",0,,,14,16,
2026_07_15_01_26_56,000062,12,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,12,,{},"{""12"": 4894}",0,,,7,20,
2026_07_15_01_26_56,000062,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,15,15,,{},"{""15"": 4745}",0,,,15,9,
2026_07_15_01_26_56,000062,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,16;12,12,"{""12"": 5}","{""12"": 574, ""16"": 4866}",9184,12>16:4,,16,38,
2026_07_15_01_26_56,000062,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;17,17;2,2,"{""2"": 24}","{""2"": 1247, ""17"": 4985}",19952,2>17:0,,9,34,
2026_07_15_01_26_56,000062,19,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;19,19;4,4,"{""4"": 5}","{""4"": 1075, ""19"": 4823}",17200,4>19:1,,4,32,
2026_07_15_01_26_56,000064,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1,1,,{},"{""1"": 4921}",0,,,15,15,
2026_07_15_01_26_56,000064,12,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,12,,{},"{""12"": 4896}",0,,,9,19,
2026_07_15_01_26_56,000064,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,15,15,,{},"{""15"": 4750}",0,,,14,9,
2026_07_15_01_26_56,000064,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,16;12,12,"{""12"": 5}","{""12"": 585, ""16"": 4850}",9360,12>16:6,,18,37,
2026_07_15_01_26_56,000064,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,8;17,17;8,8,"{""8"": 23}","{""8"": 488, ""17"": 4966}",7808,8>17:1,,13,29,
2026_07_15_01_26_56,000064,19,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;19,19;4,4,"{""4"": 5}","{""4"": 1121, ""19"": 4819}",17936,4>19:2,,5,33,
2026_07_15_01_26_56,000066,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1,1,,{},"{""1"": 4922}",0,,,16,16,
2026_07_15_01_26_56,000066,12,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,12,,{},"{""12"": 4884}",0,,,8,19,
2026_07_15_01_26_56,000066,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,15,15,,{},"{""15"": 4740}",0,,,13,9,
2026_07_15_01_26_56,000066,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,16;12,12,"{""12"": 5}","{""12"": 569, ""16"": 4854}",9104,12>16:5,,15,38,
2026_07_15_01_26_56,000066,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,8;17,17;8,8,"{""8"": 23}","{""8"": 489, ""17"": 4984}",7824,8>17:0,,7,29,
2026_07_15_01_26_56,000066,19,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;19,19;4,4,"{""4"": 5}","{""4"": 1200, ""19"": 4818}",19200,4>19:1,,5,32,
2026_07_15_01_26_56,000068,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1,1,,{},"{""1"": 4924}",0,,,16,16,
2026_07_15_01_26_56,000068,4,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;19,4,,{},"{""4"": 4848}",0,,,14,28,
2026_07_15_01_26_56,000068,13,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,13,13,,{},"{""13"": 4795}",0,,,0,11,
2026_07_15_01_26_56,000068,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,15,15,,{},"{""15"": 4743}",0,,,15,8,
2026_07_15_01_26_56,000068,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,16;12,12,"{""12"": 5}","{""12"": 592, ""16"": 4887}",9472,12>16:4,,16,38,
2026_07_15_01_26_56,000068,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,8;17,17;8,8,"{""8"": 23}","{""8"": 489, ""17"": 4976}",7824,8>17:0,,12,28,
2026_07_15_01_26_56,000070,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1,1,,{},"{""1"": 4925}",0,,,14,16,
2026_07_15_01_26_56,000070,11,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,11,11,,{},"{""11"": 4909}",0,,,16,14,
2026_07_15_01_26_56,000070,13,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,13,13,,{},"{""13"": 4795}",0,,,0,11,
2026_07_15_01_26_56,000070,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,15,15,,{},"{""15"": 4740}",0,,,14,8,
2026_07_15_01_26_56,000070,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,16;12,12,"{""12"": 5}","{""12"": 601, ""16"": 4856}",9616,12>16:4,,15,38,
2026_07_15_01_26_56,000070,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,8;17,17;8,8,"{""8"": 23}","{""8"": 491, ""17"": 4972}",7856,8>17:0,,13,29,
2026_07_15_01_26_56,000072,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1,1,,{},"{""1"": 4928}",0,,,15,15,
2026_07_15_01_26_56,000072,4,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;19,4,,{},"{""4"": 4868}",0,,,13,27,
2026_07_15_01_26_56,000072,13,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,13,13,,{},"{""13"": 4800}",0,,,3,10,
2026_07_15_01_26_56,000072,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,15,15,,{},"{""15"": 4748}",0,,,12,9,
2026_07_15_01_26_56,000072,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,16;12,12,"{""12"": 5}","{""12"": 612, ""16"": 4868}",9792,12>16:7,,17,35,
2026_07_15_01_26_56,000072,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;17,17;10,10,"{""10"": 33}","{""10"": 4684, ""17"": 4977}",74944,10>17:2,,18,33,
2026_07_15_01_26_56,000074,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1,1,,{},"{""1"": 4931}",0,,,17,15,
2026_07_15_01_26_56,000074,12,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,12,,{},"{""12"": 4881}",0,,,8,19,
2026_07_15_01_26_56,000074,13,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,13,13,,{},"{""13"": 4800}",0,,,3,11,
2026_07_15_01_26_56,000074,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,15,15,,{},"{""15"": 4753}",0,,,13,9,
2026_07_15_01_26_56,000074,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;17,17;10,10,"{""10"": 34}","{""10"": 4708, ""17"": 4954}",75328,10>17:1,,20,33,
2026_07_15_01_26_56,000074,20,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;20,20;5,5,"{""5"": 5}","{""5"": 639, ""20"": 4907}",10224,5>20:3,,21,27,
2026_07_15_01_26_56,000076,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1,1,,{},"{""1"": 4934}",0,,,15,16,
2026_07_15_01_26_56,000076,4,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;19,4,,{},"{""4"": 4853}",0,,,11,27,
2026_07_15_01_26_56,000076,13,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,13,13,,{},"{""13"": 4773}",0,,,2,11,
2026_07_15_01_26_56,000076,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,15,15,,{},"{""15"": 4754}",0,,,14,9,
2026_07_15_01_26_56,000076,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,16;12,12,"{""12"": 5}","{""12"": 642, ""16"": 4885}",10272,12>16:6,,14,35,
2026_07_15_01_26_56,000076,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;17,17;10,10,"{""10"": 32}","{""10"": 4694, ""17"": 5003}",75104,10>17:1,,18,33,
2026_07_15_01_26_56,000078,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1,1,,{},"{""1"": 4934}",0,,,17,16,
2026_07_15_01_26_56,000078,4,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;19,4,,{},"{""4"": 4858}",0,,,10,30,
2026_07_15_01_26_56,000078,13,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,13,13,,{},"{""13"": 4778}",0,,,1,10,
2026_07_15_01_26_56,000078,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,15,15,,{},"{""15"": 4753}",0,,,13,9,
2026_07_15_01_26_56,000078,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;16,16;12,12,"{""12"": 5}","{""12"": 662, ""16"": 4880}",10592,12>16:6,,15,38,
2026_07_15_01_26_56,000078,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;17,17;10,10,"{""10"": 33}","{""10"": 4705, ""17"": 4995}",75280,10>17:1,,16,34,
