scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;13,1;13,13,"{""13"": 2}","{""1"": 4918, ""13"": 1837}",29392,13>1:7,,15,26,
2026_07_15_01_26_56,000060,2,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;7,2;7,7,"{""7"": 17}","{""2"": 4863, ""7"": 1855}",29680,7>2:3,,23,37,
2026_07_15_01_26_56,000060,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;4,4;3,3,"{""3"": 4}","{""3"": 345, ""4"": 4886}",5520,3>4:1,,12,33,
2026_07_15_01_26_56,000060,10,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;19,10;19,19,"{""19"": 2}","{""10"": 4953, ""19"": 40}",640,19>10:6,,11,33,
2026_07_15_01_26_56,000060,12,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;17,12;17,17,"{""17"": 5}","{""12"": 4891, ""17"": 1609}",25744,17>12:4,,10,32,
2026_07_15_01_26_56,000060,15,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,9;15,15;9,9,"{""9"": 1}","{""9"": 3, ""15"": 4740}",48,9>15:5,,13,24,
2026_07_15_01_26_56,000060,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;16,16;5,5,"{""5"": 2}","{""5"": 13, ""16"": 4857}",208,5>16:2,,17,29,
2026_07_15_01_26_56,000060,20,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,11;20,20;11,11,"{""11"": 2}","{""11"": 14, ""20"": 4909}",224,11>20:0,,21,28,
2026_07_15_01_26_56,000062,1,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;13,1;13,13,"{""13"": 2}","{""1"": 4921, ""13"": 1837}",29392,13>1:7,,14,26,
2026_07_15_01_26_56,000062,2,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;7,2;7,7,"{""7"": 17}","{""2"": 4862, ""7"": 1849}",29584,7>2:3,,28,39,
2026_07_15_01_26_56,000062,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;4,4;3,3,"{""3"": 5}","{""3"": 385, ""4"": 4848}",6160,3>4:2,,12,34,
2026_07_15_01_26_56,000062,10,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;19,10;19,19,"{""19"": 2}","{""10"": 4955, ""19"": 38}",608,19>10:6,,10,32,
2026_07_15_01_26_56,000062,12,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,12;17,12;17,17,"{""17"": 5}","{""12"": 4894, ""17"": 1535}",24560,17>12:4,,7,29,
2026_07_15_01_26_56,000062,15,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,9;15,15;9,9,"{""9"": 1}","{""9"": 3, ""15"": 4745}",48,9>15:5,,15,24,
2026_07_15_01_26_56,000062,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;16,16;5,5,"{""5"": 2}","{""5"": 13, ""16"": 4866}",208,5>16:1,,14,29,
2026_07_15_01_26_56,000062,20,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,11;20,20;11,11,"{""11"": 2}","{""11"": 14, ""20"": 4908}",224,11>20:0,,21,28,
2026_07_15_01_26_56,000064,1,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;13,1;13,13,"{""13"": 2}","{""1"": 4921, ""13"": 1822}",29152,13>1:7,,15,25,
2026_07_15_01_26_56,000064,2,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;7,2;7,7,"{""7"": 17}","{""2"": 4878, ""7"": 1852}",29632,7>2:3,,24,42,
2026_07_15_01_26_56,000064,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 5}","{""4"": 4872, ""17"": 1488}",23808,17>4:4,,15,33,
2026_07_15_01_26_56,000064,10,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;19,10;19,19,"{""19"": 2}","{""10"": 4948, ""19"": 34}",544,19>10:6,,11,31,
2026_07_15_01_26_56,000064,12,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;12,12;3,3,"{""3"": 21}","{""3"": 2256, ""12"": 4896}",36096,3>12:0,,12,25,
2026_07_15_01_26_56,000064,15,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,9;15,15;9,9,"{""9"": 1}","{""9"": 3, ""15"": 4750}",48,9>15:5,,14,24,
2026_07_15_01_26_56,000064,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;16,16;5,5,"{""5"": 2}","{""5"": 12, ""16"": 4850}",192,5>16:2,,16,28,
2026_07_15_01_26_56,000064,20,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,11;20,20;11,11,"{""11"": 2}","{""11"": 12, ""20"": 4908}",192,11>20:1,,18,28,
2026_07_15_01_26_56,000066,1,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;13,1;13,13,"{""13"": 2}","{""1"": 4922, ""13"": 1809}",28944,13>1:7,,16,26,
2026_07_15_01_26_56,000066,2,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;7,2;7,7,"{""7"": 17}","{""2"": 4878, ""7"": 1845}",29520,7>2:4,,23,40,
