scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,3,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,3;17,3;17,17,{},"{""3"": 4977, ""17"": 4967}",79472,17>3:6,,11,16,
2026_07_15_01_26_56,000060,6,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,6;15,6;15,15,{},"{""6"": 4556, ""15"": 4740}",75840,15>6:0,,14,17,
2026_07_15_01_26_56,000060,12,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,9;12,12;9,9,{},"{""9"": 4858, ""12"": 4891}",77728,9>12:4,,16,35,
2026_07_15_01_26_56,000060,14,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,5;14,14;5,5,{},"{""5"": 4909, ""14"": 5044}",78544,5>14:2,,13,9,
2026_07_15_01_26_56,000060,18,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,18;20,18;20,20,{},"{""18"": 5003, ""20"": 4909}",78544,20>18:0,,19,22,
2026_07_15_01_26_56,000062,3,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,3;17,3;17,17,{},"{""3"": 4976, ""17"": 4985}",79760,17>3:6,,10,15,
2026_07_15_01_26_56,000062,6,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,6;15,6;15,15,{},"{""6"": 4561, ""15"": 4745}",75920,15>6:0,,16,17,
2026_07_15_01_26_56,000062,12,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,9;12,12;9,9,{},"{""9"": 4859, ""12"": 4894}",77744,9>12:4,,13,33,
2026_07_15_01_26_56,000062,14,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,5;14,14;5,5,{},"{""5"": 4912, ""14"": 5042}",78592,5>14:2,,14,9,
2026_07_15_01_26_56,000062,18,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,18;20,18;20,20,{},"{""18"": 5017, ""20"": 4908}",78528,20>18:0,,20,23,
2026_07_15_01_26_56,000064,3,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,3;17,3;17,17,{},"{""3"": 4976, ""17"": 4966}",79456,17>3:5,,9,15,
2026_07_15_01_26_56,000064,6,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,6;15,6;15,15,{},"{""6"": 4595, ""15"": 4750}",76000,15>6:0,,16,17,
2026_07_15_01_26_56,000064,12,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,9;12,12;9,9,{},"{""9"": 4856, ""12"": 4896}",77696,9>12:3,,17,34,
2026_07_15_01_26_56,000064,14,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,5;14,14;5,5,{},"{""5"": 4913, ""14"": 5060}",78608,5>14:1,,11,9,
2026_07_15_01_26_56,000064,16,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,16;18,16;18,18,{},"{""16"": 4850, ""18"": 5016}",80256,18>16:0,,11,25,
2026_07_15_01_26_56,000066,3,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,3;17,3;17,17,{},"{""3"": 4982, ""17"": 4984}",79744,17>3:6,,9,15,
2026_07_15_01_26_56,000066,6,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,6;15,6;15,15,{},"{""6"": 4590, ""15"": 4740}",75840,15>6:0,,14,17,
2026_07_15_01_26_56,000066,12,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,12;19,12;19,19,{},"{""12"": 4884, ""19"": 4818}",77088,19>12:4,,8,27,
2026_07_15_01_26_56,000066,14,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,5;14,14;5,5,{},"{""5"": 4912, ""14"": 5042}",78592,5>14:2,,12,9,
2026_07_15_01_26_56,000066,18,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,18;20,18;20,20,{},"{""18"": 5001, ""20"": 4909}",78544,20>18:0,,17,23,
2026_07_15_01_26_56,000068,3,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,3;17,3;17,17,{},"{""3"": 4987, ""17"": 4976}",79616,17>3:6,,9,15,
2026_07_15_01_26_56,000068,6,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,6;15,6;15,15,{},"{""6"": 4599, ""15"": 4743}",75888,15>6:0,,16,16,
2026_07_15_01_26_56,000068,12,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,12;13,12;13,13,{},"{""12"": 4882, ""13"": 4795}",76720,13>12:4,,10,26,
2026_07_15_01_26_56,000068,14,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,5;14,14;5,5,{},"{""5"": 4912, ""14"": 5028}",78592,5>14:2,,12,10,
2026_07_15_01_26_56,000068,18,all-scheduled-receivers,fullperception_pcs,full_cluster,utility,utility,none,0,0,,coalition_game,6,18;20,18;20,20,{},"{""18"": 5012, ""20"": 4909}",78544,20>18:0,,17,23,
