scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,2,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;6,2;6,6,"{""6"": 6}","{""2"": 4863, ""6"": 58}",928,6>2:1,,16,30,
2026_07_15_01_26_56,000060,3,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;3,3;1,1,"{""1"": 17}","{""1"": 386, ""3"": 4977}",6176,1>3:0,,15,22,
2026_07_15_01_26_56,000060,5,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;13,5;13,13,"{""13"": 4}","{""5"": 4909, ""13"": 227}",3632,13>5:3,,12,20,
2026_07_15_01_26_56,000060,7,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,7;19,7;19,19,"{""19"": 5}","{""7"": 4908, ""19"": 3549}",56784,19>7:5,,14,21,
2026_07_15_01_26_56,000060,17,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,9;17,17;9,9,"{""9"": 1}","{""9"": 32, ""17"": 4967}",512,9>17:2,,9,21,
2026_07_15_01_26_56,000060,20,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;20,20;10,10,"{""10"": 10}","{""10"": 3412, ""20"": 4909}",54592,10>20:4,,26,39,
2026_07_15_01_26_56,000062,2,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;6,2;6,6,"{""6"": 6}","{""2"": 4862, ""6"": 58}",928,6>2:1,,19,32,
2026_07_15_01_26_56,000062,3,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;3,3;1,1,"{""1"": 17}","{""1"": 388, ""3"": 4976}",6208,1>3:0,,12,22,
2026_07_15_01_26_56,000062,5,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;13,5;13,13,"{""13"": 4}","{""5"": 4912, ""13"": 227}",3632,13>5:2,,14,20,
2026_07_15_01_26_56,000062,7,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,7;19,7;19,19,"{""19"": 5}","{""7"": 4906, ""19"": 3541}",56656,19>7:4,,13,20,
2026_07_15_01_26_56,000062,20,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;20,20;10,10,"{""10"": 10}","{""10"": 3375, ""20"": 4908}",54000,10>20:3,,27,39,
2026_07_15_01_26_56,000064,2,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;6,2;6,6,"{""6"": 6}","{""2"": 4878, ""6"": 58}",928,6>2:1,,16,34,
2026_07_15_01_26_56,000064,3,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;3,3;1,1,"{""1"": 17}","{""1"": 391, ""3"": 4976}",6256,1>3:0,,9,21,
2026_07_15_01_26_56,000064,5,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;13,5;13,13,"{""13"": 4}","{""5"": 4913, ""13"": 240}",3840,13>5:2,,11,20,
2026_07_15_01_26_56,000064,7,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,7;19,7;19,19,"{""19"": 5}","{""7"": 4911, ""19"": 3528}",56448,19>7:4,,15,22,
2026_07_15_01_26_56,000064,20,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;20,20;10,10,"{""10"": 10}","{""10"": 3314, ""20"": 4908}",53024,10>20:3,,24,37,
2026_07_15_01_26_56,000066,2,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;6,2;6,6,"{""6"": 6}","{""2"": 4878, ""6"": 57}",912,6>2:1,,15,32,
2026_07_15_01_26_56,000066,3,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;3,3;1,1,"{""1"": 17}","{""1"": 387, ""3"": 4982}",6192,1>3:0,,9,22,
2026_07_15_01_26_56,000066,5,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;13,5;13,13,"{""13"": 4}","{""5"": 4912, ""13"": 253}",4048,13>5:2,,12,20,
2026_07_15_01_26_56,000066,7,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,7;19,7;19,19,"{""19"": 5}","{""7"": 4902, ""19"": 3529}",56464,19>7:4,,14,22,
2026_07_15_01_26_56,000066,20,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;20,20;10,10,"{""10"": 10}","{""10"": 3274, ""20"": 4909}",52384,10>20:3,,24,38,
2026_07_15_01_26_56,000068,2,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;6,2;6,6,"{""6"": 6}","{""2"": 4870, ""6"": 56}",896,6>2:2,,19,31,
2026_07_15_01_26_56,000068,3,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;3,3;1,1,"{""1"": 17}","{""1"": 380, ""3"": 4987}",6080,1>3:1,,11,22,
2026_07_15_01_26_56,000068,5,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;13,5;13,13,"{""13"": 4}","{""5"": 4912, ""13"": 254}",4064,13>5:3,,11,21,
2026_07_15_01_26_56,000068,7,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,7;19,7;19,19,"{""19"": 5}","{""7"": 4901, ""19"": 3528}",56448,19>7:5,,12,21,
2026_07_15_01_26_56,000068,9,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,9;14,9;14,14,"{""14"": 5}","{""9"": 4858, ""14"": 35}",560,14>9:0,,8,15,
2026_07_15_01_26_56,000068,20,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;20,20;10,10,"{""10"": 10}","{""10"": 3234, ""20"": 4909}",51744,10>20:4,,27,36,
2026_07_15_01_26_56,000070,2,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,2;6,2;6,6,"{""6"": 6}","{""2"": 4882, ""6"": 56}",896,6>2:2,,14,30,
2026_07_15_01_26_56,000070,3,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;3,3;1,1,"{""1"": 17}","{""1"": 367, ""3"": 4953}",5872,1>3:1,,10,22,
2026_07_15_01_26_56,000070,5,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;13,5;13,13,"{""13"": 4}","{""5"": 4907, ""13"": 252}",4032,13>5:3,,12,20,
2026_07_15_01_26_56,000070,7,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,7;19,7;19,19,"{""19"": 5}","{""7"": 4909, ""19"": 3526}",56416,19>7:5,,12,22,
