scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4886, ""17"": 3529}",56464,17>4:4,,14,34,
2026_07_15_01_26_56,000060,7,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,7;15,7;15,15,"{""15"": 23}","{""7"": 4908, ""15"": 475}",7600,15>7:0,,20,23,
2026_07_15_01_26_56,000060,13,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;13,13;3,3,"{""3"": 24}","{""3"": 3681, ""13"": 4793}",58896,3>13:3,,5,17,
2026_07_15_01_26_56,000060,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;16,16;10,10,"{""10"": 24}","{""10"": 2068, ""16"": 4857}",33088,10>16:1,,22,43,
2026_07_15_01_26_56,000060,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,18;19,19;18,18,"{""18"": 20}","{""18"": 509, ""19"": 4844}",8144,18>19:2,,5,15,
2026_07_15_01_26_56,000062,1,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;10,1;10,10,"{""10"": 23}","{""1"": 4921, ""10"": 2096}",33536,10>1:2,,19,40,
2026_07_15_01_26_56,000062,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4848, ""17"": 3531}",56496,17>4:5,,15,34,
2026_07_15_01_26_56,000062,5,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;14,5;14,14,"{""14"": 21}","{""5"": 4912, ""14"": 3469}",55504,14>5:1,,14,9,
2026_07_15_01_26_56,000062,7,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,7;15,7;15,15,"{""15"": 24}","{""7"": 4906, ""15"": 479}",7664,15>7:0,,19,23,
2026_07_15_01_26_56,000062,13,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;13,13;3,3,"{""3"": 24}","{""3"": 3745, ""13"": 4793}",59920,3>13:4,,3,17,
2026_07_15_01_26_56,000062,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,18;19,19;18,18,"{""18"": 20}","{""18"": 507, ""19"": 4823}",8112,18>19:3,,6,14,
2026_07_15_01_26_56,000064,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4872, ""17"": 3494}",55904,17>4:4,,17,33,
2026_07_15_01_26_56,000064,7,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,7;15,7;15,15,"{""15"": 24}","{""7"": 4911, ""15"": 467}",7472,15>7:0,,21,24,
2026_07_15_01_26_56,000064,13,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;13,13;3,3,"{""3"": 24}","{""3"": 3803, ""13"": 4794}",60848,3>13:3,,3,17,
2026_07_15_01_26_56,000064,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;16,16;10,10,"{""10"": 24}","{""10"": 2107, ""16"": 4850}",33712,10>16:1,,21,41,
2026_07_15_01_26_56,000064,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,18;19,19;18,18,"{""18"": 20}","{""18"": 490, ""19"": 4819}",7840,18>19:2,,5,15,
2026_07_15_01_26_56,000066,1,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;10,1;10,10,"{""10"": 24}","{""1"": 4922, ""10"": 2145}",34320,10>1:0,,21,40,
2026_07_15_01_26_56,000066,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4866, ""17"": 3486}",55776,17>4:3,,17,32,
2026_07_15_01_26_56,000066,13,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;13,13;3,3,"{""3"": 24}","{""3"": 3861, ""13"": 4794}",61776,3>13:2,,3,17,
2026_07_15_01_26_56,000066,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,18;19,19;18,18,"{""18"": 19}","{""18"": 468, ""19"": 4818}",7488,18>19:1,,3,15,
2026_07_15_01_26_56,000068,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4848, ""17"": 3473}",55568,17>4:3,,16,32,
2026_07_15_01_26_56,000068,13,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;13,13;3,3,"{""3"": 24}","{""3"": 3921, ""13"": 4795}",62736,3>13:2,,3,17,
2026_07_15_01_26_56,000068,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;16,16;10,10,"{""10"": 24}","{""10"": 2142, ""16"": 4887}",34272,10>16:0,,18,39,
2026_07_15_01_26_56,000068,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,18;19,19;18,18,"{""18"": 19}","{""18"": 467, ""19"": 4818}",7472,18>19:1,,7,13,
2026_07_15_01_26_56,000070,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4851, ""17"": 3438}",55008,17>4:3,,13,33,
2026_07_15_01_26_56,000070,13,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;13,13;3,3,"{""3"": 24}","{""3"": 3944, ""13"": 4795}",63104,3>13:2,,3,17,
2026_07_15_01_26_56,000070,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,10;16,16;10,10,"{""10"": 24}","{""10"": 2167, ""16"": 4856}",34672,10>16:0,,18,41,
2026_07_15_01_26_56,000070,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,18;19,19;18,18,"{""18"": 18}","{""18"": 464, ""19"": 4824}",7424,18>19:1,,8,14,
2026_07_15_01_26_56,000072,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4868, ""17"": 3456}",55296,17>4:2,,15,31,
2026_07_15_01_26_56,000072,13,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;13,13;3,3,"{""3"": 24}","{""3"": 3980, ""13"": 4800}",63680,3>13:1,,6,16,
2026_07_15_01_26_56,000072,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,18;19,19;18,18,"{""18"": 20}","{""18"": 429, ""19"": 4826}",6864,18>19:0,,4,14,
2026_07_15_01_26_56,000074,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4850, ""17"": 3423}",54768,17>4:3,,15,32,
2026_07_15_01_26_56,000074,13,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;13,13;3,3,"{""3"": 24}","{""3"": 4034, ""13"": 4800}",64544,3>13:2,,6,17,
2026_07_15_01_26_56,000074,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,14;16,16;14,14,"{""14"": 22}","{""14"": 607, ""16"": 4872}",9712,14>16:0,,15,22,
2026_07_15_01_26_56,000074,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,18;19,19;18,18,"{""18"": 19}","{""18"": 417, ""19"": 4825}",6672,18>19:1,,4,15,
2026_07_15_01_26_56,000076,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4853, ""17"": 3430}",54880,17>4:3,,13,31,
2026_07_15_01_26_56,000076,13,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;13,13;3,3,"{""3"": 26}","{""3"": 4028, ""13"": 4773}",64448,3>13:1,,5,17,
2026_07_15_01_26_56,000076,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,18;19,19;18,18,"{""18"": 18}","{""18"": 395, ""19"": 4821}",6320,18>19:0,,4,15,
2026_07_15_01_26_56,000078,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4858, ""17"": 3421}",54736,17>4:5,,13,34,
2026_07_15_01_26_56,000078,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,13;16,16;13,13,"{""13"": 37}","{""13"": 4597, ""16"": 4880}",73552,13>16:1,,13,29,
2026_07_15_01_26_56,000078,18,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,14;18,18;14,14,"{""14"": 6}","{""14"": 104, ""18"": 5018}",1664,14>18:0,,7,4,
2026_07_15_01_26_56,000078,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;19,19;3,3,"{""3"": 26}","{""3"": 4086, ""19"": 4823}",65376,3>19:3,,2,12,
2026_07_15_01_26_56,000080,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4847, ""17"": 3374}",53984,17>4:5,,17,34,
2026_07_15_01_26_56,000080,14,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,14;18,14;18,18,"{""18"": 23}","{""14"": 5031, ""18"": 4375}",70000,18>14:0,,0,5,
2026_07_15_01_26_56,000080,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,13;16,16;13,13,"{""13"": 38}","{""13"": 4588, ""16"": 4897}",73408,13>16:1,,17,29,
2026_07_15_01_26_56,000080,19,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;19,19;3,3,"{""3"": 27}","{""3"": 4113, ""19"": 4821}",65808,3>19:3,,3,12,
2026_07_15_01_26_56,000082,1,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,1;13,1;13,13,"{""13"": 38}","{""1"": 4932, ""13"": 4612}",73792,13>1:3,,16,26,
2026_07_15_01_26_56,000082,4,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,4;17,4;17,17,"{""17"": 9}","{""4"": 4841, ""17"": 3334}",53344,17>4:7,,16,34,
2026_07_15_01_26_56,000082,5,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,5;14,5;14,14,"{""14"": 23}","{""5"": 4913, ""14"": 1003}",16048,14>5:0,,8,9,
2026_07_15_01_26_56,000082,15,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,6;15,15;6,6,"{""6"": 29}","{""6"": 3517, ""15"": 4758}",56272,6>15:0,,15,18,
2026_07_15_01_26_56,000082,16,all-scheduled-receivers,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,3;16,16;3,3,"{""3"": 28}","{""3"": 4237, ""16"": 4908}",67792,3>16:5,,12,26,
