scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,4;8;12,4,,{},"{""4"": 4886}",0,12>4:0,,12,28,
2026_07_15_01_26_56,000060,11,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,1;2;10;11,11,,{},"{""11"": 4909}",0,2>11:7;10>11:1,,16,13,
2026_07_15_01_26_56,000060,13,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,9;13;14;19,13,,{},"{""13"": 4793}",0,9>13:8;14>13:2,,2,11,
2026_07_15_01_26_56,000060,15,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,6;15,15,,{},"{""15"": 4740}",0,6>15:3,,13,9,
2026_07_15_01_26_56,000060,16,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,5;7;16;20,16,,{},"{""16"": 4857}",0,7>16:6;20>16:4,,17,25,
2026_07_15_01_26_56,000060,17,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,3;17;18,17,,{},"{""17"": 4967}",0,3>17:5;18>17:9,,9,10,
2026_07_15_01_26_56,000062,1,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,1;2;8;11,1,,{},"{""1"": 4921}",0,2>1:0;11>1:6,,14,16,
2026_07_15_01_26_56,000062,12,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,4;12,12,,{},"{""12"": 4894}",0,4>12:1,,7,20,
2026_07_15_01_26_56,000062,15,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,6;15,15,,{},"{""15"": 4745}",0,6>15:2,,15,9,
2026_07_15_01_26_56,000062,16,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,5;7;16;20,16,,{},"{""16"": 4866}",0,7>16:8;20>16:3,,14,25,
2026_07_15_01_26_56,000062,17,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,3;14;17;18,17,,{},"{""17"": 4985}",0,3>17:4;14>17:7,,6,9,
2026_07_15_01_26_56,000062,19,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,9;10;13;19,19,,{},"{""19"": 4823}",0,10>19:5;13>19:9,,2,9,
2026_07_15_01_26_56,000064,1,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,1;2;8;11,1,,{},"{""1"": 4921}",0,2>1:0;11>1:6,,15,15,
2026_07_15_01_26_56,000064,12,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,4;12,12,,{},"{""12"": 4896}",0,4>12:1,,9,19,
2026_07_15_01_26_56,000064,15,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,6;15,15,,{},"{""15"": 4750}",0,6>15:2,,14,9,
2026_07_15_01_26_56,000064,16,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,5;7;16;20,16,,{},"{""16"": 4850}",0,7>16:8;20>16:3,,16,24,
2026_07_15_01_26_56,000064,17,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,3;14;17;18,17,,{},"{""17"": 4966}",0,3>17:4;14>17:7,,10,9,
2026_07_15_01_26_56,000064,19,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,9;10;13;19,19,,{},"{""19"": 4819}",0,10>19:5;13>19:9,,1,10,
2026_07_15_01_26_56,000066,1,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,1;2;8;11,1,,{},"{""1"": 4922}",0,2>1:0;11>1:6,,16,16,
2026_07_15_01_26_56,000066,12,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,4;7;12,12,,{},"{""12"": 4884}",0,4>12:1;7>12:8,,8,19,
2026_07_15_01_26_56,000066,15,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,6;15,15,,{},"{""15"": 4740}",0,6>15:2,,13,9,
2026_07_15_01_26_56,000066,16,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,5;16;20,16,,{},"{""16"": 4854}",0,20>16:3,,13,24,
2026_07_15_01_26_56,000066,17,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,3;14;17;18,17,,{},"{""17"": 4984}",0,3>17:4;14>17:7,,4,9,
2026_07_15_01_26_56,000066,19,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,9;10;13;19,19,,{},"{""19"": 4818}",0,10>19:5;13>19:9,,0,10,
2026_07_15_01_26_56,000068,1,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,1;2;8;11,1,,{},"{""1"": 4924}",0,2>1:0;11>1:6,,16,16,
2026_07_15_01_26_56,000068,4,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,4;9;12,4,,{},"{""4"": 4848}",0,9>4:9;12>4:1,,14,28,
2026_07_15_01_26_56,000068,13,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,10;13;14;19,13,,{},"{""13"": 4795}",0,10>13:7;14>13:2,,0,11,
2026_07_15_01_26_56,000068,15,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,6;15,15,,{},"{""15"": 4743}",0,6>15:3,,15,8,
2026_07_15_01_26_56,000068,16,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,5;7;16;20,16,,{},"{""16"": 4887}",0,7>16:8;20>16:4,,14,23,
2026_07_15_01_26_56,000068,17,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,3;17;18,17,,{},"{""17"": 4976}",0,3>17:5,,9,9,
2026_07_15_01_26_56,000070,1,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,1;4;12,1,,{},"{""1"": 4925}",0,4>1:7;12>1:0,,14,16,
2026_07_15_01_26_56,000070,11,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,2;8;9;11,11,,{},"{""11"": 4909}",0,2>11:1;9>11:9,,16,14,
2026_07_15_01_26_56,000070,13,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,10;13;14;19,13,,{},"{""13"": 4795}",0,10>13:6;14>13:2,,0,11,
2026_07_15_01_26_56,000070,15,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,6;15,15,,{},"{""15"": 4740}",0,6>15:3,,14,8,
2026_07_15_01_26_56,000070,16,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,5;7;16;20,16,,{},"{""16"": 4856}",0,7>16:8;20>16:4,,13,24,
2026_07_15_01_26_56,000070,17,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,3;17;18,17,,{},"{""17"": 4972}",0,3>17:5,,9,9,
2026_07_15_01_26_56,000072,1,all-cluster-heads,perception_aware_potential_game,head_only,utility,utility,none,0,0,,coalition_game,6,1;2;8;11,1,,{},"{""1"": 4928}",0,2>1:0;11>1:6,,15,15,
