scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,selective_communication_aware,grid,,,,,,,coalition_game,6,4;8;12,4;8;12,8;12,"{""8"": 53, ""12"": 57}","{""4"": 4886, ""8"": 4784, ""12"": 2125}",110544,,8;12,30,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,selective_communication_aware,grid,,,,,,,coalition_game,6,1;2;10;11,11;1;10;2,1;10;2,"{""1"": 39, ""2"": 39, ""10"": 39}","{""1"": 4808, ""2"": 3096, ""10"": 4843, ""11"": 4909}",203952,,1;10;2,31,51,
2026_07_15_01_26_56,000060,13,all-cluster-heads,selective_communication_aware,grid,,,,,,,coalition_game,6,9;13;14;19,13;9;14;19,9;14;19,"{""9"": 39, ""14"": 39, ""19"": 39}","{""9"": 3776, ""13"": 4793, ""14"": 4994, ""19"": 1580}",165600,,9;14;19,9,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,selective_communication_aware,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,,6,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,selective_communication_aware,grid,,,,,,,coalition_game,6,5;7;16;20,16;7;20;5,7;20;5,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 1318, ""7"": 4628, ""16"": 4857, ""20"": 2353}",132784,,7;20;5,20,31,
2026_07_15_01_26_56,000060,17,all-cluster-heads,selective_communication_aware,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 56, ""18"": 58}","{""3"": 3324, ""17"": 4967, ""18"": 4975}",132784,,18;3,9,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,selective_communication_aware,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;8;2,11;8;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 4375, ""8"": 4380, ""11"": 4560}",213040,,11;8;2,30,46,
2026_07_15_01_26_56,000062,12,all-cluster-heads,selective_communication_aware,grid,,,,,,,coalition_game,6,4;12,12;4,4,"{""4"": 57}","{""4"": 3322, ""12"": 4894}",53152,,4,17,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,selective_communication_aware,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,,6,15,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,selective_communication_aware,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;7;20,5;7;20,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4567, ""7"": 4650, ""16"": 4866, ""20"": 3210}",198832,,5;7;20,22,31,
