scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;8;12,4;8;12,8;12,"{""8"": 53, ""12"": 57}","{""4"": 4886, ""8"": 4784, ""12"": 2125}",110544,,8;12,30,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;10;11,11;1;9;2,1;9;2,"{""1"": 39, ""2"": 39, ""9"": 39}","{""1"": 4808, ""2"": 3084, ""9"": 4823, ""11"": 4909}",203440,,1;9;2,31,53,
2026_07_15_01_26_56,000060,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,9;13;14;19,13;10;19;5,10;19;5,"{""5"": 39, ""10"": 39, ""19"": 39}","{""5"": 4832, ""10"": 4848, ""13"": 4793, ""19"": 1546}",179616,,10;19;5,23,42,
2026_07_15_01_26_56,000060,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,,6,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;7;3;20,7;3;20,"{""3"": 39, ""7"": 39, ""20"": 39}","{""3"": 4735, ""7"": 4628, ""16"": 4857, ""20"": 2343}",187296,,7;3;20,18,32,
2026_07_15_01_26_56,000060,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;18,18,"{""18"": 58}","{""17"": 4967, ""18"": 4975}",79600,,18,10,11,
2026_07_15_01_26_56,000062,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;4;2,11;4;2,"{""2"": 39, ""4"": 39, ""11"": 39}","{""1"": 4921, ""2"": 4337, ""4"": 4749, ""11"": 4560}",218336,,11;4;2,39,48,
2026_07_15_01_26_56,000062,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;12,12;7;8,7;8,"{""7"": 54, ""8"": 54}","{""7"": 4870, ""8"": 4805, ""12"": 4894}",154800,,7;8,30,43,
2026_07_15_01_26_56,000062,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,,6,15,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;3;9,5;3;9,"{""3"": 39, ""5"": 39, ""9"": 39}","{""3"": 4789, ""5"": 4567, ""9"": 4818, ""16"": 4866}",226784,,5;3;9,21,32,
2026_07_15_01_26_56,000062,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;14;17;18,17;18,18,"{""18"": 54}","{""17"": 4985, ""18"": 4989}",79824,,18,8,10,
2026_07_15_01_26_56,000062,19,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,9;10;13;19,19;10;20;13,10;20;13,"{""10"": 39, ""13"": 39, ""20"": 39}","{""10"": 4885, ""13"": 4057, ""19"": 4823, ""20"": 4805}",219952,,10;20;13,25,41,
2026_07_15_01_26_56,000064,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;4;2,11;4;2,"{""2"": 39, ""4"": 39, ""11"": 39}","{""1"": 4921, ""2"": 4337, ""4"": 4729, ""11"": 4563}",218064,,11;4;2,39,49,
2026_07_15_01_26_56,000064,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;12,12;7;8,7;8,"{""7"": 54, ""8"": 54}","{""7"": 4878, ""8"": 4800, ""12"": 4896}",154848,,7;8,31,43,
2026_07_15_01_26_56,000064,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 58}","{""6"": 4512, ""15"": 4750}",72192,,6,15,17,
2026_07_15_01_26_56,000064,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;3;9,5;3;9,"{""3"": 39, ""5"": 39, ""9"": 39}","{""3"": 4758, ""5"": 4537, ""9"": 4816, ""16"": 4850}",225776,,5;3;9,20,32,
2026_07_15_01_26_56,000064,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;14;17;18,17;18,18,"{""18"": 56}","{""17"": 4966, ""18"": 4990}",79840,,18,9,10,
2026_07_15_01_26_56,000064,19,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,9;10;13;19,19;10;20;13,10;20;13,"{""10"": 39, ""13"": 39, ""20"": 39}","{""10"": 4875, ""13"": 4052, ""19"": 4819, ""20"": 4799}",219616,,10;20;13,20,40,
2026_07_15_01_26_56,000066,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;4;2,11;4;2,"{""2"": 39, ""4"": 39, ""11"": 39}","{""1"": 4922, ""2"": 4342, ""4"": 4749, ""11"": 4563}",218464,,11;4;2,39,51,
2026_07_15_01_26_56,000066,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;7;12,12;7;8,7;8,"{""7"": 55, ""8"": 53}","{""7"": 4864, ""8"": 4802, ""12"": 4884}",154656,,7;8,26,44,
2026_07_15_01_26_56,000066,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 57}","{""6"": 4507, ""15"": 4740}",72112,,6,14,17,
2026_07_15_01_26_56,000066,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;16;20,16;5;3;9,5;3;9,"{""3"": 39, ""5"": 39, ""9"": 39}","{""3"": 4759, ""5"": 4519, ""9"": 4816, ""16"": 4854}",225504,,5;3;9,20,32,
2026_07_15_01_26_56,000066,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;14;17;18,17;18,18,"{""18"": 53}","{""17"": 4984, ""18"": 4977}",79632,,18,5,10,
2026_07_15_01_26_56,000066,19,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,9;10;13;19,19;10;20;13,10;20;13,"{""10"": 39, ""13"": 39, ""20"": 39}","{""10"": 4877, ""13"": 4053, ""19"": 4818, ""20"": 4801}",219696,,10;20;13,24,41,
2026_07_15_01_26_56,000068,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;8;2,11;8;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4924, ""2"": 4348, ""8"": 4351, ""11"": 4565}",212224,,11;8;2,31,46,
2026_07_15_01_26_56,000068,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;9;12,4;12,12,"{""12"": 53}","{""4"": 4848, ""12"": 2293}",36688,,12,14,35,
2026_07_15_01_26_56,000068,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10;19;9,10;19;9,"{""9"": 39, ""10"": 39, ""19"": 39}","{""9"": 3771, ""10"": 4827, ""13"": 4795, ""19"": 1527}",162000,,10;19;9,16,36,
2026_07_15_01_26_56,000068,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 59}","{""6"": 4514, ""15"": 4743}",72224,,6,15,16,
2026_07_15_01_26_56,000068,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;3;7,5;3;7,"{""3"": 39, ""5"": 39, ""7"": 39}","{""3"": 4778, ""5"": 4522, ""7"": 4592, ""16"": 4887}",222272,,5;3;7,17,30,
2026_07_15_01_26_56,000068,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;18,18,"{""18"": 55}","{""17"": 4976, ""18"": 4990}",79840,,18,7,10,
2026_07_15_01_26_56,000070,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;4;12,1;4,4,"{""4"": 56}","{""1"": 4925, ""4"": 4827}",77232,,4,23,34,
2026_07_15_01_26_56,000070,11,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,2;8;9;11,11;8;2,8;2,"{""2"": 53, ""8"": 55}","{""2"": 2840, ""8"": 4751, ""11"": 4909}",121456,,8;2,29,45,
2026_07_15_01_26_56,000070,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10;19;9,10;19;9,"{""9"": 39, ""10"": 39, ""19"": 39}","{""9"": 3766, ""10"": 4824, ""13"": 4795, ""19"": 1540}",162080,,10;19;9,13,35,
2026_07_15_01_26_56,000070,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 59}","{""6"": 4510, ""15"": 4740}",72160,,6,15,16,
2026_07_15_01_26_56,000070,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;3;7,5;3;7,"{""3"": 39, ""5"": 39, ""7"": 39}","{""3"": 4763, ""5"": 4509, ""7"": 4590, ""16"": 4856}",221792,,5;3;7,17,30,
2026_07_15_01_26_56,000070,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;18,18,"{""18"": 53}","{""17"": 4972, ""18"": 5023}",80368,,18,9,10,
2026_07_15_01_26_56,000072,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;8;2,11;8;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4928, ""2"": 4311, ""8"": 4357, ""11"": 4566}",211744,,11;8;2,30,47,
2026_07_15_01_26_56,000072,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;9;12,4;12,12,"{""12"": 54}","{""4"": 4868, ""12"": 2450}",39200,,12,12,34,
2026_07_15_01_26_56,000072,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,10;13;14;19,13;10;19;9,10;19;9,"{""9"": 39, ""10"": 39, ""19"": 39}","{""9"": 3769, ""10"": 4826, ""13"": 4800, ""19"": 1541}",162176,,10;19;9,13,34,
2026_07_15_01_26_56,000072,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 55}","{""6"": 4495, ""15"": 4748}",71920,,6,15,18,
2026_07_15_01_26_56,000072,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;3;7,5;3;7,"{""3"": 39, ""5"": 39, ""7"": 39}","{""3"": 4759, ""5"": 4518, ""7"": 4588, ""16"": 4868}",221840,,5;3;7,20,28,
