scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,selective_pacp_lidar,grid,,,,,,,coalition_game,6,4;8;12,4;8;12,8;12,"{""8"": 57, ""12"": 59}","{""4"": 4886, ""8"": 4838, ""12"": 4889}",155632,,8;12,30,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,selective_pacp_lidar,grid,,,,,,,coalition_game,6,1;2;10;11,11;1;2;10,1;2;10,"{""1"": 39, ""2"": 39, ""10"": 39}","{""1"": 4904, ""2"": 4777, ""10"": 4901, ""11"": 4909}",233312,,1;2;10,32,51,
2026_07_15_01_26_56,000060,13,all-cluster-heads,selective_pacp_lidar,grid,,,,,,,coalition_game,6,9;13;14;19,13;19;14;9,19;14;9,"{""9"": 39, ""14"": 39, ""19"": 39}","{""9"": 4839, ""13"": 4793, ""14"": 4994, ""19"": 4803}",234176,,19;14;9,10,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,selective_pacp_lidar,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 57}","{""6"": 4556, ""15"": 4740}",72896,,6,14,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,selective_pacp_lidar,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;20;7,5;20;7,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4880, ""7"": 4760, ""16"": 4857, ""20"": 4854}",231904,,5;20;7,21,31,
2026_07_15_01_26_56,000060,17,all-cluster-heads,selective_pacp_lidar,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 58, ""18"": 59}","{""3"": 4974, ""17"": 4967, ""18"": 5001}",159600,,18;3,11,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,selective_pacp_lidar,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;2;8,11;2;8,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 4776, ""8"": 4769, ""11"": 4849}",230304,,11;2;8,32,46,
2026_07_15_01_26_56,000062,12,all-cluster-heads,selective_pacp_lidar,grid,,,,,,,coalition_game,6,4;12,12;4,4,"{""4"": 60}","{""4"": 4848, ""12"": 4894}",77568,,4,18,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,selective_pacp_lidar,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 57}","{""6"": 4561, ""15"": 4745}",72976,,6,16,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,selective_pacp_lidar,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;20;7,5;20;7,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4881, ""7"": 4759, ""16"": 4866, ""20"": 4854}",231904,,5;20;7,22,31,
