scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;8;12,4;8;12,8;12,"{""8"": 53, ""12"": 57}","{""4"": 4886, ""8"": 4784, ""12"": 2125}",110544,,8;12,30,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;10;11,11;1;2;10,1;2;10,"{""1"": 39, ""2"": 39, ""10"": 39}","{""1"": 3212, ""2"": 2621, ""10"": 2228, ""11"": 4909}",128976,,1;2;10,29,51,
2026_07_15_01_26_56,000060,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,9;13;14;19,13;19;14;9,19;14;9,"{""9"": 39, ""14"": 39, ""19"": 39}","{""9"": 3095, ""13"": 4793, ""14"": 4327, ""19"": 1243}",138640,,19;14;9,8,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,,6,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;7;5;20,7;5;20,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 1105, ""7"": 4049, ""16"": 4857, ""20"": 1898}",112832,,7;5;20,19,31,
2026_07_15_01_26_56,000060,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;3;18,3;18,"{""3"": 56, ""18"": 58}","{""3"": 3324, ""17"": 4967, ""18"": 4975}",132784,,3;18,9,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;2;8;11,2;8;11,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 3487, ""8"": 4132, ""11"": 4301}",190720,,2;8;11,31,46,
2026_07_15_01_26_56,000062,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;12,12;4,4,"{""4"": 57}","{""4"": 3322, ""12"": 4894}",53152,,4,17,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,,6,15,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;20;5;7,20;5;7,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4279, ""7"": 1872, ""16"": 4866, ""20"": 1956}",129712,,20;5;7,22,31,
2026_07_15_01_26_56,000062,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;14;17;18,17;18;3;14,18;3;14,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 2451, ""14"": 3864, ""17"": 4985, ""18"": 4333}",170368,,18;3;14,8,16,
2026_07_15_01_26_56,000062,19,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,9;10;13;19,19;10;13;9,10;13;9,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 1836, ""10"": 4455, ""13"": 2546, ""19"": 4823}",141392,,10;13;9,15,36,
2026_07_15_01_26_56,000064,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;8;2;11,8;2;11,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 1865, ""8"": 912, ""11"": 4356}",114128,,8;2;11,28,46,
2026_07_15_01_26_56,000064,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;12,12;4,4,"{""4"": 56}","{""4"": 3281, ""12"": 4896}",52496,,4,14,35,
2026_07_15_01_26_56,000064,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 58}","{""6"": 4512, ""15"": 4750}",72192,,6,15,17,
2026_07_15_01_26_56,000064,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;7;20;5,7;20;5,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4346, ""7"": 1860, ""16"": 4850, ""20"": 2656}",141792,,7;20;5,19,32,
2026_07_15_01_26_56,000064,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;14;17;18,17;18;14;3,18;14;3,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 2588, ""14"": 4602, ""17"": 4966, ""18"": 4286}",183616,,18;14;3,8,16,
2026_07_15_01_26_56,000064,19,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,9;10;13;19,19;10;13;9,10;13;9,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 1374, ""10"": 1503, ""13"": 3824, ""19"": 4819}",107216,,10;13;9,8,36,
2026_07_15_01_26_56,000066,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;8;2;11,8;2;11,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4922, ""2"": 3303, ""8"": 4202, ""11"": 4025}",184480,,8;2;11,28,47,
2026_07_15_01_26_56,000066,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;7;12,12;4;7,4;7,"{""4"": 57, ""7"": 55}","{""4"": 3279, ""7"": 4864, ""12"": 4884}",130288,,4;7,27,42,
2026_07_15_01_26_56,000066,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 57}","{""6"": 4507, ""15"": 4740}",72112,,6,14,17,
2026_07_15_01_26_56,000066,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;16;20,16;5;20,5;20,"{""5"": 49, ""20"": 48}","{""5"": 4532, ""16"": 4854, ""20"": 3146}",122848,,5;20,17,29,
2026_07_15_01_26_56,000066,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;14;17;18,17;3;14;18,3;14;18,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 1405, ""14"": 2869, ""17"": 4984, ""18"": 4749}",144368,,3;14;18,5,16,
2026_07_15_01_26_56,000066,19,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,9;10;13;19,19;9;10;13,9;10;13,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 3893, ""10"": 4244, ""13"": 2217, ""19"": 4818}",165664,,9;10;13,10,37,
2026_07_15_01_26_56,000068,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;8;2;11,8;2;11,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4924, ""2"": 3477, ""8"": 4248, ""11"": 2675}",166400,,8;2;11,21,46,
2026_07_15_01_26_56,000068,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;9;12,4;12;9,12;9,"{""9"": 50, ""12"": 53}","{""4"": 4848, ""9"": 4856, ""12"": 2293}",114384,,12;9,21,43,
2026_07_15_01_26_56,000068,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,10;13;14;19,13;14;10;19,14;10;19,"{""10"": 39, ""14"": 39, ""19"": 39}","{""10"": 3969, ""13"": 4795, ""14"": 2973, ""19"": 1062}",128064,,14;10;19,8,33,
2026_07_15_01_26_56,000068,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 59}","{""6"": 4514, ""15"": 4743}",72224,,6,15,16,
2026_07_15_01_26_56,000068,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;20;7;5,20;7;5,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4022, ""7"": 3411, ""16"": 4887, ""20"": 2791}",163584,,20;7;5,20,31,
