variant,frames,detector_or_checkpoint,protocol_or_scaffold,raw_payload_mbps,box_broadcast_mbps_80b,box_all_to_all_mbps_80b,ap_03,ap_05,ap_07,decision,primary_source
SGCP-PAPG mainline,41,pointpillar_early_fusion,SGCP PAPG raw-LiDAR early fusion plus inter-cluster naive_late_fusion,62.54,N/A,N/A,0.81,0.78,0.39,main_table,docs/doc_workspace/SGCP/artifacts/table1_protocol_20260719/protocol_native_manifest.csv
Pure late controlled mainline,41,pointpillar_early_fusion singleton detector,Prediction-box sharing plus naive_late_fusion,0.00,0.74,14.04,0.82,0.76,0.37,main_table_prediction_sharing_reference,docs/doc_workspace/SGCP/late_fusion_box_comm.md
Pure late actual-late sanity,41,pointpillar_late_fusion local detector,Prediction-box sharing plus naive_late_fusion,0.00,1.07,NA,0.89,0.83,0.49,sensitivity_only_not_fair_raw_lidar_baseline,docs/doc_workspace/SGCP/detector_checkpoint_fairness.md
SGCP-PAPG forced-late sanity,41,pointpillar_late_fusion over scheduled source set,Not strict SGCP early-fusion protocol; late detector over scheduled raw data plus naive_late_fusion,62.54,N/A,N/A,0.87,0.81,0.48,sensitivity_only_not_main_protocol,docs/doc_workspace/SGCP/detector_checkpoint_fairness.md
Late checkpoint as early detector smoke,11,pointpillar_late_fusion weights copied into early config,SGCP PAPG raw-LiDAR early-fusion data path,62.53,N/A,N/A,0.58,0.48,0.15,reject,docs/doc_workspace/SGCP/results.md
SGCP-PAPG attentive detector,41,attentive intermediate checkpoint copied into early config,SGCP PAPG raw-LiDAR early fusion plus inter-cluster naive_late_fusion,62.54,N/A,N/A,0.87,0.81,0.36,sensitivity_candidate_not_table_replacement,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719
Pure late attentive controlled,41,attentive intermediate checkpoint singleton detector,Prediction-box sharing plus naive_late_fusion,0.00,1.37,25.97,0.82,0.65,0.28,sensitivity_prediction_sharing_reference,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/pure_late_attentive_41f_trace.csv
Full20Early attentive upper reference,41,attentive intermediate checkpoint copied into early config,Full 20-CAV raw-LiDAR early-fusion upper reference,NA,N/A,N/A,0.88,0.85,0.45,sensitivity_upper_reference,docs/doc_workspace/SGCP/results.md
COSDH compatible transplant,11,COSDH compatible weights plus early fallback heads,SGCP PAPG raw-LiDAR early-fusion data path,62.53,N/A,N/A,0.00,0.00,0.00,reject,docs/doc_workspace/SGCP/artifacts/cosdh_checkpoint_probe_20260719
COSDH backbone plus early heads,11,COSDH backbone plus original early detection heads,SGCP PAPG raw-LiDAR early-fusion data path,62.53,N/A,N/A,0.02,0.00,0.00,reject,docs/doc_workspace/SGCP/artifacts/cosdh_checkpoint_probe_20260719
COSDH real model collapsed smoke,1,point_pillar_comm_multiscale real COSDH model,Scheduled points collapsed to receiver point cloud,N/A,N/A,N/A,N/A,N/A,N/A,runs_but_zero_predictions,docs/doc_workspace/SGCP/artifacts/cosdh_checkpoint_probe_20260719
