label,trace_path,ap_03,ap_05,ap_07,raw_lidar_mbps,total_mbps,frame_count,trace_rows,detector_calls_total,detector_calls_per_frame,detector_calls_per_frame_p95,mean_source_cavs_per_call,mean_uploaded_cavs_per_call,mean_selected_grids_per_call,mean_input_points_per_call,mean_input_points_per_frame,mean_pred_boxes_per_call,mean_pred_boxes_per_frame,mean_raw_bytes_per_call,mean_frame_comm_time_ms_per_call_row,calibrated_gflops_per_forward,profiled_detector_gflops_per_frame,profiled_detector_gflops_per_second_at_10hz,input_adjusted_detector_gflops_per_frame
PureLate_current_protocol,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\pure_late_41f_trace.csv,0.82,0.76,0.37,0.000000,0.739122,41,820,786,19.171,20.000,1.000,0.000,0.000,4882.9,93608.5,5.342,102.415,0.0,0.000,89.302374,1711.991860,17119.918604,1711.986094
HeadOnly_current_protocol,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\head_only_41f_trace.csv,0.26,0.22,0.09,0.000000,0.247259,41,246,246,6.000,6.000,1.000,0.000,0.000,4883.2,29299.4,5.707,34.244,0.0,0.000,89.302374,535.814246,5358.142464,535.812459
OneClusterEarlyOnly_current_protocol,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\one_cluster_full_early_41f_trace.csv,0.85,0.83,0.48,118.709323,118.709323,41,41,41,1.000,1.000,20.000,19.000,0.000,97669.1,97669.1,60.122,60.122,1483866.5,44.653,89.302374,89.302374,893.023744,90.096943
ClusteredEarlyOnly_current_protocol,docs\doc_workspace\SGCP\artifacts\table2_current_protocol_20260722\clustered_early_only_41f_trace.csv,0.31,0.29,0.14,36.688172,36.688172,41,246,246,6.000,6.000,2.000,1.000,37.000,9660.3,57962.0,11.805,70.829,76433.7,42.510,89.302374,535.814246,5358.142464,536.058003
SGCP_PAPG_main_current_protocol,docs\doc_workspace\SGCP\artifacts\papg_200ms_budget_20260722\papg_attentive_nmax4_bh2_ns3_200ms_trace.csv,0.87,0.81,0.36,62.536336,63.246549,41,246,246,6.000,6.000,2.667,1.667,97.220,13026.0,78155.9,18.504,111.024,130284.0,43.470,89.302374,535.814246,5358.142464,536.230997
FullPerceptionPCS_current_protocol,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\pcs_41f_trace.csv,0.50,0.36,0.17,13.156277,13.704304,41,246,246,6.000,6.000,1.386,0.386,16.423,6596.3,39577.7,13.537,81.220,27408.9,43.929,89.302374,535.814246,5358.142464,535.900510
RandomBudget_current_protocol,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\random_41f_trace.csv,0.78,0.74,0.39,62.013627,62.487227,41,246,246,6.000,6.000,3.333,2.333,103.199,12957.9,77747.5,11.537,69.220,129195.1,7.185,89.302374,535.814246,5358.142464,536.227499
DensityGreedy_current_protocol,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\density_41f_trace.csv,0.80,0.76,0.41,75.942619,76.441787,41,246,246,6.000,6.000,3.333,2.333,103.199,14771.6,88629.5,12.199,73.195,158213.8,8.799,89.302374,535.814246,5358.142464,536.320721
PACP_LiDAR_current_protocol,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\pacp_lidar_41f_trace.csv,0.81,0.79,0.42,86.302377,86.804199,41,246,246,6.000,6.000,3.333,2.333,94.984,16120.5,96723.1,12.268,73.610,179796.6,10.000,89.302374,535.814246,5358.142464,536.390056
EdgeCooperHD_current_protocol,docs\doc_workspace\SGCP\artifacts\table3_current_protocol_20260722\edgecooper_hd_41f_trace.csv,0.60,0.55,0.25,30.518728,30.873007,41,246,246,6.000,6.000,1.935,0.935,44.272,8857.0,53142.1,8.488,50.927,63580.7,3.536,89.302374,535.814246,5358.142464,536.016712
FullPerception-PCS + global box current-protocol,docs\doc_workspace\SGCP\artifacts\table6_current_protocol_20260722\pcs_global_box_41f_trace.csv,0.83,0.77,0.38,53.544741,54.542517,41,820,814,19.854,20.000,1.457,0.457,21.436,6990.8,138793.5,7.101,140.976,33712.1,43.929,89.302374,1772.978848,17729.788478,1773.331394
EdgeCooper V2V + global box current-protocol,docs\doc_workspace\SGCP\artifacts\table6_current_protocol_20260722\edgecooper_global_box_41f_trace.csv,0.84,0.79,0.37,50.910314,51.825701,41,820,788,19.220,20.000,1.440,0.440,17.704,6952.3,133619.3,6.747,129.683,33111.1,1.842,89.302374,1716.348074,17163.480738,1716.683012
