case,cast,timing,guard_ms,zero_delay_ms,scheduled_requests,expected_callbacks,callbacks,unique_requests,rlc_rx,manual_resources,manual_waits,manual_rejects,send_min_ms,send_max_ms,recv_min_ms,recv_max_ms,delay_mean_ms,delay_max_ms,probe_returncode,probe_stdout,probe_stderr,ns3_out_log,ns3_err_log,plan_csv
01_unicast_at_zero_guard1_zero1,unicast,at_zero,1,1,70,70,60,60,60,60,0,0,2,12,3,13,1.0,1,0,"control_plane_probe vehicles=20 requests=70 bytes=28000 packet_size=400 subchannels=10 batch_size=10 profile=aggregated | Connected to NS-3 at ('127.0.0.1', 41351) | Listener stopped",,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\01_unicast_at_zero_guard1_zero1.ns3.out.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\01_unicast_at_zero_guard1_zero1.ns3.err.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\01_unicast_at_zero_guard1_zero1.plan.csv
02_unicast_at_zero_guard1_zero0,unicast,at_zero,1,0,70,70,60,60,60,60,0,0,2,12,3,13,1.0,1,0,"control_plane_probe vehicles=20 requests=70 bytes=28000 packet_size=400 subchannels=10 batch_size=10 profile=aggregated | Connected to NS-3 at ('127.0.0.1', 40199) | Listener stopped",,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\02_unicast_at_zero_guard1_zero0.ns3.out.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\02_unicast_at_zero_guard1_zero0.ns3.err.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\02_unicast_at_zero_guard1_zero0.plan.csv
03_unicast_at_zero_guard0_zero1,unicast,at_zero,0,1,70,70,60,60,60,60,0,0,2,12,3,13,1.0,1,0,"control_plane_probe vehicles=20 requests=70 bytes=28000 packet_size=400 subchannels=10 batch_size=10 profile=aggregated | Connected to NS-3 at ('127.0.0.1', 39573) | Listener stopped",,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\03_unicast_at_zero_guard0_zero1.ns3.out.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\03_unicast_at_zero_guard0_zero1.ns3.err.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\03_unicast_at_zero_guard0_zero1.plan.csv
04_unicast_at_zero_guard0_zero0,unicast,at_zero,0,0,70,70,60,60,60,60,0,0,2,12,3,13,1.0,1,0,"control_plane_probe vehicles=20 requests=70 bytes=28000 packet_size=400 subchannels=10 batch_size=10 profile=aggregated | Connected to NS-3 at ('127.0.0.1', 39589) | Listener stopped",,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\04_unicast_at_zero_guard0_zero0.ns3.out.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\04_unicast_at_zero_guard0_zero0.ns3.err.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\04_unicast_at_zero_guard0_zero0.plan.csv
05_unicast_after_activation_guard1_zero1,unicast,after_activation,1,1,70,70,70,70,70,70,0,0,2,14,3,15,1.0,1,0,"control_plane_probe vehicles=20 requests=70 bytes=28000 packet_size=400 subchannels=10 batch_size=10 profile=aggregated | Connected to NS-3 at ('127.0.0.1', 41583) | Listener stopped",,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\05_unicast_after_activation_guard1_zero1.ns3.out.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\05_unicast_after_activation_guard1_zero1.ns3.err.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\05_unicast_after_activation_guard1_zero1.plan.csv
06_unicast_after_activation_guard1_zero0,unicast,after_activation,1,0,70,70,70,70,70,70,0,0,2,14,3,15,1.0,1,0,"control_plane_probe vehicles=20 requests=70 bytes=28000 packet_size=400 subchannels=10 batch_size=10 profile=aggregated | Connected to NS-3 at ('127.0.0.1', 41717) | Listener stopped",,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\06_unicast_after_activation_guard1_zero0.ns3.out.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\06_unicast_after_activation_guard1_zero0.ns3.err.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\06_unicast_after_activation_guard1_zero0.plan.csv
07_unicast_after_activation_guard0_zero1,unicast,after_activation,0,1,70,70,70,70,70,70,0,0,1,13,2,14,1.0,1,0,"control_plane_probe vehicles=20 requests=70 bytes=28000 packet_size=400 subchannels=10 batch_size=10 profile=aggregated | Connected to NS-3 at ('127.0.0.1', 41537) | Listener stopped",,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\07_unicast_after_activation_guard0_zero1.ns3.out.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\07_unicast_after_activation_guard0_zero1.ns3.err.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\07_unicast_after_activation_guard0_zero1.plan.csv
08_unicast_after_activation_guard0_zero0,unicast,after_activation,0,0,70,70,70,70,70,70,0,0,1,13,2,14,1.0,1,0,"control_plane_probe vehicles=20 requests=70 bytes=28000 packet_size=400 subchannels=10 batch_size=10 profile=aggregated | Connected to NS-3 at ('127.0.0.1', 41547) | Listener stopped",,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\08_unicast_after_activation_guard0_zero0.ns3.out.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\08_unicast_after_activation_guard0_zero0.ns3.err.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\08_unicast_after_activation_guard0_zero0.plan.csv
09_broadcast_at_zero_guard1_zero1,broadcast,at_zero,1,1,70,700,600,60,600,60,0,0,2,12,3,13,1.0,1,0,"control_plane_probe vehicles=20 requests=70 bytes=28000 packet_size=400 subchannels=10 batch_size=10 profile=aggregated | Connected to NS-3 at ('127.0.0.1', 39247) | Listener stopped",,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\09_broadcast_at_zero_guard1_zero1.ns3.out.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\09_broadcast_at_zero_guard1_zero1.ns3.err.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\09_broadcast_at_zero_guard1_zero1.plan.csv
10_broadcast_at_zero_guard1_zero0,broadcast,at_zero,1,0,70,700,600,60,600,60,0,0,2,12,3,13,1.0,1,0,"control_plane_probe vehicles=20 requests=70 bytes=28000 packet_size=400 subchannels=10 batch_size=10 profile=aggregated | Connected to NS-3 at ('127.0.0.1', 38965) | Listener stopped",,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\10_broadcast_at_zero_guard1_zero0.ns3.out.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\10_broadcast_at_zero_guard1_zero0.ns3.err.log,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\control_plane_ns3_20260728\guard_zero_sweep_20260729\10_broadcast_at_zero_guard1_zero0.plan.csv
