scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,5,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;9;12,5;12;7,12;7,"{""7"": 36, ""12"": 59}","{""5"": 4909, ""7"": 4561, ""12"": 4884}",151120,43.46162402669633,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>5:8;12>5:0,,22,38,
2026_07_15_01_26_56,000060,10,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;10;13,10;2;13,2;13,"{""2"": 52, ""13"": 39}","{""2"": 4826, ""10"": 4953, ""13"": 4653}",151664,42.94549499443826,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>10:1;13>10:6,,28,44,
2026_07_15_01_26_56,000060,11,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;8;11;19,11;4;8,4;8,"{""4"": 57, ""8"": 41}","{""4"": 4876, ""8"": 4750, ""11"": 4909}",154016,43.39043381535039,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>11:2;8>11:9,,36,39,
2026_07_15_01_26_56,000060,15,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,39.91101223581757,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;14;16,16;14;3,14;3,"{""3"": 33, ""14"": 53}","{""3"": 4252, ""14"": 5044, ""16"": 4857}",148736,44.885428253615125,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>16:7;14>16:4,,16,29,
2026_07_15_01_26_56,000060,17,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,17;18;20,17;20,20,"{""20"": 50}","{""17"": 4967, ""20"": 4898}",78368,43.58620689655172,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],20>17:5,,18,21,
2026_07_15_01_26_56,000062,2,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,2;4;8;9,2;4;9,4;9,"{""4"": 59, ""9"": 21}","{""2"": 4862, ""4"": 4847, ""9"": 2171}",112288,43.13236929922136,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>2:0;9>2:8,,33,46,
2026_07_15_01_26_56,000062,10,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,10;13,10;13,13,"{""13"": 51}","{""10"": 4955, ""13"": 4670}",74720,41.557285873192434,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],13>10:1,,10,33,
2026_07_15_01_26_56,000062,11,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,1;11;14;19,11;14;1,14;1,"{""1"": 46, ""14"": 54}","{""1"": 4910, ""11"": 4909, ""14"": 5042}",159232,44.86763070077864,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],1>11:7;14>11:2,,25,29,
2026_07_15_01_26_56,000062,12,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,5;7;12,12;7;5,7;5,"{""5"": 26, ""7"": 54}","{""5"": 1112, ""7"": 4870, ""12"": 4894}",95712,43.33704115684093,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],5>12:9;7>12:3,,22,36,
