scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,1;10;11;12,1;10;11,10;11,"{""10"": 57, ""11"": 56}","{""1"": 4918, ""10"": 4953, ""11"": 4909}",157792,44.07563959955506,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>1:0;11>1:5,,31,48,
2026_07_15_01_26_56,000060,8,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,6;7;8;9,8;9;7,9;7,"{""7"": 56, ""9"": 50}","{""7"": 4908, ""8"": 4838, ""9"": 4858}",156256,43.67519466073415,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>8:7;9>8:1,,32,41,
2026_07_15_01_26_56,000060,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,13;14;15;16,13;14;16,14;16,"{""14"": 53, ""16"": 56}","{""13"": 4793, ""14"": 5044, ""16"": 4857}",158416,44.885428253615125,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],14>13:2;16>13:8,,16,32,
2026_07_15_01_26_56,000060,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,2;17;18;19,17;2;18,2;18,"{""2"": 55, ""18"": 61}","{""2"": 4863, ""17"": 4967, ""18"": 5003}",157856,44.52057842046719,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>17:3;18>17:9,,26,34,
2026_07_15_01_26_56,000060,20,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,3;4;5;20,20;3;4,3;4,"{""3"": 60, ""4"": 60}","{""3"": 4977, ""4"": 4886, ""20"": 4909}",157808,44.28921023359288,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>20:4;4>20:6,,30,40,
2026_07_15_01_26_56,000062,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,1;10;11;12,1;10;11,10;11,"{""10"": 56, ""11"": 56}","{""1"": 4921, ""10"": 4955, ""11"": 4909}",157824,44.093437152391544,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>1:0;11>1:5,,30,47,
2026_07_15_01_26_56,000062,8,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,6;7;8;9,8;9;7,9;7,"{""7"": 57, ""9"": 50}","{""7"": 4906, ""8"": 4838, ""9"": 4859}",156240,43.657397107897665,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>8:6;9>8:1,,29,41,
2026_07_15_01_26_56,000062,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,13;14;15;16,13;14;16,14;16,"{""14"": 54, ""16"": 58}","{""13"": 4793, ""14"": 5042, ""16"": 4866}",158528,44.86763070077864,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],14>13:2;16>13:8,,14,32,
2026_07_15_01_26_56,000062,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,2;17;18;19,17;2;18,2;18,"{""2"": 53, ""18"": 57}","{""2"": 4862, ""17"": 4985, ""18"": 5017}",158064,44.645161290322584,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>17:3;18>17:9,,26,35,
2026_07_15_01_26_56,000062,20,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,3;4;5;20,20;3;4,3;4,"{""3"": 61, ""4"": 60}","{""3"": 4976, ""4"": 4848, ""20"": 4908}",157184,44.28031145717464,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>20:4;4>20:7,,30,42,
2026_07_15_01_26_56,000064,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,1;10;11;12,1;10;11,10;11,"{""10"": 57, ""11"": 57}","{""1"": 4921, ""10"": 4948, ""11"": 4912}",157760,44.03114571746384,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>1:0;11>1:5,,28,46,
2026_07_15_01_26_56,000064,8,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,6;7;8;9,8;9;7,9;7,"{""7"": 58, ""9"": 51}","{""7"": 4911, ""8"": 4837, ""9"": 4856}",156272,43.701890989988875,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>8:6;9>8:1,,32,42,
2026_07_15_01_26_56,000064,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,13;14;15;16,13;14;16,14;16,"{""14"": 55, ""16"": 56}","{""13"": 4794, ""14"": 5060, ""16"": 4850}",158560,45.027808676307004,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],14>13:2;16>13:8,,16,31,
2026_07_15_01_26_56,000064,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,5,,2;17;18;19,17;2;18,2;18,"{""2"": 55, ""18"": 59}","{""2"": 4878, ""17"": 4966, ""18"": 5016}",158304,44.63626251390434,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>17:3;18>17:9,,26,37,
