scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;8;12,4;12;8,12;8,"{""8"": 57, ""12"": 61}","{""4"": 4886, ""8"": 4838, ""12"": 4891}",155664,43.52391546162403,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],8>4:9;12>4:0,,31,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;10;11,11;10;2,10;2,"{""2"": 55, ""10"": 57}","{""2"": 4863, ""10"": 4953, ""11"": 4909}",157056,44.07563959955506,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>11:6;10>11:1,,27,45,
2026_07_15_01_26_56,000060,13,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,9;13;14;19,13;14;9,14;9,"{""9"": 50, ""14"": 53}","{""9"": 4858, ""13"": 4793, ""14"": 5044}",158432,44.885428253615125,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>13:7;14>13:2,,8,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 57}","{""6"": 4556, ""15"": 4740}",72896,40.54282536151279,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,14,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 56, ""20"": 54}","{""7"": 4908, ""16"": 4857, ""20"": 4909}",157072,43.68409343715239,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:8,,20,30,
2026_07_15_01_26_56,000060,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17;3,3,"{""3"": 60}","{""3"": 4977, ""17"": 4967}",79632,44.28921023359288,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:5,,11,16,
2026_07_15_01_26_56,000062,1,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 53, ""11"": 56}","{""1"": 4921, ""2"": 4862, ""11"": 4909}",156336,43.68409343715239,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,28,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;12,12;4,4,"{""4"": 60}","{""4"": 4848, ""12"": 4894}",77568,43.1412680756396,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>12:1,,18,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 57}","{""6"": 4561, ""15"": 4745}",72976,40.587319243604,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:2,,16,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 57, ""20"": 54}","{""7"": 4906, ""16"": 4866, ""20"": 4908}",157024,43.67519466073415,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:3;20>16:8,,23,30,
2026_07_15_01_26_56,000062,17,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;14;17;18,17;3;14,3;14,"{""3"": 61, ""14"": 54}","{""3"": 4976, ""14"": 5042, ""17"": 4985}",160288,44.86763070077864,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:4;14>17:9,,10,15,
2026_07_15_01_26_56,000062,19,all-cluster-heads,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,9;10;13;19,19;10;9,10;9,"{""9"": 50, ""10"": 56}","{""9"": 4859, ""10"": 4955, ""19"": 4823}",157024,44.093437152391544,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>19:7;10>19:5,,17,33,
