label,trace_path,ap_03,ap_05,ap_07,raw_lidar_mbps,total_mbps,frame_count,trace_rows,detector_calls_total,detector_calls_per_frame,detector_calls_per_frame_p95,mean_source_cavs_per_call,mean_uploaded_cavs_per_call,mean_selected_grids_per_call,mean_input_points_per_call,mean_input_points_per_frame,mean_pred_boxes_per_call,mean_pred_boxes_per_frame,mean_raw_bytes_per_call,mean_frame_comm_time_ms_per_call_row,calibrated_gflops_per_forward,profiled_detector_gflops_per_frame,profiled_detector_gflops_per_second_at_10hz,input_adjusted_detector_gflops_per_frame,input_adjusted_point_feature_gflops_per_frame
budget_rho1_mbps1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps1\trace.csv,,,,0.999680,0.999680,41,278,278,6.780,7.000,1.155,0.155,1.759,13987.4,94841.7,14.993,101.659,1842.9,1.025,89.411751,606.255290,6062.552900,606.842678,1.002339
budget_rho1_mbps5,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps5\trace.csv,,,,4.999680,4.999680,41,278,278,6.780,7.000,1.590,0.590,18.759,14448.3,97966.7,17.950,121.707,9217.0,4.441,89.411751,606.255290,6062.552900,606.872527,1.032188
budget_rho1_mbps10,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps10\trace.csv,,,,9.999360,9.999360,41,279,279,6.805,7.000,2.011,1.011,33.473,15021.1,102216.9,19.108,130.024,18368.0,8.520,89.411751,608.436064,6084.360644,609.092753,1.073132
budget_rho1_mbps20,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps20\trace.csv,,,,16.609967,16.609967,41,278,278,6.780,7.000,2.475,1.475,58.133,15786.1,107037.2,20.176,136.805,30620.9,14.031,89.411751,606.255290,6062.552900,606.959166,1.118827
budget_rho1_mbps40,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps40\trace.csv,,,,16.609967,16.609967,41,278,278,6.780,7.000,2.475,1.475,58.133,15786.1,107037.2,20.173,136.780,30620.9,14.031,89.411751,606.255290,6062.552900,606.959166,1.118827
budget_rho1_mbps60,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps60\trace.csv,,,,16.609967,16.609967,41,278,278,6.780,7.000,2.475,1.475,58.133,15786.1,107037.2,20.176,136.805,30620.9,14.031,89.411751,606.255290,6062.552900,606.959166,1.118827
budget_rho1_mbps68,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps68\trace.csv,,,,16.609967,16.609967,41,278,278,6.780,7.000,2.475,1.475,58.133,15786.1,107037.2,20.176,136.805,30620.9,14.031,89.411751,606.255290,6062.552900,606.959166,1.118827
budget_rho1_mbps84,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps84\trace.csv,,,,16.592109,16.592109,41,279,279,6.805,7.000,2.470,1.470,58.075,15778.0,107367.5,20.140,137.049,30478.3,13.987,89.411751,608.436064,6084.360644,609.141950,1.122329
budget_rho2_mbps1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps1\trace.csv,,,,0.999555,0.999555,41,272,272,6.634,7.000,1.283,0.283,0.912,13983.8,92770.9,14.945,99.146,1883.4,1.045,89.411751,593.170643,5931.706434,593.745126,0.980477
budget_rho2_mbps5,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps5\trace.csv,,,,4.999618,4.999618,41,272,272,6.634,7.000,1.518,0.518,9.221,14454.9,95895.9,15.915,105.585,9420.2,4.758,89.411751,593.170643,5931.706434,593.774975,1.010327
budget_rho2_mbps10,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps10\trace.csv,,,,9.999298,9.999298,41,272,272,6.634,7.000,1.801,0.801,17.801,15043.7,99801.9,17.570,116.561,18840.6,8.264,89.411751,593.170643,5931.706434,593.812285,1.047636
budget_rho2_mbps20,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps20\trace.csv,,,,19.999376,19.999376,41,272,272,6.634,7.000,2.151,1.151,30.989,16221.3,107614.5,18.761,124.463,37682.6,16.145,89.411751,593.170643,5931.706434,593.886908,1.122260
budget_rho2_mbps40,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps40\trace.csv,,,,28.417374,28.417374,41,272,272,6.634,7.000,2.507,1.507,47.945,17212.6,114191.0,19.621,130.171,53543.8,22.508,89.411751,593.170643,5931.706434,593.949726,1.185078
budget_rho2_mbps60,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps60\trace.csv,,,,28.417374,28.417374,41,272,272,6.634,7.000,2.507,1.507,47.945,17212.6,114191.0,19.621,130.171,53543.8,22.508,89.411751,593.170643,5931.706434,593.949726,1.185078
budget_rho2_mbps68,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps68\trace.csv,,,,28.417374,28.417374,41,272,272,6.634,7.000,2.507,1.507,47.945,17212.6,114191.0,19.625,130.195,53543.8,22.508,89.411751,593.170643,5931.706434,593.949726,1.185078
budget_rho2_mbps84,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps84\trace.csv,,,,28.417374,28.417374,41,272,272,6.634,7.000,2.507,1.507,47.945,17212.6,114191.0,19.625,130.195,53543.8,22.508,89.411751,593.170643,5931.706434,593.949726,1.185078
budget_rho3_mbps1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho3_mbps1\trace.csv,,,,0.995247,0.995247,41,272,272,6.634,7.000,1.217,0.217,0.555,13983.3,92767.5,14.912,98.927,1875.2,1.040,89.411751,593.170643,5931.706434,593.745094,0.980445
budget_rho3_mbps5,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho3_mbps5\trace.csv,,,,4.994029,4.994029,41,272,272,6.634,7.000,1.346,0.346,4.224,14454.2,95891.6,15.327,101.683,9409.7,4.917,89.411751,593.170643,5931.706434,593.774934,1.010285
budget_rho3_mbps10,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho3_mbps10\trace.csv,,,,9.994771,9.994771,41,272,272,6.634,7.000,1.540,0.540,8.816,15043.1,99798.4,16.081,106.683,18832.1,9.333,89.411751,593.170643,5931.706434,593.812251,1.047603
budget_rho3_mbps20,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho3_mbps20\trace.csv,,,,19.991571,19.991571,41,272,272,6.634,7.000,1.926,0.926,17.129,16220.4,107608.4,17.346,115.073,37667.9,16.147,89.411751,593.170643,5931.706434,593.886850,1.122202
budget_rho3_mbps40,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho3_mbps40\trace.csv,,,,35.574260,35.574260,41,272,272,6.634,7.000,2.507,1.507,32.842,18055.4,119782.4,18.625,123.561,67028.7,27.182,89.411751,593.170643,5931.706434,594.003133,1.238485
budget_rho3_mbps60,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho3_mbps60\trace.csv,,,,35.574260,35.574260,41,272,272,6.634,7.000,2.507,1.507,32.842,18055.4,119782.4,18.625,123.561,67028.7,27.182,89.411751,593.170643,5931.706434,594.003133,1.238485
budget_rho3_mbps68,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho3_mbps68\trace.csv,,,,35.574260,35.574260,41,272,272,6.634,7.000,2.507,1.507,32.842,18055.4,119782.4,18.625,123.561,67028.7,27.182,89.411751,593.170643,5931.706434,594.003133,1.238485
budget_rho3_mbps84,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho3_mbps84\trace.csv,,,,35.574260,35.574260,41,272,272,6.634,7.000,2.507,1.507,32.842,18055.4,119782.4,18.625,123.561,67028.7,27.182,89.411751,593.170643,5931.706434,594.003133,1.238485
budget_rho4_mbps1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho4_mbps1\trace.csv,,,,0.971614,0.971614,41,272,272,6.634,7.000,1.173,0.173,0.335,13980.6,92749.0,14.908,98.902,1830.7,1.013,89.411751,593.170643,5931.706434,593.744917,0.980269
budget_rho4_mbps5,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho4_mbps5\trace.csv,,,,4.985038,4.985038,41,272,272,6.634,7.000,1.301,0.301,2.728,14453.2,95884.5,15.121,100.317,9392.8,4.688,89.411751,593.170643,5931.706434,593.774867,1.010218
budget_rho4_mbps10,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho4_mbps10\trace.csv,,,,9.985717,9.985717,41,272,272,6.634,7.000,1.493,0.493,6.320,15042.1,99791.3,15.500,102.829,18815.0,7.862,89.411751,593.170643,5931.706434,593.812183,1.047535
budget_rho4_mbps20,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho4_mbps20\trace.csv,,,,19.978053,19.978053,41,272,272,6.634,7.000,1.820,0.820,11.346,16218.8,107597.8,16.482,109.341,37642.5,16.527,89.411751,593.170643,5931.706434,593.886749,1.122101
budget_rho4_mbps40,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho4_mbps40\trace.csv,,,,39.350572,39.350572,41,272,272,6.634,7.000,2.493,1.493,23.309,18500.1,122732.6,17.651,117.098,74144.0,29.716,89.411751,593.170643,5931.706434,594.031313,1.266665
budget_rho4_mbps60,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho4_mbps60\trace.csv,,,,40.103305,40.103305,41,272,272,6.634,7.000,2.507,1.507,24.051,18588.8,123320.7,17.695,117.390,75562.3,30.211,89.411751,593.170643,5931.706434,594.036930,1.272282
budget_rho4_mbps68,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho4_mbps68\trace.csv,,,,40.103305,40.103305,41,272,272,6.634,7.000,2.507,1.507,24.051,18588.8,123320.7,17.695,117.390,75562.3,30.211,89.411751,593.170643,5931.706434,594.036930,1.272282
budget_rho4_mbps84,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho4_mbps84\trace.csv,,,,40.103305,40.103305,41,272,272,6.634,7.000,2.507,1.507,24.051,18588.8,123320.7,17.699,117.415,75562.3,30.211,89.411751,593.170643,5931.706434,594.036930,1.272282
budget_rho5_mbps1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho5_mbps1\trace.csv,,,,0.983883,0.983883,41,272,272,6.634,7.000,1.151,0.151,0.301,13982.0,92758.6,14.787,98.098,1853.8,1.031,89.411751,593.170643,5931.706434,593.745009,0.980360
budget_rho5_mbps5,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho5_mbps5\trace.csv,,,,4.976765,4.976765,41,272,272,6.634,7.000,1.283,0.283,2.059,14452.2,95878.1,15.195,100.805,9377.2,4.934,89.411751,593.170643,5931.706434,593.774805,1.010157
budget_rho5_mbps10,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho5_mbps10\trace.csv,,,,9.968890,9.968890,41,272,272,6.634,7.000,1.478,0.478,4.610,15040.1,99778.2,15.529,103.024,18783.3,7.758,89.411751,593.170643,5931.706434,593.812058,1.047409
budget_rho5_mbps20,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho5_mbps20\trace.csv,,,,19.971216,19.971216,41,272,272,6.634,7.000,1.809,0.809,8.743,16218.0,107592.5,16.309,108.195,37629.6,16.153,89.411751,593.170643,5931.706434,593.886698,1.122050
budget_rho5_mbps40,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho5_mbps40\trace.csv,,,,39.967469,39.967469,41,272,272,6.634,7.000,2.386,1.386,16.724,18572.8,123214.6,17.290,114.707,75306.4,30.691,89.411751,593.170643,5931.706434,594.035916,1.271268
budget_rho5_mbps60,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho5_mbps60\trace.csv,,,,43.966220,43.966220,41,272,272,6.634,7.000,2.507,1.507,19.537,19043.7,126338.6,17.434,115.659,82840.8,32.891,89.411751,593.170643,5931.706434,594.065756,1.301108
budget_rho5_mbps68,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho5_mbps68\trace.csv,,,,43.966220,43.966220,41,272,272,6.634,7.000,2.507,1.507,19.537,19043.7,126338.6,17.438,115.683,82840.8,32.891,89.411751,593.170643,5931.706434,594.065756,1.301108
budget_rho5_mbps84,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho5_mbps84\trace.csv,,,,43.966220,43.966220,41,272,272,6.634,7.000,2.507,1.507,19.537,19043.7,126338.6,17.434,115.659,82840.8,32.891,89.411751,593.170643,5931.706434,594.065756,1.301108
