label,parameter,setting,rho_th,raw_budget_mbps,ap_03,ap_05,ap_07,raw_lidar_mbps,box_mbps,total_mbps,avg_source_cavs,avg_selected_grids,evaluated_frames,trace_rows,receiver_policy,late_fusion,resource_allocation,clustering,upload_mode,num_channels,bandwidth_mhz,communication_deadline_ms,checkpoint,artifact_stem,trace_path,log_path
raw_mbps_budget=1,raw_mbps_budget,1,1,1,0.80,0.72,0.50,1.00,0.68,1.68,1.15,1.76,41,278,all-cluster-heads,inter_cluster_nms,dynamic_cv,potential_verified_cov_coalition_game,grid,10,40.0,60.0,attentive,budget_rho1_mbps1,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps1\trace.csv,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps1\run.out
raw_mbps_budget=5,raw_mbps_budget,5,1,5,0.83,0.77,0.55,5.00,0.81,5.81,1.59,18.76,41,278,all-cluster-heads,inter_cluster_nms,dynamic_cv,potential_verified_cov_coalition_game,grid,10,40.0,60.0,attentive,budget_rho1_mbps5,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps5\trace.csv,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps5\run.out
raw_mbps_budget=10,raw_mbps_budget,10,1,10,0.82,0.75,0.54,10.00,0.87,10.87,2.01,33.47,41,279,all-cluster-heads,inter_cluster_nms,dynamic_cv,potential_verified_cov_coalition_game,grid,10,40.0,60.0,attentive,budget_rho1_mbps10,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps10\trace.csv,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps10\run.out
raw_mbps_budget=20,raw_mbps_budget,20,1,20,0.85,0.79,0.57,16.61,0.91,17.52,2.47,58.13,41,278,all-cluster-heads,inter_cluster_nms,dynamic_cv,potential_verified_cov_coalition_game,grid,10,40.0,60.0,attentive,budget_rho1_mbps20,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps20\trace.csv,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps20\run.out
raw_mbps_budget=40,raw_mbps_budget,40,1,40,0.85,0.79,0.57,16.61,0.91,17.52,2.47,58.13,41,278,all-cluster-heads,inter_cluster_nms,dynamic_cv,potential_verified_cov_coalition_game,grid,10,40.0,60.0,attentive,budget_rho1_mbps40,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps40\trace.csv,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps40\run.out
raw_mbps_budget=60,raw_mbps_budget,60,1,60,0.85,0.79,0.57,16.61,0.91,17.52,2.47,58.13,41,278,all-cluster-heads,inter_cluster_nms,dynamic_cv,potential_verified_cov_coalition_game,grid,10,40.0,60.0,attentive,budget_rho1_mbps60,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps60\trace.csv,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps60\run.out
raw_mbps_budget=68,raw_mbps_budget,68,1,68,0.85,0.79,0.57,16.61,0.91,17.52,2.47,58.13,41,278,all-cluster-heads,inter_cluster_nms,dynamic_cv,potential_verified_cov_coalition_game,grid,10,40.0,60.0,attentive,budget_rho1_mbps68,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps68\trace.csv,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps68\run.out
raw_mbps_budget=84,raw_mbps_budget,84,1,84,0.85,0.79,0.57,16.59,0.91,17.50,2.47,58.08,41,279,all-cluster-heads,inter_cluster_nms,dynamic_cv,potential_verified_cov_coalition_game,grid,10,40.0,60.0,attentive,budget_rho1_mbps84,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps84\trace.csv,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho1_mbps84\run.out
raw_mbps_budget=1,raw_mbps_budget,1,2,1,0.79,0.71,0.48,1.00,0.67,1.67,1.28,0.91,41,272,all-cluster-heads,inter_cluster_nms,dynamic_cv,potential_verified_cov_coalition_game,grid,10,40.0,60.0,attentive,budget_rho2_mbps1,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps1\trace.csv,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps1\run.out
raw_mbps_budget=5,raw_mbps_budget,5,2,5,0.82,0.74,0.51,5.00,0.71,5.71,1.52,9.22,41,272,all-cluster-heads,inter_cluster_nms,dynamic_cv,potential_verified_cov_coalition_game,grid,10,40.0,60.0,attentive,budget_rho2_mbps5,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps5\trace.csv,docs\doc_workspace\SGCP\artifacts\dense_dynamic_cv_sensitivity_20260729\budget_rho2_mbps5\run.out
