scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,gt_scope,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,selective_global_budget_bytes,selective_global_admitted_bytes,selective_global_candidate_bytes,selective_global_admitted_links,selective_global_candidate_links,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,edgecooper_pmax_density_cap_rho,local_preserving_output,local_preserving_extra_calls,local_preserving_extra_point_counts_json,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000060,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,1;2;8;11,1;11,11,"{""11"": 33}","{""1"": 13948, ""11"": 2495}",39920,22.202447163515018,10,40.0,60.0,40.0,500000,330112,330112,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],11>1:0,,25,72,
2026_07_29_02_32_08,000060,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,9;10,10;9,9,"{""9"": 33}","{""9"": 1309, ""10"": 14073}",20944,11.648498331479422,10,40.0,60.0,40.0,500000,330112,330112,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,18,72,
2026_07_29_02_32_08,000060,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,4;7;12,12;7,7,"{""7"": 33}","{""7"": 2861, ""12"": 13881}",45776,25.45939933259177,10,40.0,60.0,40.0,500000,330112,330112,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:2,,25,72,
2026_07_29_02_32_08,000060,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,13;14;19,13;14;19,14;19,"{""14"": 33, ""19"": 33}","{""13"": 13569, ""14"": 4181, ""19"": 1299}",87680,37.20578420467186,10,40.0,60.0,40.0,500000,330112,330112,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:7,,6,72,
2026_07_29_02_32_08,000060,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,6;15,15;6,6,"{""6"": 33}","{""6"": 2617, ""15"": 13458}",41872,23.2880978865406,10,40.0,60.0,40.0,500000,330112,330112,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,17,72,
2026_07_29_02_32_08,000060,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,5;16;20,16;5;20,5;20,"{""5"": 33, ""20"": 33}","{""5"": 1144, ""16"": 13819, ""20"": 1211}",37680,10.776418242491658,10,40.0,60.0,40.0,500000,330112,330112,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],5>16:9;20>16:5,,23,72,
2026_07_29_02_32_08,000060,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,3;17;18,17;3;18,3;18,"{""3"": 33, ""18"": 30}","{""3"": 1370, ""17"": 14142, ""18"": 2145}",56240,19.087875417130142,10,40.0,60.0,40.0,500000,330112,330112,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],3>17:8;18>17:6,,10,72,
2026_07_29_02_32_08,000062,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,1;2;8;11,1;2,2,"{""2"": 33}","{""1"": 13948, ""2"": 2494}",39904,22.193548387096776,10,40.0,60.0,40.0,500000,330048,330048,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0,,28,72,
2026_07_29_02_32_08,000062,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,9;10,10;9,9,"{""9"": 33}","{""9"": 1297, ""10"": 14074}",20752,11.54171301446051,10,40.0,60.0,40.0,500000,330048,330048,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,23,72,
2026_07_29_02_32_08,000062,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,4;7;12,12;7,7,"{""7"": 33}","{""7"": 2881, ""12"": 13882}",46096,25.63737486095662,10,40.0,60.0,40.0,500000,330048,330048,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],7>12:2,,29,72,
2026_07_29_02_32_08,000062,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,13;14;19,13;14;19,14;19,"{""14"": 33, ""19"": 33}","{""13"": 13569, ""14"": 4150, ""19"": 1285}",86960,36.92992213570634,10,40.0,60.0,40.0,500000,330048,330048,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:8,,6,72,
2026_07_29_02_32_08,000062,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,6;15,15;6,6,"{""6"": 33}","{""6"": 2608, ""15"": 13488}",41728,23.208008898776416,10,40.0,60.0,40.0,500000,330048,330048,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,16,72,
2026_07_29_02_32_08,000062,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,5;16;20,16;5;20,5;20,"{""5"": 33, ""20"": 33}","{""5"": 1145, ""16"": 13788, ""20"": 1218}",37808,10.838709677419356,10,40.0,60.0,40.0,500000,330048,330048,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],5>16:9;20>16:5,,22,72,
2026_07_29_02_32_08,000062,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,dynamic_cv,full-frame,grid,utility,utility,none,0,0,,potential_verified_cov_coalition_game,7,,,,,,,3;17;18,17;3;18,3;18,"{""3"": 33, ""18"": 30}","{""3"": 1373, ""17"": 14128, ""18"": 2177}",56800,19.372636262513904,10,40.0,60.0,40.0,500000,330048,330048,2.0,,0,,{},sgcp-density-cap,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;18>17:6,,10,72,
