scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,gt_scope,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,selective_global_budget_bytes,selective_global_admitted_bytes,selective_global_candidate_bytes,selective_global_admitted_links,selective_global_candidate_links,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,edgecooper_pmax_density_cap_rho,local_preserving_output,local_preserving_extra_calls,local_preserving_extra_point_counts_json,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000060,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13948, ""2"": 13829, ""3"": 14168, ""4"": 13839, ""5"": 13942, ""6"": 12973, ""7"": 13936, ""8"": 13742, ""9"": 13819, ""10"": 14073, ""11"": 13866, ""12"": 13881, ""13"": 13569, ""14"": 14331, ""15"": 13458, ""16"": 13819, ""17"": 14142, ""18"": 14258, ""19"": 13725, ""20"": 13918}",4212608,127.52836484983315,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,66,72,
2026_07_29_02_32_08,000062,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13948, ""2"": 13829, ""3"": 14164, ""4"": 13826, ""5"": 13942, ""6"": 13002, ""7"": 13932, ""8"": 13742, ""9"": 13818, ""10"": 14074, ""11"": 13869, ""12"": 13882, ""13"": 13569, ""14"": 14313, ""15"": 13488, ""16"": 13788, ""17"": 14128, ""18"": 14261, ""19"": 13710, ""20"": 13916}",4212048,127.36818687430478,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:1;13>1:4;14>1:2;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,66,72,
2026_07_29_02_32_08,000064,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13948, ""2"": 13829, ""3"": 14159, ""4"": 13808, ""5"": 13941, ""6"": 13022, ""7"": 13939, ""8"": 13743, ""9"": 13818, ""10"": 14075, ""11"": 13865, ""12"": 13868, ""13"": 13570, ""14"": 14309, ""15"": 13466, ""16"": 13804, ""17"": 14138, ""18"": 14230, ""19"": 13703, ""20"": 13917}",4211264,127.33259176863181,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,68,72,
2026_07_29_02_32_08,000066,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13953, ""2"": 13825, ""3"": 14131, ""4"": 13813, ""5"": 13943, ""6"": 13048, ""7"": 13940, ""8"": 13743, ""9"": 13815, ""10"": 14050, ""11"": 13866, ""12"": 13863, ""13"": 13570, ""14"": 14292, ""15"": 13477, ""16"": 13800, ""17"": 14142, ""18"": 14247, ""19"": 13700, ""20"": 13915}",4210880,127.1813125695217,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,69,72,
2026_07_29_02_32_08,000068,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13961, ""2"": 13833, ""3"": 14123, ""4"": 13791, ""5"": 13943, ""6"": 13088, ""7"": 13949, ""8"": 13743, ""9"": 13817, ""10"": 14059, ""11"": 13865, ""12"": 13886, ""13"": 13572, ""14"": 14299, ""15"": 13482, ""16"": 13828, ""17"": 14134, ""18"": 14222, ""19"": 13694, ""20"": 13918}",4211936,127.2436040044494,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,66,72,
2026_07_29_02_32_08,000070,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13972, ""2"": 13827, ""3"": 14097, ""4"": 13808, ""5"": 13943, ""6"": 13093, ""7"": 13960, ""8"": 13746, ""9"": 13816, ""10"": 14027, ""11"": 13862, ""12"": 13891, ""13"": 13574, ""14"": 14308, ""15"": 13489, ""16"": 13833, ""17"": 14129, ""18"": 14222, ""19"": 13707, ""20"": 13917}",4211984,127.32369299221358,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,66,72,
2026_07_29_02_32_08,000072,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13979, ""2"": 13830, ""3"": 14068, ""4"": 13811, ""5"": 13965, ""6"": 13135, ""7"": 13959, ""8"": 13744, ""9"": 13817, ""10"": 14033, ""11"": 13861, ""12"": 13906, ""13"": 13566, ""14"": 14267, ""15"": 13501, ""16"": 13827, ""17"": 14140, ""18"": 14223, ""19"": 13702, ""20"": 13917}",4212352,126.95884315906564,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,64,71,
2026_07_29_02_32_08,000074,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13979, ""2"": 13831, ""3"": 14058, ""4"": 13788, ""5"": 13965, ""6"": 13165, ""7"": 13968, ""8"": 13742, ""9"": 13820, ""10"": 14016, ""11"": 13860, ""12"": 13902, ""13"": 13577, ""14"": 14272, ""15"": 13494, ""16"": 13876, ""17"": 14148, ""18"": 14193, ""19"": 13703, ""20"": 13916}",4212704,127.00333704115685,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,64,70,
2026_07_29_02_32_08,000076,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13981, ""2"": 13829, ""3"": 14035, ""4"": 13778, ""5"": 13972, ""6"": 13188, ""7"": 13977, ""8"": 13741, ""9"": 13819, ""10"": 13999, ""11"": 13862, ""12"": 13921, ""13"": 13582, ""14"": 14276, ""15"": 13485, ""16"": 13891, ""17"": 14123, ""18"": 14179, ""19"": 13702, ""20"": 13918}",4212432,127.03893214682982,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;4>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;16>1:6;17>1:0;18>1:5,3;5;7;8;9;10;11;19;20,65,70,
2026_07_29_02_32_08,000078,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,potential_game,full-frame,full_cluster,utility,utility,none,0,0,,all_in_one,1,,,,,,,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20,{},"{""1"": 13979, ""2"": 13847, ""3"": 14039, ""4"": 13750, ""5"": 13966, ""6"": 13194, ""7"": 13961, ""8"": 13738, ""9"": 13821, ""10"": 13996, ""11"": 13862, ""12"": 13942, ""13"": 13583, ""14"": 14292, ""15"": 13505, ""16"": 13902, ""17"": 14122, ""18"": 14179, ""19"": 13702, ""20"": 13917}",4213088,127.1813125695217,10,40.0,60.0,,,,,,,0,,{},,1,ns3,899,0.5,10,12,28,,,[],[],2>1:7;3>1:9;6>1:3;12>1:2;13>1:4;14>1:1;15>1:8;17>1:0;18>1:5;20>1:6,4;5;7;8;9;10;11;16;19,66,70,
