scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,selective_global_budget_bytes,selective_global_admitted_bytes,selective_global_candidate_bytes,selective_global_admitted_links,selective_global_candidate_links,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,upload_density_cap_rho,edgecooper_pmax_density_cap_rho,local_preserving_output,local_preserving_extra_calls,local_preserving_extra_point_counts_json,upload_density_cap_seed,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_29_02_32_08,000060,1,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,20.0,359600,359600,1507424,49,49,1,1;2;8;11,2;8;11,"{""2"": 3, ""8"": 3, ""11"": 4}","{""1"": 13948, ""2"": 488, ""8"": 355, ""11"": 706}",24784,1.3784204671857618,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""1"": 13948}",,2,ns3,899,0.5,10,12,28,,,[],[],,2;8;11,25,52,
2026_07_29_02_32_08,000060,2,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,20.0,359600,359600,1507424,49,49,2,2;1;10;11,1;10;11,"{""1"": 4, ""10"": 4, ""11"": 3}","{""1"": 464, ""2"": 13829, ""10"": 775, ""11"": 335}",25184,1.4006674082313681,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""2"": 13829}",,2,ns3,899,0.5,10,12,28,,,[],[],,1;10;11,25,56,
2026_07_29_02_32_08,000060,3,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,20.0,359600,359600,1507424,49,49,3,3;17;18,17;18,"{""17"": 4, ""18"": 4}","{""3"": 14168, ""17"": 269, ""18"": 576}",13520,0.7519466073414905,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""3"": 14168}",,2,ns3,899,0.5,10,12,28,,,[],[],,17;18,19,30,
2026_07_29_02_32_08,000060,4,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,20.0,359600,359600,1507424,49,49,4,4;1;7;12,1;7;12,"{""1"": 4, ""7"": 3, ""12"": 3}","{""1"": 728, ""4"": 13839, ""7"": 289, ""12"": 254}",20336,1.1310344827586207,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""4"": 13839}",,2,ns3,899,0.5,10,12,28,,,[],[],,1;7;12,24,55,
2026_07_29_02_32_08,000060,5,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,20.0,359600,359600,1507424,49,49,5,5;7;13;20,7;13;20,"{""7"": 4, ""13"": 3, ""20"": 3}","{""5"": 13942, ""7"": 573, ""13"": 511, ""20"": 196}",20480,1.139043381535039,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""5"": 13942}",,2,ns3,899,0.5,10,12,28,,,[],[],,7;13;20,20,43,
2026_07_29_02_32_08,000060,6,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,20.0,359600,359600,1507424,49,49,6,6;15,15,"{""15"": 4}","{""6"": 12973, ""15"": 595}",9520,0.5294771968854283,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""6"": 12973}",,2,ns3,899,0.5,10,12,28,,,[],[],,15,13,21,
2026_07_29_02_32_08,000060,7,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,20.0,359600,359600,1507424,49,49,7,7;4;12;20,4;12;20,"{""4"": 3, ""12"": 4, ""20"": 4}","{""4"": 192, ""7"": 13936, ""12"": 699, ""20"": 443}",21344,1.1870967741935483,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""7"": 13936}",,2,ns3,899,0.5,10,12,28,,,[],[],,4;12;20,27,45,
2026_07_29_02_32_08,000060,8,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,20.0,359600,359600,1507424,49,49,8,8;1;4;11,1;4;11,"{""1"": 3, ""4"": 3, ""11"": 3}","{""1"": 493, ""4"": 473, ""8"": 13742, ""11"": 399}",21840,1.2146829810901,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""8"": 13742}",,2,ns3,899,0.5,10,12,28,,,[],[],,1;4;11,23,47,
2026_07_29_02_32_08,000060,9,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,20.0,359600,359600,1507424,49,49,9,9;5;13;19,5;13;19,"{""5"": 4, ""13"": 3, ""19"": 3}","{""5"": 653, ""9"": 13819, ""13"": 397, ""19"": 220}",20320,1.1301446051167965,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""9"": 13819}",,2,ns3,899,0.5,10,12,28,,,[],[],,5;13;19,21,46,
2026_07_29_02_32_08,000060,10,all-cavs,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_pmax,grid,,,,,,,singleton,20,20.0,359600,359600,1507424,49,49,10,10;8;16;19,8;16;19,"{""8"": 4, ""16"": 3, ""19"": 4}","{""8"": 488, ""10"": 14073, ""16"": 571, ""19"": 291}",21600,1.2013348164627364,10,40.0,60.0,,,,,2.0,2.0,1,1,"{""10"": 14073}",,2,ns3,899,0.5,10,12,28,,,[],[],,8;16;19,24,53,
