rho_bin_left,rho_bin_right,rho_mid,grid_count,grid_ratio,f_rho_sigmoid_th_0.5,f_rho_sigmoid_th_1,f_rho_sigmoid_th_2,f_rho_sigmoid_th_3,f_rho_sigmoid_th_4
0.000000,0.250000,0.125000,770457,0.977712,0.407333,0.294215,0.132964,0.053403,0.020332
0.250000,0.500000,0.375000,6331,0.008034,0.468791,0.348645,0.164516,0.067547,0.025957
0.500000,0.750000,0.625000,2756,0.003497,0.531209,0.407333,0.201813,0.085099,0.033086
0.750000,1.000000,0.875000,1995,0.002532,0.592667,0.468791,0.245085,0.106691,0.042088
1.000000,1.250000,1.125000,1282,0.001627,0.651355,0.531209,0.294215,0.132964,0.053403
1.250000,1.500000,1.375000,767,0.000973,0.705785,0.592667,0.348645,0.164516,0.067547
1.500000,1.750000,1.625000,574,0.000728,0.754915,0.651355,0.407333,0.201813,0.085099
1.750000,2.000000,1.875000,475,0.000603,0.798187,0.705785,0.468791,0.245085,0.106691
2.000000,2.250000,2.125000,289,0.000367,0.835484,0.754915,0.531209,0.294215,0.132964
2.250000,2.500000,2.375000,223,0.000283,0.867036,0.798187,0.592667,0.348645,0.164516
2.500000,2.750000,2.625000,151,0.000192,0.893309,0.835484,0.651355,0.407333,0.201813
2.750000,3.000000,2.875000,133,0.000169,0.914901,0.867036,0.705785,0.468791,0.245085
3.000000,3.250000,3.125000,90,0.000114,0.932453,0.893309,0.754915,0.531209,0.294215
3.250000,3.500000,3.375000,112,0.000142,0.946597,0.914901,0.798187,0.592667,0.348645
3.500000,3.750000,3.625000,98,0.000124,0.957912,0.932453,0.835484,0.651355,0.407333
3.750000,4.000000,3.875000,95,0.000121,0.966914,0.946597,0.867036,0.705785,0.468791
4.000000,4.250000,4.125000,51,0.000065,0.974043,0.957912,0.893309,0.754915,0.531209
4.250000,4.500000,4.375000,64,0.000081,0.979668,0.966914,0.914901,0.798187,0.592667
4.500000,4.750000,4.625000,52,0.000066,0.984094,0.974043,0.932453,0.835484,0.651355
4.750000,5.000000,4.875000,68,0.000086,0.987568,0.979668,0.946597,0.867036,0.705785
5.000000,5.250000,5.125000,77,0.000098,0.990292,0.984094,0.957912,0.893309,0.754915
