scenario_id,timestamp,cav_count,grid_count,point_count,nonzero_grid_ratio,default_high_density_ratio,density_mean,density_p50,density_p75,density_p90,density_p95,density_p99,density_max,nonzero_density_mean,nonzero_density_p50,nonzero_density_p75,nonzero_density_p90,nonzero_density_p95,nonzero_density_p99
2026_07_15_01_26_56,000060,20,19220,97623,0.05842872008324662,0.004266389177939646,0.050792403746097815,0.0,0.0,0.0,0.02,0.8081000000000131,34.27,0.8693054318788959,0.13,0.47,1.434000000000002,3.366999999999996,14.427199999999994
2026_07_15_01_26_56,000062,20,19220,97620,0.058324661810613944,0.004318418314255983,0.05079084287200832,0.0,0.0,0.0,0.02,0.8,34.27,0.8708296164139161,0.13,0.47,1.48,3.44,14.519999999999998
2026_07_15_01_26_56,000064,20,19220,97678,0.05889698231009365,0.004162330905306972,0.0508210197710718,0.0,0.0,0.0,0.020499999999992725,0.7981000000000131,34.27,0.8628798586572438,0.14,0.46,1.42,3.548000000000002,14.24680000000004
2026_07_15_01_26_56,000066,20,19220,97631,0.059105098855359,0.004214360041623309,0.05079656607700312,0.0,0.0,0.0,0.020499999999992725,0.8,34.26,0.8594278169014085,0.13,0.4625,1.43,3.5300000000000002,14.008500000000044
2026_07_15_01_26_56,000068,20,19220,97632,0.059365244536940684,0.004214360041623309,0.05079708636836628,0.0,0.0,0.0,0.02,0.81,34.26,0.8556704645048204,0.13,0.46,1.44,3.62,13.729999999999967
2026_07_15_01_26_56,000070,20,19220,97647,0.05884495317377732,0.004162330905306972,0.05080489073881374,0.0,0.0,0.0,0.03,0.81,34.26,0.863368700265252,0.13,0.47,1.41,3.625,13.490000000000009
2026_07_15_01_26_56,000072,20,19220,97628,0.05926118626430801,0.004214360041623309,0.05079500520291363,0.0,0.0,0.0,0.03,0.8,34.26,0.8571378402107112,0.13,0.455,1.3940000000000008,3.710999999999999,13.19779999999998
2026_07_15_01_26_56,000074,20,19220,97597,0.05874089490114464,0.004058272632674297,0.05077887617065557,0.0,0.0,0.0,0.02,0.8,34.27,0.8644552701505758,0.14,0.47,1.3320000000000027,3.7139999999999964,12.795200000000005
2026_07_15_01_26_56,000076,20,19220,97635,0.059053069719042665,0.004214360041623309,0.05079864724245577,0.0,0.0,0.0,0.02,0.8,34.26,0.8602202643171806,0.13,0.47,1.3920000000000003,3.6729999999999996,12.986000000000049
2026_07_15_01_26_56,000078,20,19220,97645,0.05853277835587929,0.004266389177939646,0.050803850156087405,0.0,0.0,0.0,0.02,0.79,34.21,0.8679555555555555,0.14,0.48,1.394000000000001,3.6119999999999957,13.58039999999999
2026_07_15_01_26_56,000080,20,19220,97627,0.059625390218522374,0.00437044745057232,0.05079448491155047,0.0,0.0,0.0,0.02,0.82,33.71,0.8518935427574171,0.13,0.46,1.35,3.6875,13.934499999999973
2026_07_15_01_26_56,000082,20,19220,97627,0.05931321540062435,0.004318418314255983,0.05079448491155047,0.0,0.0,0.0,0.02,0.8481000000000131,34.05,0.8563771929824561,0.13,0.47,1.3710000000000016,3.490999999999999,14.21199999999998
2026_07_15_01_26_56,000084,20,19220,97664,0.05900104058272633,0.00437044745057232,0.050813735691987515,0.0,0.0,0.0,0.02,0.8581000000000131,34.27,0.8612345679012345,0.14,0.46749999999999997,1.4,3.44399999999996,13.66850000000004
2026_07_15_01_26_56,000086,20,19220,97713,0.05884495317377732,0.004214360041623309,0.050839229968782526,0.0,0.0,0.0,0.02,0.86,34.27,0.8639522546419097,0.13,0.48,1.4,3.535,12.909000000000022
2026_07_15_01_26_56,000088,20,19220,97693,0.059729448491155045,0.004266389177939646,0.05082882414151925,0.0,0.0,0.0,0.03,0.8481000000000131,34.41,0.8509843205574913,0.13,0.46,1.4,3.3159999999999945,12.185399999999994
2026_07_15_01_26_56,000090,20,19220,97699,0.06014568158168574,0.004266389177939646,0.05083194588969823,0.0,0.0,0.0,0.03,0.828100000000013,34.4,0.8451470588235295,0.13,0.46,1.395,3.4074999999999998,12.542500000000066
2026_07_15_01_26_56,000092,20,19220,97743,0.06004162330905307,0.004266389177939646,0.050854838709677413,0.0,0.0,0.0,0.03,0.78,34.27,0.8469930675909879,0.13,0.46,1.4070000000000005,3.521999999999971,13.064500000000065
2026_07_15_01_26_56,000094,20,19220,97782,0.06014568158168574,0.004474505723204995,0.050875130072840793,0.0,0.0,0.0,0.03,0.7981000000000131,34.41,0.8458650519031142,0.13,0.46,1.42,3.2675,13.105500000000099
2026_07_15_01_26_56,000096,20,19220,97696,0.06024973985431842,0.004526534859521332,0.05083038501560874,0.0,0.0,0.0,0.03,0.8162000000000261,34.4,0.8436614853195165,0.13,0.44,1.4329999999999994,3.387999999999984,13.386600000000103
2026_07_15_01_26_56,000098,20,19220,97666,0.059729448491155045,0.004578563995837669,0.05081477627471384,0.0,0.0,0.0,0.03,0.82,34.39,0.8507491289198607,0.13,0.44,1.4329999999999994,3.159499999999996,13.647299999999962
