scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,dynamic_marginal_potential_game,grid,utility,utility,none,0,0,,pv_cov_coalition_game,6,,4;8;12,4;12;8,12;8,"{""8"": 52, ""12"": 57}","{""4"": 4886, ""8"": 4781, ""12"": 2125}",110496,42.54505005561735,10,40.0,200.0,60.0,750000,658448,658448,1,ns3,899,0.5,10,12,28,,,[],[],8>4:9;12>4:7,,30,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,dynamic_marginal_potential_game,grid,utility,utility,none,0,0,,pv_cov_coalition_game,6,,1;2;10;11,11;10;2,10;2,"{""2"": 48, ""10"": 53}","{""2"": 3092, ""10"": 4871, ""11"": 4909}",127408,43.34593993325918,10,40.0,200.0,60.0,750000,658448,658448,1,ns3,899,0.5,10,12,28,,,[],[],2>11:5;10>11:1,,26,45,
2026_07_15_01_26_56,000060,13,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,dynamic_marginal_potential_game,grid,utility,utility,none,0,0,,pv_cov_coalition_game,6,,9;13;14;19,13;14;9,14;9,"{""9"": 46, ""14"": 53}","{""9"": 3783, ""13"": 4793, ""14"": 5044}",141232,44.885428253615125,10,40.0,200.0,60.0,750000,658448,658448,1,ns3,899,0.5,10,12,28,,,[],[],9>13:6;14>13:0,,8,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,dynamic_marginal_potential_game,grid,utility,utility,none,0,0,,pv_cov_coalition_game,6,,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,39.91101223581757,10,40.0,200.0,60.0,750000,658448,658448,1,ns3,899,0.5,10,12,28,,,[],[],6>15:2,,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,dynamic_marginal_potential_game,grid,utility,utility,none,0,0,,pv_cov_coalition_game,6,,5;7;16;20,16;7,7,"{""7"": 52}","{""7"": 4678, ""16"": 4857}",74848,41.62847608453838,10,40.0,200.0,60.0,750000,658448,658448,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4,,15,29,
2026_07_15_01_26_56,000060,17,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,dynamic_marginal_potential_game,grid,utility,utility,none,0,0,,pv_cov_coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 56, ""18"": 57}","{""3"": 3324, ""17"": 4967, ""18"": 4970}",132704,44.22691879866519,10,40.0,200.0,60.0,750000,658448,658448,1,ns3,899,0.5,10,12,28,,,[],[],3>17:3;18>17:8,,9,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,dynamic_marginal_potential_game,grid,utility,utility,none,0,0,,pv_cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 49, ""11"": 49}","{""1"": 4921, ""2"": 4399, ""11"": 4106}",136080,39.14571746384872,10,40.0,200.0,60.0,750000,660000,660000,1,ns3,899,0.5,10,12,28,,,[],[],2>1:2;11>1:8,,27,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,dynamic_marginal_potential_game,grid,utility,utility,none,0,0,,pv_cov_coalition_game,6,,4;12,12;4,4,"{""4"": 57}","{""4"": 3322, ""12"": 4894}",53152,29.56173526140156,10,40.0,200.0,60.0,750000,660000,660000,1,ns3,899,0.5,10,12,28,,,[],[],4>12:7,,17,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,dynamic_marginal_potential_game,grid,utility,utility,none,0,0,,pv_cov_coalition_game,6,,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,39.84872080088988,10,40.0,200.0,60.0,750000,660000,660000,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,15,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/enable_coperception_early_from_attentive.yaml,dynamic_marginal_potential_game,grid,utility,utility,none,0,0,,pv_cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 54, ""20"": 47}","{""7"": 4709, ""16"": 4866, ""20"": 2995}",123264,41.90433815350389,10,40.0,200.0,60.0,750000,660000,660000,1,ns3,899,0.5,10,12,28,,,[],[],7>16:5;20>16:9,,21,30,
