timestamp,senders_with_boxes,total_boxes,broadcast_messages,broadcast_packets,broadcast_bytes,broadcast_mbps,broadcast_scheduled_ms,broadcast_deadline_ok,broadcast_random_access_delivery_ratio,broadcast_random_access_full_success_prob,alltoall_messages,alltoall_packets,alltoall_bytes,alltoall_mbps,alltoall_scheduled_ms,alltoall_deadline_ok,alltoall_random_access_delivery_ratio,alltoall_random_access_full_success_prob,contention_rounds
000060,6,98,6,9,8224,0.657920,0.616000,1,1.000000,1.000000,114,171,156256,12.500480,9.237333,1,0.000678,0.000000,100
000062,6,106,6,10,8864,0.709120,0.616000,1,1.000000,1.000000,114,190,168416,13.473280,9.826667,1,0.000678,0.000000,100
000064,6,97,6,9,8144,0.651520,0.616000,1,1.000000,1.000000,114,171,154736,12.378880,9.018667,1,0.000678,0.000000,100
000066,6,102,6,9,8544,0.683520,0.616000,1,1.000000,1.000000,114,171,162336,12.986880,9.285333,1,0.000678,0.000000,100
000068,6,106,6,10,8864,0.709120,0.616000,1,1.000000,1.000000,114,190,168416,13.473280,9.832000,1,0.000678,0.000000,100
000070,6,105,6,11,8784,0.702720,0.616000,1,1.000000,1.000000,114,209,166896,13.351680,10.104000,1,0.000678,0.000000,100
000072,6,110,6,10,9184,0.734720,0.616000,1,1.000000,1.000000,114,190,174496,13.959680,10.018667,1,0.000678,0.000000,100
000074,6,107,6,10,8944,0.715520,0.616000,1,1.000000,1.000000,114,190,169936,13.594880,9.885333,1,0.000678,0.000000,100
000076,6,103,6,10,8624,0.689920,0.616000,1,1.000000,1.000000,114,190,163856,13.108480,9.613333,1,0.000678,0.000000,100
000078,6,104,6,10,8704,0.696320,0.616000,1,1.000000,1.000000,114,190,165376,13.230080,9.645333,1,0.000678,0.000000,100
000080,6,102,6,10,8544,0.683520,0.616000,1,1.000000,1.000000,114,190,162336,12.986880,9.592000,1,0.000678,0.000000,100
000082,6,111,6,10,9264,0.741120,0.616000,1,1.000000,1.000000,114,190,176016,14.081280,10.040000,1,0.000678,0.000000,100
000084,6,109,6,11,9104,0.728320,0.616000,1,1.000000,1.000000,114,209,172976,13.838080,10.365333,1,0.000678,0.000000,100
000086,6,113,6,10,9424,0.753920,0.616000,1,1.000000,1.000000,114,190,179056,14.324480,10.205333,1,0.000678,0.000000,100
000088,6,119,6,11,9904,0.792320,0.616000,1,1.000000,1.000000,114,209,188176,15.054080,10.877333,1,0.000678,0.000000,100
000090,6,112,6,11,9344,0.747520,0.616000,1,1.000000,1.000000,114,209,177536,14.202880,10.472000,1,0.000678,0.000000,100
000092,6,118,6,11,9824,0.785920,0.616000,1,1.000000,1.000000,114,209,186656,14.932480,10.770667,1,0.000678,0.000000,100
000094,6,115,6,11,9584,0.766720,0.616000,1,1.000000,1.000000,114,209,182096,14.567680,10.632000,1,0.000678,0.000000,100
000096,6,121,6,12,10064,0.805120,0.634667,1,1.000000,1.000000,114,228,191216,15.297280,11.357333,1,0.000678,0.000000,100
000098,6,117,6,11,9744,0.779520,0.616000,1,1.000000,1.000000,114,209,185136,14.810880,10.770667,1,0.000678,0.000000,100
000100,6,117,6,11,9744,0.779520,0.616000,1,1.000000,1.000000,114,209,185136,14.810880,10.792000,1,0.000678,0.000000,100
000102,6,113,6,11,9424,0.753920,0.616000,1,1.000000,1.000000,114,209,179056,14.324480,10.552000,1,0.000678,0.000000,100
000104,6,112,6,11,9344,0.747520,0.616000,1,1.000000,1.000000,114,209,177536,14.202880,10.498667,1,0.000678,0.000000,100
000106,6,113,6,12,9424,0.753920,0.616000,1,1.000000,1.000000,114,228,179056,14.324480,11.010667,1,0.000678,0.000000,100
000108,6,110,6,10,9184,0.734720,0.616000,1,1.000000,1.000000,114,190,174496,13.959680,9.938667,1,0.000678,0.000000,100
000110,6,110,6,11,9184,0.734720,0.616000,1,1.000000,1.000000,114,209,174496,13.959680,10.370667,1,0.000678,0.000000,100
000112,6,105,6,10,8784,0.702720,0.616000,1,1.000000,1.000000,114,190,166896,13.351680,9.752000,1,0.000678,0.000000,100
000114,6,101,6,10,8464,0.677120,0.616000,1,1.000000,1.000000,114,190,160816,12.865280,9.538667,1,0.000678,0.000000,100
000116,6,109,6,10,9104,0.728320,0.616000,1,1.000000,1.000000,114,190,172976,13.838080,9.912000,1,0.000678,0.000000,100
000118,6,101,6,10,8464,0.677120,0.616000,1,1.000000,1.000000,114,190,160816,12.865280,9.538667,1,0.000678,0.000000,100
000120,6,102,6,10,8544,0.683520,0.616000,1,1.000000,1.000000,114,190,162336,12.986880,9.565333,1,0.000678,0.000000,100
000122,6,102,6,10,8544,0.683520,0.616000,1,1.000000,1.000000,114,190,162336,12.986880,9.592000,1,0.000678,0.000000,100
000124,6,106,6,10,8864,0.709120,0.616000,1,1.000000,1.000000,114,190,168416,13.473280,9.800000,1,0.000678,0.000000,100
000126,6,107,6,10,8944,0.715520,0.616000,1,1.000000,1.000000,114,190,169936,13.594880,9.805333,1,0.000678,0.000000,100
000128,6,110,6,10,9184,0.734720,0.616000,1,1.000000,1.000000,114,190,174496,13.959680,9.965333,1,0.000678,0.000000,100
000130,6,107,6,10,8944,0.715520,0.616000,1,1.000000,1.000000,114,190,169936,13.594880,9.805333,1,0.000678,0.000000,100
000132,6,94,6,10,7904,0.632320,0.616000,1,1.000000,1.000000,114,190,150176,12.014080,9.138667,1,0.000678,0.000000,100
