timestamp,senders_with_boxes,total_boxes,broadcast_messages,broadcast_packets,broadcast_bytes,broadcast_mbps,broadcast_scheduled_ms,broadcast_deadline_ok,broadcast_random_access_delivery_ratio,broadcast_random_access_full_success_prob,alltoall_messages,alltoall_packets,alltoall_bytes,alltoall_mbps,alltoall_scheduled_ms,alltoall_deadline_ok,alltoall_random_access_delivery_ratio,alltoall_random_access_full_success_prob,contention_rounds
000060,19,220,19,36,29376,2.350080,2.890667,1,1.000000,1.000000,361,684,558144,44.651520,53.224000,1,0.000000,0.000000,100
000062,18,209,18,32,27904,2.232320,2.805333,1,1.000000,1.000000,342,608,530176,42.414080,49.512000,1,0.000000,0.000000,100
000064,18,213,18,32,28416,2.273280,2.720000,1,1.000000,1.000000,342,608,539904,43.192320,50.173333,1,0.000000,0.000000,100
000066,17,194,17,30,25920,2.073600,2.573333,1,1.000000,1.000000,323,570,492480,39.398400,46.162667,1,0.000000,0.000000,100
000068,18,213,18,34,28416,2.273280,2.805333,1,1.000000,1.000000,342,646,539904,43.192320,51.080000,1,0.000000,0.000000,100
000070,18,202,18,33,27008,2.160640,2.698667,1,1.000000,1.000000,342,627,513152,41.052160,48.813333,1,0.000000,0.000000,100
000072,18,206,18,32,27520,2.201600,2.773333,1,1.000000,1.000000,342,608,522880,41.830400,49.021333,1,0.000000,0.000000,100
000074,18,204,18,32,27264,2.181120,2.698667,1,1.000000,1.000000,342,608,518016,41.441280,48.701333,1,0.000000,0.000000,100
000076,18,191,18,31,25600,2.048000,2.592000,1,1.000000,1.000000,342,589,486400,38.912000,46.136000,1,0.000000,0.000000,100
000078,18,196,18,31,26240,2.099200,2.720000,1,1.000000,1.000000,342,589,498560,39.884800,46.946667,1,0.000000,0.000000,100
000080,18,213,18,32,28416,2.273280,2.762667,1,1.000000,1.000000,342,608,539904,43.192320,50.173333,1,0.000000,0.000000,100
000082,18,195,18,31,26112,2.088960,2.688000,1,1.000000,1.000000,342,589,496128,39.690240,46.818667,1,0.000000,0.000000,100
000084,18,198,18,31,26496,2.119680,2.688000,1,1.000000,1.000000,342,589,503424,40.273920,47.309333,1,0.000000,0.000000,100
000086,18,205,18,30,27392,2.191360,2.658667,1,1.000000,1.000000,342,570,520448,41.635840,47.976000,1,0.000000,0.000000,100
000088,18,214,18,33,28544,2.283520,2.805333,1,1.000000,1.000000,342,627,542336,43.386880,50.786667,1,0.000000,0.000000,100
000090,18,204,18,31,27264,2.181120,2.688000,1,1.000000,1.000000,342,589,518016,41.441280,48.248000,1,0.000000,0.000000,100
000092,17,198,17,31,26432,2.114560,2.613333,1,1.000000,1.000000,323,589,502208,40.176640,47.192000,1,0.000000,0.000000,100
000094,17,203,17,31,27072,2.165760,2.688000,1,1.000000,1.000000,323,589,514368,41.149440,47.992000,1,0.000000,0.000000,100
000096,18,207,18,32,27648,2.211840,2.805333,1,1.000000,1.000000,342,608,525312,42.024960,49.192000,1,0.000000,0.000000,100
000098,17,201,17,31,26816,2.145280,2.634667,1,1.000000,1.000000,323,589,509504,40.760320,47.661333,1,0.000000,0.000000,100
000100,17,204,17,31,27200,2.176000,2.698667,1,1.000000,1.000000,323,589,516800,41.344000,48.162667,1,0.000000,0.000000,100
000102,17,199,17,30,26560,2.124800,2.573333,1,1.000000,1.000000,323,570,504640,40.371200,46.930667,1,0.000000,0.000000,100
000104,17,194,17,30,25920,2.073600,2.520000,1,1.000000,1.000000,323,570,492480,39.398400,46.109333,1,0.000000,0.000000,100
000106,18,209,18,34,27904,2.232320,2.784000,1,1.000000,1.000000,342,646,530176,42.414080,50.418667,1,0.000000,0.000000,100
000108,17,201,17,31,26816,2.145280,2.730667,1,1.000000,1.000000,323,589,509504,40.760320,47.682667,1,0.000000,0.000000,100
000110,17,196,17,30,26176,2.094080,2.488000,1,1.000000,1.000000,323,570,497344,39.787520,46.450667,1,0.000000,0.000000,100
000112,18,196,18,32,26240,2.099200,2.645333,1,1.000000,1.000000,342,608,498560,39.884800,47.410667,1,0.000000,0.000000,100
000114,17,188,17,31,25152,2.012160,2.528000,1,1.000000,1.000000,323,589,477888,38.231040,45.549333,1,0.000000,0.000000,100
000116,17,196,17,30,26176,2.094080,2.541333,1,1.000000,1.000000,323,570,497344,39.787520,46.450667,1,0.000000,0.000000,100
000118,18,195,18,30,26112,2.088960,2.488000,1,1.000000,1.000000,342,570,496128,39.690240,46.344000,1,0.000000,0.000000,100
000120,18,201,18,32,26880,2.150400,2.720000,1,1.000000,1.000000,342,608,510720,40.857600,48.210667,1,0.000000,0.000000,100
000122,17,203,17,31,27072,2.165760,2.634667,1,1.000000,1.000000,323,589,514368,41.149440,47.992000,1,0.000000,0.000000,100
000124,17,208,17,32,27712,2.216960,2.634667,1,1.000000,1.000000,323,608,526528,42.122240,49.309333,1,0.000000,0.000000,100
000126,16,198,16,28,26368,2.109440,2.626667,1,1.000000,1.000000,304,532,500992,40.079360,45.968000,1,0.000000,0.000000,100
000128,16,202,16,30,26880,2.150400,2.573333,1,1.000000,1.000000,304,570,510720,40.857600,47.336000,1,0.000000,0.000000,100
000130,16,199,16,32,26496,2.119680,2.634667,1,1.000000,1.000000,304,608,503424,40.273920,47.730667,1,0.000000,0.000000,100
000132,16,186,16,30,24832,1.986560,2.456000,1,1.000000,1.000000,304,570,471808,37.744640,44.744000,1,0.000000,0.000000,100
000134,16,178,16,29,23808,1.904640,2.456000,1,1.000000,1.000000,304,551,452352,36.188160,43.178667,1,0.000000,0.000000,100
000136,17,186,17,29,24896,1.991680,2.456000,1,1.000000,1.000000,323,551,473024,37.841920,44.469333,1,0.000000,0.000000,100
000138,17,183,17,32,24512,1.960960,2.456000,1,1.000000,1.000000,323,608,465728,37.258240,45.213333,1,0.000000,0.000000,100
000140,16,178,16,28,23808,1.904640,2.370667,1,1.000000,1.000000,304,532,452352,36.188160,42.725333,1,0.000000,0.000000,100
