scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;8;12,4;8,8,"{""8"": 53}","{""4"": 4886, ""8"": 4784}",76544,,8,9,36,
2026_07_15_01_26_56,000060,11,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;10;11,11;1,1,"{""1"": 46}","{""1"": 4817, ""11"": 4909}",77072,,1,18,29,
2026_07_15_01_26_56,000060,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,9;13;14;19,13;10,10,"{""10"": 53}","{""10"": 4874, ""13"": 4793}",77984,,10,6,34,
2026_07_15_01_26_56,000060,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,,6,12,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;7,7,"{""7"": 52}","{""7"": 4678, ""16"": 4857}",74848,,7,10,29,
2026_07_15_01_26_56,000060,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;17;18,17;18,18,"{""18"": 58}","{""17"": 4967, ""18"": 4975}",79600,,18,1,11,
2026_07_15_01_26_56,000062,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;11,11,"{""11"": 52}","{""1"": 4921, ""11"": 4599}",73584,,11,18,29,
2026_07_15_01_26_56,000062,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;12,12;7,7,"{""7"": 54}","{""7"": 4870, ""12"": 4894}",77920,,7,15,34,
2026_07_15_01_26_56,000062,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,,6,12,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,5;7;16;20,16;5,5,"{""5"": 51}","{""5"": 4586, ""16"": 4866}",73376,,5,6,29,
2026_07_15_01_26_56,000062,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,3;14;17;18,17;18,18,"{""18"": 54}","{""17"": 4985, ""18"": 4989}",79824,,18,1,10,
2026_07_15_01_26_56,000062,19,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,9;10;13;19,19;10,10,"{""10"": 55}","{""10"": 4917, ""19"": 4823}",78672,,10,6,32,
2026_07_15_01_26_56,000064,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,1;2;8;11,1;11,11,"{""11"": 53}","{""1"": 4921, ""11"": 4603}",73648,,11,17,28,
2026_07_15_01_26_56,000064,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,4;12,12;7,7,"{""7"": 54}","{""7"": 4878, ""12"": 4896}",78048,,7,14,34,
