scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,1,1;11;2;4,11;2;4,"{""2"": 1, ""4"": 1, ""11"": 1}","{""1"": 4918, ""2"": 1448, ""4"": 1264, ""11"": 1586}",68768,3.824694104560623,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,11;2;4,17,47,
2026_07_15_01_26_56,000060,2,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,2,2;8;11;1,8;11;1,"{""1"": 1, ""8"": 1, ""11"": 1}","{""1"": 1424, ""2"": 4863, ""8"": 3371, ""11"": 1586}",102096,5.678309232480534,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,8;11;1,16,48,
2026_07_15_01_26_56,000060,3,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,3,3;18;16,18;16,"{""16"": 1, ""18"": 1}","{""3"": 4977, ""16"": 1293, ""18"": 3427}",75520,4.2002224694104555,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,18;16,16,38,
2026_07_15_01_26_56,000060,4,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,4,4;7;1,7;1,"{""1"": 1, ""7"": 1}","{""1"": 1424, ""4"": 4886, ""7"": 1570}",47904,2.664293659621802,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,7;1,17,37,
2026_07_15_01_26_56,000060,5,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,5,5;10,10,"{""10"": 1}","{""5"": 4909, ""10"": 1385}",22160,1.232480533926585,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,10,13,33,
2026_07_15_01_26_56,000060,6,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,6,6;15,15,"{""15"": 1}","{""6"": 4556, ""15"": 3209}",51344,2.855617352614016,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,15,9,17,
2026_07_15_01_26_56,000060,7,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,7,7;12,12,"{""12"": 1}","{""7"": 4908, ""12"": 2078}",33248,1.84916573971079,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,12,14,29,
2026_07_15_01_26_56,000060,8,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,8,8;12;11;2,12;11;2,"{""2"": 1, ""11"": 1, ""12"": 1}","{""2"": 1448, ""8"": 4838, ""11"": 1586, ""12"": 2078}",81792,4.549054505005562,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,12;11;2,20,42,
2026_07_15_01_26_56,000060,9,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,9,9,,{},"{""9"": 4858}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,16,19,
2026_07_15_01_26_56,000060,10,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,10,10;8;5;9,8;5;9,"{""5"": 1, ""8"": 1, ""9"": 1}","{""5"": 3250, ""8"": 3371, ""9"": 1, ""10"": 4953}",105952,5.892769744160178,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,8;5;9,18,44,
2026_07_15_01_26_56,000060,11,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,11,11;9;1;10,9;1;10,"{""1"": 1, ""9"": 1, ""10"": 1}","{""1"": 1424, ""9"": 1612, ""10"": 1385, ""11"": 4909}",70736,3.934149054505005,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,9;1;10,19,53,
2026_07_15_01_26_56,000060,12,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,12,12;8;7,8;7,"{""7"": 1, ""8"": 1}","{""7"": 1570, ""8"": 3371, ""12"": 4891}",79056,4.396885428253616,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,8;7,12,38,
2026_07_15_01_26_56,000060,13,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,13,13;9;10,9;10,"{""9"": 1, ""10"": 1}","{""9"": 1612, ""10"": 1385, ""13"": 4793}",47952,2.666963292547275,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,9;10,11,40,
2026_07_15_01_26_56,000060,14,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,14,14,,{},"{""14"": 5044}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,2,4,
2026_07_15_01_26_56,000060,15,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,15,15;6,6,"{""6"": 1}","{""6"": 1854, ""15"": 4740}",29664,1.649833147942158,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,6,15,17,
2026_07_15_01_26_56,000060,16,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,16,16;19;3,19;3,"{""3"": 1, ""19"": 1}","{""3"": 1282, ""16"": 4857, ""19"": 3193}",71600,3.982202447163515,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,19;3,15,33,
2026_07_15_01_26_56,000060,17,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,17,17;18,18,"{""18"": 1}","{""17"": 4967, ""18"": 3427}",54832,3.049610678531702,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,18,16,18,
2026_07_15_01_26_56,000060,18,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,18,18;3;17,3;17,"{""3"": 1, ""17"": 1}","{""3"": 1282, ""17"": 1024, ""18"": 5003}",36896,2.0520578420467186,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,3;17,14,25,
2026_07_15_01_26_56,000060,19,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,19,19;5;16,5;16,"{""5"": 1, ""16"": 1}","{""5"": 3250, ""16"": 1293, ""19"": 4844}",72688,4.042714126807564,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,5;16,12,31,
2026_07_15_01_26_56,000060,20,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,20,20;7;5,7;5,"{""5"": 2, ""7"": 1}","{""5"": 92, ""7"": 1570, ""20"": 4909}",26592,1.478976640711902,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,7;5,14,32,
2026_07_15_01_26_56,000062,1,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,1,1;11;2;4,11;2;4,"{""2"": 1, ""4"": 1, ""11"": 1}","{""1"": 4921, ""2"": 1473, ""4"": 1242, ""11"": 1586}",68816,3.8273637374860954,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,11;2;4,14,48,
2026_07_15_01_26_56,000062,2,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,2,2;8;1,8;1,"{""1"": 1, ""8"": 1}","{""1"": 1453, ""2"": 4862, ""8"": 3371}",77184,4.292769744160178,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,8;1,17,42,
2026_07_15_01_26_56,000062,3,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,3,3;18;16,18;16,"{""16"": 1, ""18"": 1}","{""3"": 4976, ""16"": 1279, ""18"": 3427}",75296,4.1877641824249165,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,18;16,17,38,
2026_07_15_01_26_56,000062,4,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,4,4;7;1,7;1,"{""1"": 1, ""7"": 1}","{""1"": 1453, ""4"": 4848, ""7"": 1567}",48320,2.687430478309232,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,7;1,17,37,
