scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,1,1,,{},"{""1"": 4918}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,15,16,
2026_07_15_01_26_56,000060,2,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,2,2;8,8,"{""8"": 39}","{""2"": 4863, ""8"": 4752}",76032,4.228698553948831,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,8,20,38,
2026_07_15_01_26_56,000060,3,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,3,3;18,18,"{""18"": 39}","{""3"": 4977, ""18"": 4823}",77168,4.291879866518354,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,18,21,19,
2026_07_15_01_26_56,000060,4,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,4,4;1,1,"{""1"": 39}","{""1"": 4882, ""4"": 4886}",78112,4.344382647385984,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,1,21,29,
2026_07_15_01_26_56,000060,5,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,5,5,,{},"{""5"": 4909}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,12,15,
2026_07_15_01_26_56,000060,6,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,6,6;15,15,"{""15"": 49}","{""6"": 4556, ""15"": 4711}",75376,4.1922135706340375,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,15,13,17,
2026_07_15_01_26_56,000060,7,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,7,7;12,12,"{""12"": 39}","{""7"": 4908, ""12"": 4693}",75088,4.176195773081202,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,12,21,29,
2026_07_15_01_26_56,000060,8,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,8,8,,{},"{""8"": 4838}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,8,23,
2026_07_15_01_26_56,000060,9,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,9,9,,{},"{""9"": 4858}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,16,19,
2026_07_15_01_26_56,000060,10,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,10,10,,{},"{""10"": 4953}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,18,30,
2026_07_15_01_26_56,000060,11,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,11,11;9,9,"{""9"": 39}","{""9"": 4823, ""11"": 4909}",77168,4.291879866518354,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,9,29,33,
2026_07_15_01_26_56,000060,12,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,12,12,,{},"{""12"": 4891}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,12,21,
2026_07_15_01_26_56,000060,13,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,13,13;10,10,"{""10"": 39}","{""10"": 4815, ""13"": 4793}",77040,4.28476084538376,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,10,17,35,
2026_07_15_01_26_56,000060,14,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,14,14,,{},"{""14"": 5044}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,2,4,
2026_07_15_01_26_56,000060,15,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,15,15,,{},"{""15"": 4740}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,15,9,
2026_07_15_01_26_56,000060,16,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,16,16;20,20,"{""20"": 39}","{""16"": 4857, ""20"": 2264}",36224,2.0146829810901,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,20,17,24,
2026_07_15_01_26_56,000060,17,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,17,17,,{},"{""17"": 4967}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,16,13,
2026_07_15_01_26_56,000060,18,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,18,18,,{},"{""18"": 5003}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,16,12,
2026_07_15_01_26_56,000060,19,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,19,19;5,5,"{""5"": 39}","{""5"": 4856, ""19"": 4844}",77696,4.321245828698554,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,5,19,17,
2026_07_15_01_26_56,000060,20,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,20,20,,{},"{""20"": 4909}",0,0.0,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,,14,18,
