timestamp,old_stability_s,new_stability_s,old_cluster_count,new_cluster_count,equivalent,old_clusters,new_clusters
000060,1.0,0.1,7,7,True,"1:1,2,8,11|17:3,17,18|4:4,12|16:5,7,16,20|6:6,15|9:9,14,19|10:10,13","1:1,2,8,11|17:3,17,18|4:4,12|16:5,7,16,20|6:6,15|9:9,14,19|10:10,13"
000062,1.0,0.1,8,8,True,"1:1,2,8,11|17:3,17,18|4:4,12|5:5,20|6:6,15|7:7,16|9:9,14,19|10:10,13","1:1,2,8,11|17:3,17,18|4:4,12|5:5,20|6:6,15|7:7,16|9:9,14,19|10:10,13"
000064,1.0,0.1,7,7,True,"1:1,2,8,11|3:3,14,17,18|4:4,12|5:5,20|6:6,15|7:7,16|9:9,10,13,19","1:1,2,8,11|3:3,14,17,18|4:4,12|5:5,20|6:6,15|7:7,16|9:9,10,13,19"
000066,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,14,17,18|4:4,7,12|16:5,16,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,14,17,18|4:4,7,12|16:5,16,20|6:6,15|9:9,10,13,19"
000068,1.0,0.1,7,7,True,"1:1,2,8,11|3:3,14,17,18|4:4,12|5:5,20|6:6,15|7:7,16|9:9,10,13,19","1:1,2,8,11|3:3,14,17,18|4:4,12|5:5,20|6:6,15|7:7,16|9:9,10,13,19"
000070,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,14,17,18|4:4,12|16:5,7,16,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,14,17,18|4:4,12|16:5,7,16,20|6:6,15|9:9,10,13,19"
000072,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,14,17,18|4:4,7,12|16:5,16,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,14,17,18|4:4,7,12|16:5,16,20|6:6,15|9:9,10,13,19"
000074,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,14,17,18|4:4,7,12|16:5,16,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,14,17,18|4:4,7,12|16:5,16,20|6:6,15|9:9,10,13,19"
000076,1.0,0.1,6,6,True,"1:1,2,8,11|17:3,17,18|4:4,7,12|5:5,16,19,20|6:6,15|9:9,10,13,14","1:1,2,8,11|17:3,17,18|4:4,7,12|5:5,16,19,20|6:6,15|9:9,10,13,14"
000078,1.0,0.1,7,7,True,"1:1,2,8,11|3:3,14,17,18|4:4,12|5:5,20|6:6,15|7:7,16|9:9,10,13,19","1:1,2,8,11|3:3,14,17,18|4:4,12|5:5,20|6:6,15|7:7,16|9:9,10,13,19"
000080,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,14,16,17|4:4,7,12|18:5,18,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,14,16,17|4:4,7,12|18:5,18,20|6:6,15|9:9,10,13,19"
000082,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|19:5,19,20|6:6,15|9:9,10,13,14","1:1,2,8,11|3:3,16,17,18|4:4,7,12|19:5,19,20|6:6,15|9:9,10,13,14"
000084,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,14,16,17|4:4,7,12|18:5,18,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,14,16,17|4:4,7,12|18:5,18,20|6:6,15|9:9,10,13,19"
000086,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,14,16,17|4:4,7,12|18:5,18,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,14,16,17|4:4,7,12|18:5,18,20|6:6,15|9:9,10,13,19"
000088,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12,14|5:5,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12,14|5:5,20|6:6,15|9:9,10,13,19"
000090,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12,14|5:5,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12,14|5:5,20|6:6,15|9:9,10,13,19"
000092,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000094,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000096,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000098,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000100,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000102,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000104,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000106,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000108,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000110,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000112,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000114,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000116,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000118,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000120,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000122,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000124,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000126,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000128,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000130,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000132,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000134,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000136,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000138,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,16,17,18|4:4,7,12|5:5,14,20|6:6,15|9:9,10,13,19"
000140,1.0,0.1,6,6,True,"1:1,2,8,11|3:3,18|4:4,7,12,14|5:5,16,17,20|6:6,15|9:9,10,13,19","1:1,2,8,11|3:3,18|4:4,7,12,14|5:5,16,17,20|6:6,15|9:9,10,13,19"
