timestamp,senders_with_boxes,total_boxes,broadcast_messages,broadcast_packets,broadcast_bytes,broadcast_mbps,broadcast_scheduled_ms,broadcast_deadline_ok,broadcast_random_access_delivery_ratio,broadcast_random_access_full_success_prob,alltoall_messages,alltoall_packets,alltoall_bytes,alltoall_mbps,alltoall_scheduled_ms,alltoall_deadline_ok,alltoall_random_access_delivery_ratio,alltoall_random_access_full_success_prob,contention_rounds
000060,17,103,17,17,9328,0.746240,1.136000,1,1.000000,1.000000,323,323,177232,14.178560,19.517333,1,0.000000,0.000000,100
000062,18,104,18,18,9472,0.757760,1.136000,1,1.000000,1.000000,342,342,179968,14.397440,20.173333,1,0.000000,0.000000,100
000064,18,111,18,18,10032,0.802560,1.189333,1,1.000000,1.000000,342,342,190608,15.248640,20.866667,1,0.000000,0.000000,100
000066,16,100,16,16,9024,0.721920,1.082667,1,1.000000,1.000000,304,304,171456,13.716480,18.648000,1,0.000000,0.000000,100
000068,17,109,17,17,9808,0.784640,1.242667,1,1.000000,1.000000,323,323,186352,14.908160,20.157333,1,0.000000,0.000000,100
000070,17,100,17,17,9088,0.727040,1.136000,1,1.000000,1.000000,323,323,172672,13.813760,19.197333,1,0.000000,0.000000,100
000072,16,95,16,16,8624,0.689920,1.082667,1,1.000000,1.000000,304,304,163856,13.108480,18.114667,1,0.000000,0.000000,100
000074,17,102,17,17,9248,0.739840,1.136000,1,1.000000,1.000000,323,323,175712,14.056960,19.357333,1,0.000000,0.000000,100
000076,16,100,16,16,9024,0.721920,1.136000,1,1.000000,1.000000,304,304,171456,13.716480,18.648000,1,0.000000,0.000000,100
000078,17,111,17,17,9968,0.797440,1.242667,1,1.000000,1.000000,323,323,189392,15.151360,20.317333,1,0.000000,0.000000,100
000080,17,96,17,17,8768,0.701440,1.082667,1,1.000000,1.000000,323,323,166592,13.327360,18.824000,1,0.000000,0.000000,100
000082,17,99,17,17,9008,0.720640,1.136000,1,1.000000,1.000000,323,323,171152,13.692160,19.144000,1,0.000000,0.000000,100
000084,17,102,17,17,9248,0.739840,1.189333,1,1.000000,1.000000,323,323,175712,14.056960,19.410667,1,0.000000,0.000000,100
000086,17,112,17,17,10048,0.803840,1.242667,1,1.000000,1.000000,323,323,190912,15.272960,20.424000,1,0.000000,0.000000,100
