timestamp,senders_with_boxes,total_boxes,broadcast_messages,broadcast_packets,broadcast_bytes,broadcast_mbps,broadcast_scheduled_ms,broadcast_deadline_ok,broadcast_random_access_delivery_ratio,broadcast_random_access_full_success_prob,alltoall_messages,alltoall_packets,alltoall_bytes,alltoall_mbps,alltoall_scheduled_ms,alltoall_deadline_ok,alltoall_random_access_delivery_ratio,alltoall_random_access_full_success_prob,contention_rounds
000060,17,103,17,20,14272,1.141760,1.488000,1,1.000000,1.000000,323,380,271168,21.693440,26.938667,1,0.000000,0.000000,100
000062,18,104,18,21,14464,1.157120,1.560000,1,1.000000,1.000000,342,399,274816,21.985280,27.637333,1,0.000000,0.000000,100
000064,18,111,18,23,15360,1.228800,1.773333,1,1.000000,1.000000,342,437,291840,23.347200,29.674667,1,0.000000,0.000000,100
000066,16,100,16,19,13824,1.105920,1.456000,1,1.000000,1.000000,304,361,262656,21.012480,26.152000,1,0.000000,0.000000,100
000068,17,109,17,22,15040,1.203200,1.688000,1,1.000000,1.000000,323,418,285760,22.860800,28.816000,1,0.000000,0.000000,100
000070,17,100,17,21,13888,1.111040,1.645333,1,1.000000,1.000000,323,399,263872,21.109760,26.944000,1,0.000000,0.000000,100
000072,16,95,16,19,13184,1.054720,1.402667,1,1.000000,1.000000,304,361,250496,20.039680,25.330667,1,0.000000,0.000000,100
000074,17,102,17,21,14144,1.131520,1.517333,1,1.000000,1.000000,323,399,268736,21.498880,27.232000,1,0.000000,0.000000,100
000076,16,100,16,21,13824,1.105920,1.517333,1,1.000000,1.000000,304,399,262656,21.012480,26.805333,1,0.000000,0.000000,100
000078,17,111,17,23,15296,1.223680,1.658667,1,1.000000,1.000000,323,437,290624,23.249920,29.589333,1,0.000000,0.000000,100
000080,17,96,17,20,13376,1.070080,1.402667,1,1.000000,1.000000,323,380,254144,20.331520,25.829333,1,0.000000,0.000000,100
000082,17,99,17,22,13760,1.100800,1.560000,1,1.000000,1.000000,323,418,261440,20.915200,27.184000,1,0.000000,0.000000,100
