scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,4;8;12,4;12;8,12;8,"{""8"": 41, ""12"": 41}","{""4"": 4886, ""8"": 4809, ""12"": 4844}",154448,8>4:10;12>4:0,,24,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,1;2;10;11,11;10;2,10;2,"{""2"": 41, ""10"": 41}","{""2"": 4820, ""10"": 4920, ""11"": 4909}",155840,2>11:6;10>11:1,,27,45,
2026_07_15_01_26_56,000060,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,9;13;14;19,13;14;9,14;9,"{""9"": 41, ""14"": 41}","{""9"": 4849, ""13"": 4793, ""14"": 5006}",157680,9>13:8;14>13:2,,8,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,6;15,15;6,6,"{""6"": 41}","{""6"": 4492, ""15"": 4740}",71872,6>15:3,,14,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,5;7;16;20,16;20;7,20;7,"{""7"": 41, ""20"": 41}","{""7"": 4843, ""16"": 4857, ""20"": 4877}",155520,7>16:7;20>16:4,,20,30,
2026_07_15_01_26_56,000060,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,3;17;18,17;3;18,3;18,"{""3"": 41, ""18"": 41}","{""3"": 4879, ""17"": 4967, ""18"": 4929}",156928,3>17:5;18>17:9,,11,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,1;2;8;11,1;2;11,2;11,"{""2"": 41, ""11"": 41}","{""1"": 4921, ""2"": 4828, ""11"": 4860}",155008,2>1:0;11>1:6,,28,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,4;12,12;4,4,"{""4"": 41}","{""4"": 4808, ""12"": 4894}",76928,4>12:1,,18,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,6;15,15;6,6,"{""6"": 41}","{""6"": 4496, ""15"": 4745}",71936,6>15:2,,16,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,5;7;16;20,16;20;7,20;7,"{""7"": 41, ""20"": 41}","{""7"": 4840, ""16"": 4866, ""20"": 4876}",155456,7>16:8;20>16:3,,22,30,
2026_07_15_01_26_56,000062,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,3;14;17;18,17;3;14,3;14,"{""3"": 41, ""14"": 41}","{""3"": 4871, ""14"": 4996, ""17"": 4985}",157872,3>17:4;14>17:7,,10,15,
2026_07_15_01_26_56,000062,19,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,9;10;13;19,19;10;13,10;13,"{""10"": 41, ""13"": 41}","{""10"": 4926, ""13"": 4764, ""19"": 4823}",155040,10>19:5;13>19:9,,14,35,
