scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;8;12,4;8;12,8;12,"{""8"": 14, ""12"": 14}","{""4"": 4886, ""8"": 4539, ""12"": 4169}",139328,40.39154616240267,10,40.0,40.0,1,ns3,899,0.5,10,12,28,,,[],[],8>4:0;12>4:9,,18,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;10;11,11;10;2,10;2,"{""2"": 14, ""10"": 14}","{""2"": 4180, ""10"": 4357, ""11"": 4909}",136592,38.77196885428254,10,40.0,40.0,1,ns3,899,0.5,10,12,28,,,[],[],2>11:7;10>11:1,,24,45,
2026_07_15_01_26_56,000060,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,9;13;14;19,13;14;9,14;9,"{""9"": 14, ""14"": 14}","{""9"": 4437, ""13"": 4793, ""14"": 4433}",141920,39.483870967741936,10,40.0,40.0,1,ns3,899,0.5,10,12,28,,,[],[],9>13:8;14>13:2,,7,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 14}","{""6"": 4004, ""15"": 4740}",64064,35.63070077864294,10,40.0,40.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 14, ""20"": 14}","{""7"": 4162, ""16"": 4857, ""20"": 4473}",138160,39.80422691879867,10,40.0,40.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:6,,20,30,
2026_07_15_01_26_56,000060,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17;3,3,"{""3"": 14}","{""3"": 2755, ""17"": 4967}",44080,24.516129032258064,10,40.0,40.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:5,,12,16,
2026_07_15_01_26_56,000062,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;11;2,11;2,"{""2"": 14, ""11"": 14}","{""1"": 4921, ""2"": 4177, ""11"": 4134}",132976,37.17018909899888,10,40.0,40.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:8;11>1:0,,24,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;12,12;4,4,"{""4"": 14}","{""4"": 2777, ""12"": 4894}",44432,24.7119021134594,10,40.0,40.0,1,ns3,899,0.5,10,12,28,,,[],[],4>12:1,,12,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 14}","{""6"": 3980, ""15"": 4745}",63680,35.41713014460512,10,40.0,40.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:2,,15,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 14, ""20"": 14}","{""7"": 4149, ""16"": 4866, ""20"": 4474}",137968,39.81312569521691,10,40.0,40.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:3;20>16:7,,18,30,
