scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,1;10;11,1;10;11,10;11,"{""10"": 53, ""11"": 45}","{""1"": 4918, ""10"": 4846, ""11"": 3912}",140128,43.12347052280312,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>1:0;11>1:8,,31,48,
2026_07_15_01_26_56,000060,8,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,2;8;9,8;2,2,"{""2"": 54}","{""2"": 4848, ""8"": 4838}",77568,43.1412680756396,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>8:1,,29,39,
2026_07_15_01_26_56,000060,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,4;7;12,12;7;4,7;4,"{""4"": 56, ""7"": 53}","{""4"": 4856, ""7"": 4868, ""12"": 4891}",155584,43.31924360400445,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>12:7;7>12:2,,26,42,
2026_07_15_01_26_56,000060,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,13;14;19,13;14;19,14;19,"{""14"": 53, ""19"": 50}","{""13"": 4793, ""14"": 5044, ""19"": 4823}",157872,44.885428253615125,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:9,,0,21,
2026_07_15_01_26_56,000060,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,39.91101223581757,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,5;16;20,16;20,20,"{""20"": 50}","{""16"": 4857, ""20"": 2376}",38016,21.14349276974416,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],20>16:5,,14,26,
2026_07_15_01_26_56,000060,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,3;17;18,17;3,3,"{""3"": 56}","{""3"": 3324, ""17"": 4967}",53184,29.579532814238043,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:6,,9,16,
2026_07_15_01_26_56,000062,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,1;2;11,1;2;11,2;11,"{""2"": 49, ""11"": 46}","{""1"": 4921, ""2"": 4399, ""11"": 4812}",147376,42.82091212458287,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:8,,27,40,
2026_07_15_01_26_56,000062,8,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,8;9;14,8;14,14,"{""14"": 54}","{""8"": 4838, ""14"": 5042}",80672,44.86763070077864,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],14>8:1,,14,24,
2026_07_15_01_26_56,000062,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,10;13;19,10;13;19,13;19,"{""13"": 51, ""19"": 36}","{""10"": 4955, ""13"": 4670, ""19"": 4696}",149856,41.78865406006674,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],13>10:2;19>10:9,,14,35,
