label,trace_path,ap_03,ap_05,ap_07,raw_lidar_mbps,total_mbps,frame_count,trace_rows,detector_calls_total,detector_calls_per_frame,detector_calls_per_frame_p95,mean_source_cavs_per_call,mean_uploaded_cavs_per_call,mean_selected_grids_per_call,mean_input_points_per_call,mean_input_points_per_frame,mean_pred_boxes_per_call,mean_pred_boxes_per_frame,mean_raw_bytes_per_call,mean_frame_comm_time_ms_per_call_row,calibrated_gflops_per_forward,profiled_detector_gflops_per_frame,profiled_detector_gflops_per_second_at_10hz,input_adjusted_detector_gflops_per_frame,input_adjusted_point_feature_gflops_per_frame
rho0p01,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p01_trace.csv,,,,32.168929,32.168929,41,258,258,6.293,7.000,2.589,1.589,53.833,8883.5,55900.8,13.395,84.293,63901.5,27.376,89.411751,562.639801,5626.398015,562.878150,0.623447
rho0p03,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p03_trace.csv,,,,33.057436,33.057436,41,262,262,6.390,7.000,2.565,1.565,55.878,8930.7,57069.4,13.824,88.341,64663.9,25.973,89.411751,571.362899,5713.628992,571.607827,0.635997
rho0p05,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p05_trace.csv,,,,34.043380,34.043380,41,266,266,6.488,7.000,2.541,1.541,56.684,8988.8,58317.7,14.169,91.927,65591.1,26.268,89.411751,580.085997,5800.859969,580.338265,0.649307
rho0p1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p1_trace.csv,,,,38.526002,38.526002,41,266,266,6.488,7.000,2.541,1.541,61.718,9529.2,61823.6,15.075,97.805,74227.7,30.590,89.411751,580.085997,5800.859969,580.371753,0.682795
rho0p3,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p3_trace.csv,,,,53.171949,53.171949,41,251,251,6.122,7.000,2.633,1.633,74.932,11673.3,71463.7,15.964,97.732,108568.2,39.612,89.411751,547.374381,5473.743805,547.769402,0.769671
rho0p5,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p5_trace.csv,,,,54.693120,54.693120,41,251,251,6.122,7.000,2.633,1.633,78.498,11866.3,72644.7,16.458,100.756,111674.2,39.528,89.411751,547.374381,5473.743805,547.780683,0.780952
rho1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho1_trace.csv,,,,57.154716,57.154716,41,246,246,6.000,6.000,2.667,1.667,82.358,12325.0,73950.1,17.593,105.561,119072.3,40.542,89.411751,536.470508,5364.705084,536.895008,0.791687
rho2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho2_trace.csv,,,,59.647500,59.647500,41,246,246,6.000,6.000,2.667,1.667,84.890,12649.8,75899.0,17.980,107.878,124265.6,41.211,89.411751,536.470508,5364.705084,536.913624,0.810302
base,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\base_trace.csv,,,,60.181354,60.181354,41,246,246,6.000,6.000,2.667,1.667,85.728,12719.3,76316.0,18.004,108.024,125377.8,41.696,89.411751,536.470508,5364.705084,536.917608,0.814286
nmax2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\nmax2_trace.csv,,,,52.877050,52.877050,41,422,414,10.098,11.000,1.961,0.961,53.345,8985.6,90732.6,14.138,142.756,65457.7,36.406,89.411751,902.840612,9028.406117,903.232929,1.010266
