label,parameter,setting,ap_03,ap_05,ap_07,raw_lidar_mbps,box_mbps,total_mbps,avg_source_cavs,avg_selected_grids,evaluated_frames,trace_rows,receiver_policy,late_fusion,resource_allocation,clustering,upload_mode,num_channels,bandwidth_mhz,communication_deadline_ms,raw_mbps_budget,checkpoint,artifact_stem,trace_path,log_path,input_adjusted_gflops_per_frame,detector_calls_per_frame
rho_th=0.001,rho_th,0.001,0.74,0.61,0.24,32.17,0.57,32.74,2.59,53.83,41,258,all-cluster-heads,inter_cluster_nms,cov_potential_game,cov_coalition_game,grid,10,40.0,200.0,,attentive,rho0p001,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p001_trace.csv,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p001.log,562.88,6.293
rho_th=0.003,rho_th,0.003,0.74,0.61,0.24,32.17,0.57,32.74,2.59,53.83,41,258,all-cluster-heads,inter_cluster_nms,cov_potential_game,cov_coalition_game,grid,10,40.0,200.0,,attentive,rho0p003,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p003_trace.csv,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p003.log,562.88,6.293
rho_th=0.005,rho_th,0.005,0.74,0.61,0.24,32.17,0.57,32.74,2.59,53.83,41,258,all-cluster-heads,inter_cluster_nms,cov_potential_game,cov_coalition_game,grid,10,40.0,200.0,,attentive,rho0p005,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p005_trace.csv,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p005.log,562.88,6.293
rho_th=0.01,rho_th,0.01,0.74,0.61,0.24,32.17,0.57,32.74,2.59,53.83,41,258,all-cluster-heads,inter_cluster_nms,cov_potential_game,cov_coalition_game,grid,10,40.0,200.0,,attentive,rho0p01,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p01_trace.csv,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p01.log,562.88,6.293
rho_th=0.03,rho_th,0.03,0.76,0.62,0.26,33.06,0.60,33.65,2.56,55.88,41,262,all-cluster-heads,inter_cluster_nms,cov_potential_game,cov_coalition_game,grid,10,40.0,200.0,,attentive,rho0p03,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p03_trace.csv,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p03.log,571.61,6.390
rho_th=0.05,rho_th,0.05,0.78,0.66,0.29,34.04,0.62,34.66,2.54,56.68,41,266,all-cluster-heads,inter_cluster_nms,cov_potential_game,cov_coalition_game,grid,10,40.0,200.0,,attentive,rho0p05,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p05_trace.csv,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p05.log,580.34,6.488
rho_th=0.1,rho_th,0.1,0.83,0.71,0.32,38.53,0.66,39.18,2.54,61.72,41,266,all-cluster-heads,inter_cluster_nms,cov_potential_game,cov_coalition_game,grid,10,40.0,200.0,,attentive,rho0p1,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p1_trace.csv,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p1.log,580.37,6.488
rho_th=0.3,rho_th,0.3,0.85,0.78,0.36,53.17,0.65,53.83,2.63,74.93,41,251,all-cluster-heads,inter_cluster_nms,cov_potential_game,cov_coalition_game,grid,10,40.0,200.0,,attentive,rho0p3,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p3_trace.csv,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p3.log,547.77,6.122
rho_th=0.5,rho_th,0.5,0.86,0.78,0.37,54.69,0.67,55.37,2.63,78.50,41,251,all-cluster-heads,inter_cluster_nms,cov_potential_game,cov_coalition_game,grid,10,40.0,200.0,,attentive,rho0p5,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p5_trace.csv,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho0p5.log,547.78,6.122
rho_th=1,rho_th,1,0.86,0.78,0.36,57.15,0.71,57.86,2.67,82.36,41,246,all-cluster-heads,inter_cluster_nms,cov_potential_game,cov_coalition_game,grid,10,40.0,200.0,,attentive,rho1,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho1_trace.csv,docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\rho1.log,536.90,6.000
