scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,11,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;10;11,11;10,10,"{""10"": 16}","{""10"": 169, ""11"": 4909}",2704,1.503893214682981,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],10>11:0,,16,38,
2026_07_15_01_26_56,000060,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;7;8;12,12;8;4,8;4,"{""4"": 56, ""8"": 19}","{""4"": 4856, ""8"": 209, ""12"": 4891}",81040,43.212458286985544,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],4>12:6;8>12:1,,22,40,
2026_07_15_01_26_56,000060,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,9;13;14;19,13;14;19,14;19,"{""14"": 46, ""19"": 50}","{""13"": 4793, ""14"": 4966, ""19"": 4823}",156624,44.19132369299221,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],14>13:2;19>13:8,,0,21,
2026_07_15_01_26_56,000060,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 15}","{""6"": 448, ""15"": 4740}",7168,3.9866518353726366,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;16;20,16;5;20,5;20,"{""5"": 6, ""20"": 50}","{""5"": 95, ""16"": 4857, ""20"": 4869}",79424,43.32814238042269,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],5>16:4;20>16:9,,18,30,
2026_07_15_01_26_56,000060,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17;18;3,18;3,"{""3"": 55, ""18"": 19}","{""3"": 4937, ""17"": 4967, ""18"": 204}",82256,43.93325917686318,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;18>17:5,,10,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,1;2;8;11,1;8,8,"{""8"": 18}","{""1"": 4921, ""8"": 106}",1696,0.9432703003337042,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],8>1:0,,12,33,
2026_07_15_01_26_56,000062,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,9;10,10;9,9,"{""9"": 9}","{""9"": 34, ""10"": 4955}",544,0.3025583982202447,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,12,33,
2026_07_15_01_26_56,000062,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,4;7;12,12;7;4,7;4,"{""4"": 54, ""7"": 16}","{""4"": 4821, ""7"": 390, ""12"": 4894}",83376,42.901001112347046,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],4>12:8;7>12:2,,22,42,
2026_07_15_01_26_56,000062,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,13;14;19,13;14;19,14;19,"{""14"": 46, ""19"": 49}","{""13"": 4793, ""14"": 4955, ""19"": 4804}",156144,44.093437152391544,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:9,,0,20,
2026_07_15_01_26_56,000062,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,6;15,15;6,6,"{""6"": 14}","{""6"": 384, ""15"": 4745}",6144,3.417130144605117,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],6>15:4,,15,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,5;16;20,16;5,5,"{""5"": 8}","{""5"": 106, ""16"": 4866}",1696,0.9432703003337042,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],5>16:5,,14,29,
2026_07_15_01_26_56,000062,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,3;17;18,17;18;3,18;3,"{""3"": 56, ""18"": 17}","{""3"": 4945, ""17"": 4985, ""18"": 240}",82960,44.00444938820912,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;18>17:6,,10,16,
2026_07_15_01_26_56,000064,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,1;2;8;11,1;8,8,"{""8"": 19}","{""1"": 4921, ""8"": 110}",1760,0.978865406006674,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],8>1:0,,14,32,
2026_07_15_01_26_56,000064,10,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,9;10,10;9,9,"{""9"": 10}","{""9"": 38, ""10"": 4948}",608,0.3381535038932147,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],9>10:1,,11,33,
2026_07_15_01_26_56,000064,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,4;7;12,12;7;4,7;4,"{""4"": 53, ""7"": 15}","{""4"": 4814, ""7"": 369, ""12"": 4896}",82928,42.83870967741935,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],4>12:8;7>12:2,,19,43,
2026_07_15_01_26_56,000064,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,7,,13;14;19,13;14;19,14;19,"{""14"": 45, ""19"": 51}","{""13"": 4794, ""14"": 4953, ""19"": 4793}",155936,44.07563959955506,10,40.0,200.0,,,,,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;19>13:9,,2,21,
