method,category,scaffold,ap_03,ap_05,ap_07,total_mbps,raw_lidar_mbps,box_mbps,payload_bytes,frames,source_artifact,notes
HeadOnly,lower_reference,protocol_native,0.26,0.22,0.09,0.00,0.00,0.00,0,41,docs/doc_workspace/SGCP/artifacts/mechanism_probe/head_only_41f_stdout.log,no point-cloud or prediction-box sharing
PureLateBroadcast80,prediction_sharing_reference,protocol_native,0.82,0.76,0.37,0.74,0.00,0.74,0,41,docs/doc_workspace/SGCP/artifacts/late_box_comm_20260719/late_box_summary.csv,early-checkpoint singleton local detector plus naive_late_fusion; one-hop broadcast box overhead with 80B boxes
PureLateAllToAll80,prediction_sharing_reference,protocol_native,0.82,0.76,0.37,14.04,0.00,14.04,0,41,docs/doc_workspace/SGCP/artifacts/late_box_comm_20260719/late_box_summary.csv,early-checkpoint singleton local detector plus naive_late_fusion; scheduled all-to-all box overhead with 80B boxes
FullPerceptionPCS,baseline_protocol_native,protocol_native,0.59,0.53,0.22,25.29,25.29,0.00,12959840,41,docs/doc_workspace/SGCP/artifacts/pcs_tuning_20260718/pcs_41f_tuned_div12_ov0.log,built-in pcs.py FullPerception baseline
SGCPCoverage5ch20MHz,sgcp_sensitivity,sgcp_compatible,0.56,0.53,0.27,28.91,28.91,0.00,14815408,41,docs/doc_workspace/SGCP/failure_diagnostics.md,spatial-diverse 5ch 20MHz stress; bandwidth bottleneck
SGCPCoverageCap3000,sgcp_sensitivity,sgcp_compatible,0.74,0.70,0.33,38.07,38.07,0.00,19510848,41,docs/doc_workspace/SGCP/main_table_candidate.md,coverage-aware spatial-diverse rho3 with max upload points per source 3000
SGCPCoverage10chRho3Bh2,sgcp_sensitivity,sgcp_compatible,0.76,0.72,0.42,54.56,54.56,0.00,27962864,41,docs/doc_workspace/SGCP/main_table_candidate.md,coverage-aware rho3 B_h=2 high-IoU sensitivity
SGCPCoverage10chRho2,sgcp_ablation,sgcp_compatible,0.79,0.75,0.37,56.08,56.08,0.00,28743280,41,docs/doc_workspace/SGCP/main_table_candidate.md,coverage-aware spatial-diverse 10ch rho2
SGCPCoverage10chRho3,sgcp_ablation,sgcp_compatible,0.79,0.76,0.38,57.38,57.38,0.00,29405296,41,docs/doc_workspace/SGCP/main_table_candidate.md,coverage-aware spatial-diverse 10ch rho3
SelectiveCommunicationAwareLowBudget,scheduler_baseline,sgcp_compatible,0.78,0.75,0.40,58.97,58.97,0.00,30222256,41,docs/doc_workspace/SGCP/main_table_candidate.md,2 members/head 87 grids communication-aware low-budget baseline
SGCPTargetAwarePG,sgcp_ablation,sgcp_compatible,0.80,0.76,0.39,60.62,60.62,0.00,31069968,41,docs/doc_workspace/SGCP/main_table_candidate.md,target-aware potential-game sender/grid refinement
RandomBudget,scheduler_baseline,sgcp_compatible,0.77,0.73,0.38,61.68,61.68,0.00,31613424,41,docs/doc_workspace/SGCP/artifacts/scheduler_comparison_20260719/scheduler_comparison_manifest.csv,forced-budget random baseline
SGCP_PAPG,proposed,sgcp_compatible,0.81,0.78,0.39,62.54,62.54,0.00,32049872,41,docs/doc_workspace/SGCP/artifacts/repeat_check_20260718/papg_41f_r1.log,current main SGCP method
ISPG,negative_probe,sgcp_compatible,0.80,0.78,0.39,62.53,62.53,0.00,32046336,41,docs/doc_workspace/SGCP/results.md,instance-support potential-game probe; not promoted to main method
SGCP_PAPG_Bh3,sgcp_sensitivity,sgcp_compatible,0.80,0.78,0.40,62.54,62.54,0.00,32051792,41,docs/doc_workspace/SGCP/main_table_candidate.md,PAPG rho3 B_h=3 sensitivity; higher AP@0.7 but lower AP@0.3
EdgeCooperHD,edge_assisted_reference,sgcp_compatible_proxy,0.81,0.78,0.42,65.40,65.40,0.00,33519040,41,docs/doc_workspace/SGCP/artifacts/repeat_check_20260718/edgecooper_hd_41f_r1.log,edge/global half-duplex assignment proxy
PACP_LiDAR_LowBudget,scheduler_baseline_proxy,sgcp_compatible,0.76,0.73,0.37,67.31,67.31,0.00,34498160,41,docs/doc_workspace/SGCP/status.md,LiDAR PACP proxy 2 members/head 87 grids low-budget point
DensityGreedy,scheduler_baseline,sgcp_compatible,0.80,0.76,0.40,73.58,73.58,0.00,37710864,41,docs/doc_workspace/SGCP/artifacts/scheduler_comparison_20260719/scheduler_comparison_manifest.csv,high-budget density greedy baseline
SGCPCoverage20chRho2,sgcp_sensitivity,sgcp_compatible,0.80,0.76,0.41,73.98,73.98,0.00,37912544,41,docs/doc_workspace/SGCP/main_table_candidate.md,coverage-aware spatial-diverse 20ch rho2
ClusterLocalSelectiveProxy,v2v_proxy_baseline,sgcp_compatible_proxy,0.80,0.76,0.41,75.94,75.94,0.00,38920592,41,docs/doc_workspace/SGCP/baseline_fairness.md,cluster-local CAV-only selective proxy
PACP_LiDAR,scheduler_baseline_proxy,sgcp_compatible,0.81,0.79,0.42,86.56,86.56,0.00,44361424,41,docs/doc_workspace/SGCP/artifacts/scheduler_comparison_20260719/scheduler_comparison_manifest.csv,RGB/BEV PACP idea migrated to LiDAR BEV occupancy priority
GlobalSelectiveProxy,edge_assisted_reference,global_proxy,0.84,0.80,0.46,109.71,109.71,0.00,56224736,41,docs/doc_workspace/SGCP/baseline_fairness.md,global candidate pool diagnostic proxy; not FullPerception
Full20Early,upper_reference,full_sharing,0.85,0.83,0.48,118.71,118.71,0.00,60838528,41,docs/doc_workspace/SGCP/artifacts/table1_protocol_20260719/full20_early_41f.log,full 20-CAV early-fusion upper reference
