method,category,scaffold,ap_03,ap_05,ap_07,total_mbps,raw_lidar_mbps,box_mbps,payload_bytes,frames,source_artifact,notes
HeadOnly_attentive,lower_reference,protocol_native_attentive,0.42,0.30,0.13,0.00,0.00,0.00,0,41,docs/doc_workspace/SGCP/artifacts/attentive_protocol_20260719/protocol_native_attentive_manifest.csv,no point-cloud or prediction-box sharing under attentive detector
PureLateBroadcast80_attentive,prediction_sharing_reference,protocol_native_attentive,0.82,0.65,0.28,1.37,0.00,1.37,0,41,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/pure_late_attentive_box_comm_80/late_box_summary.csv,attentive singleton detector plus naive_late_fusion; one-hop broadcast box overhead with 80B boxes
PureLateAllToAll80_attentive,prediction_sharing_reference,protocol_native_attentive,0.82,0.65,0.28,25.97,0.00,25.97,0,41,docs/doc_workspace/SGCP/artifacts/early_from_late_checkpoint_20260719/pure_late_attentive_box_comm_80/late_box_summary.csv,attentive singleton detector plus naive_late_fusion; scheduled all-to-all box overhead with 80B boxes
FullPerceptionPCS_attentive,baseline_protocol_native,protocol_native_attentive,0.43,0.29,0.14,16.38,16.38,0.00,8395696,41,docs/doc_workspace/SGCP/artifacts/attentive_protocol_20260719/protocol_native_attentive_manifest.csv,built-in pcs.py FullPerception baseline under attentive detector
ClusteredEarlyOnly_attentive,sgcp_ablation,sgcp_compatible_attentive,0.51,0.45,0.21,62.54,62.54,0.00,32049872,41,docs/doc_workspace/SGCP/artifacts/attentive_fusion_ablation_20260719/fusion_scaffold_attentive_manifest.csv,cluster-local early-only without inter-cluster late fusion
RandomBudget_attentive,scheduler_baseline,sgcp_compatible_attentive,0.85,0.75,0.36,61.25,61.25,0.00,31388096,41,docs/doc_workspace/SGCP/artifacts/attentive_scheduler_comparison_20260719/scheduler_comparison_attentive_manifest.csv,forced-budget random scheduler under attentive detector
SGCP_PAPG_attentive,proposed,sgcp_compatible_attentive,0.87,0.81,0.36,62.54,62.54,0.00,32049872,41,docs/doc_workspace/SGCP/artifacts/attentive_protocol_20260719/protocol_native_attentive_manifest.csv,current attentive SGCP candidate
EdgeCooperHD_attentive,edge_assisted_reference,sgcp_compatible_proxy_attentive,0.85,0.74,0.35,65.40,65.40,0.00,33519040,41,docs/doc_workspace/SGCP/artifacts/attentive_scheduler_comparison_20260719/scheduler_comparison_attentive_manifest.csv,edge/global half-duplex assignment proxy under attentive detector
DensityGreedy_attentive,scheduler_baseline,sgcp_compatible_attentive,0.86,0.78,0.38,75.94,75.94,0.00,38920592,41,docs/doc_workspace/SGCP/artifacts/attentive_scheduler_comparison_20260719/scheduler_comparison_attentive_manifest.csv,density greedy scheduler under attentive detector
LinkAwareDensity_attentive,scheduler_baseline,sgcp_compatible_attentive,0.86,0.78,0.38,75.94,75.94,0.00,38920592,41,docs/doc_workspace/SGCP/artifacts/attentive_scheduler_comparison_20260719/scheduler_comparison_attentive_manifest.csv,link-aware density scheduler under attentive detector
PACP_LiDAR_attentive,scheduler_baseline_proxy,sgcp_compatible_attentive,0.88,0.79,0.37,86.56,86.56,0.00,44361424,41,docs/doc_workspace/SGCP/artifacts/attentive_scheduler_comparison_20260719/scheduler_comparison_attentive_manifest.csv,RGB/BEV PACP idea migrated to LiDAR BEV occupancy priority under attentive detector
Full20Early_attentive,upper_reference,full_sharing_attentive,0.88,0.85,0.45,118.71,118.71,0.00,60838528,41,docs/doc_workspace/SGCP/artifacts/attentive_protocol_20260719/protocol_native_attentive_manifest.csv,full 20-CAV attentive early-fusion upper reference
