scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;8;12,4;12;8,12;8,"{""8"": 53, ""12"": 57}","{""4"": 4886, ""8"": 4784, ""12"": 2125}",110544,42.57174638487208,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],8>4:9;12>4:8,,30,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;10;11,11;10;2,10;2,"{""2"": 51, ""10"": 53}","{""2"": 3129, ""10"": 4871, ""11"": 4909}",128000,43.34593993325918,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>11:1;10>11:0,,26,45,
2026_07_15_01_26_56,000060,13,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,9;13;14;19,13;14;9,14;9,"{""9"": 46, ""14"": 53}","{""9"": 3783, ""13"": 4793, ""14"": 5044}",141232,44.885428253615125,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>13:3;14>13:2,,8,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15,,{},"{""15"": 4740}",0,0.0,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],,,13,9,
2026_07_15_01_26_56,000060,16,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 52, ""20"": 50}","{""7"": 4678, ""16"": 4857, ""20"": 2376}",112864,41.62847608453838,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:5,,18,30,
2026_07_15_01_26_56,000060,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 56, ""18"": 58}","{""3"": 3324, ""17"": 4967, ""18"": 4975}",132784,44.2714126807564,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:6;18>17:7,,9,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 49, ""11"": 52}","{""1"": 4921, ""2"": 4399, ""11"": 4599}",143968,40.925472747497224,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,27,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;12,12;4,4,"{""4"": 57}","{""4"": 3322, ""12"": 4894}",53152,29.56173526140156,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>12:8,,17,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,39.84872080088988,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:9,,15,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 54, ""20"": 51}","{""7"": 4709, ""16"": 4866, ""20"": 3237}",127136,41.90433815350389,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:5,,22,30,
2026_07_15_01_26_56,000062,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;14;17;18,17;14;3,14;3,"{""3"": 57, ""14"": 54}","{""3"": 3289, ""14"": 5042, ""17"": 4985}",133296,44.86763070077864,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;14>17:6,,8,15,
2026_07_15_01_26_56,000062,19,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,9;10;13;19,19;13;9,13;9,"{""9"": 49, ""13"": 54}","{""9"": 4067, ""13"": 4116, ""19"": 4823}",130928,36.62736373748609,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>19:3;13>19:2,,10,26,
2026_07_15_01_26_56,000064,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 51, ""11"": 53}","{""1"": 4921, ""2"": 4384, ""11"": 4603}",143792,40.96106785317019,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,27,40,
2026_07_15_01_26_56,000064,12,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;12,12;4,4,"{""4"": 56}","{""4"": 3281, ""12"": 4896}",52496,29.196885428253616,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>12:8,,14,35,
2026_07_15_01_26_56,000064,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15;6,6,"{""6"": 58}","{""6"": 4512, ""15"": 4750}",72192,40.15127919911012,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],6>15:9,,15,17,
2026_07_15_01_26_56,000064,16,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 54, ""20"": 49}","{""7"": 4698, ""16"": 4850, ""20"": 3214}",126592,41.806451612903224,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:5,,18,31,
2026_07_15_01_26_56,000064,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;14;17;18,17;14;3,14;3,"{""3"": 57, ""14"": 55}","{""3"": 3262, ""14"": 5060, ""17"": 4966}",133152,45.027808676307004,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;14>17:6,,8,15,
2026_07_15_01_26_56,000064,19,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,9;10;13;19,19;13;9,13;9,"{""9"": 50, ""13"": 54}","{""9"": 4064, ""13"": 4118, ""19"": 4819}",130912,36.645161290322584,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>19:3;13>19:2,,7,26,
2026_07_15_01_26_56,000066,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 52, ""11"": 54}","{""1"": 4922, ""2"": 4392, ""11"": 4604}",143936,40.969966629588434,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,28,41,
2026_07_15_01_26_56,000066,12,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;7;12,12;7;4,7;4,"{""4"": 57, ""7"": 55}","{""4"": 3279, ""7"": 4864, ""12"": 4884}",130288,43.28364849833148,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],4>12:9;7>12:8,,27,42,
2026_07_15_01_26_56,000066,15,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15,,{},"{""15"": 4740}",0,0.0,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],,,13,9,
2026_07_15_01_26_56,000066,16,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;16;20,16;20;5,20;5,"{""5"": 49, ""20"": 48}","{""5"": 4532, ""16"": 4854, ""20"": 3146}",122848,40.32925472747497,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],5>16:5;20>16:4,,17,29,
2026_07_15_01_26_56,000066,17,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;14;17;18,17;14;3,14;3,"{""3"": 60, ""14"": 57}","{""3"": 3242, ""14"": 5042, ""17"": 4984}",132544,44.86763070077864,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],3>17:7;14>17:6,,6,15,
2026_07_15_01_26_56,000066,19,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,9;10;13;19,19;13;10,13;10,"{""10"": 55, ""13"": 54}","{""10"": 4902, ""13"": 4119, ""19"": 4818}",144336,43.62180200222469,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],10>19:3;13>19:2,,11,35,
2026_07_15_01_26_56,000068,1,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 53, ""11"": 54}","{""1"": 4924, ""2"": 4386, ""11"": 4604}",143840,40.969966629588434,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:1,,28,42,
2026_07_15_01_26_56,000068,4,all-cluster-heads,potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;9;12,4;9;12,9;12,"{""9"": 50, ""12"": 53}","{""4"": 4848, ""9"": 4856, ""12"": 2293}",114384,43.212458286985544,10,40.0,200.0,1,ns3,899,0.5,10,12,28,,,[],[],9>4:8;12>4:9,,21,43,
