scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,1,1;11;4;2,11;4;2,"{""2"": 39, ""4"": 39, ""11"": 39}","{""1"": 4918, ""2"": 4330, ""4"": 4729, ""11"": 4560}",217904,12.119243604004449,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,11;4;2,39,47,
2026_07_15_01_26_56,000060,2,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,2,2;1;11;8,1;11;8,"{""1"": 39, ""8"": 39, ""11"": 39}","{""1"": 4786, ""2"": 4863, ""8"": 4752, ""11"": 4355}",222288,12.363070077864293,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,1;11;8,29,48,
2026_07_15_01_26_56,000060,3,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,3,3;18;16;17,18;16;17,"{""16"": 39, ""17"": 39, ""18"": 39}","{""3"": 4977, ""16"": 4751, ""17"": 3554, ""18"": 4823}",210048,11.682313681868743,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,18;16;17,31,38,
2026_07_15_01_26_56,000060,4,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,4,4;12;1;7,12;1;7,"{""1"": 39, ""7"": 39, ""12"": 39}","{""1"": 4882, ""4"": 4886, ""7"": 4723, ""12"": 2087}",187072,10.404449388209121,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,12;1;7,31,40,
2026_07_15_01_26_56,000060,5,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,5,5;20;13;10,20;13;10,"{""10"": 39, ""13"": 39, ""20"": 39}","{""5"": 4909, ""10"": 4585, ""13"": 4663, ""20"": 3601}",205584,11.434037819799778,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,20;13;10,29,40,
2026_07_15_01_26_56,000060,6,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,6,6;15,15,"{""15"": 49}","{""6"": 4556, ""15"": 4711}",75376,4.1922135706340375,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,15,13,17,
2026_07_15_01_26_56,000060,7,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,7,7;12;20;4,12;20;4,"{""4"": 39, ""12"": 39, ""20"": 39}","{""4"": 4572, ""7"": 4908, ""12"": 4693, ""20"": 4619}",222144,12.355061179087874,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,12;20;4,24,36,
2026_07_15_01_26_56,000060,8,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,8,8;2;12;11,2;12;11,"{""2"": 39, ""11"": 39, ""12"": 39}","{""2"": 4722, ""8"": 4838, ""11"": 4712, ""12"": 4763}",227152,12.633592880978865,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,2;12;11,29,42,
2026_07_15_01_26_56,000060,9,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,9,9;13;19,13;19,"{""13"": 49, ""19"": 51}","{""9"": 4858, ""13"": 2818, ""19"": 1018}",61376,3.41357063403782,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,13;19,17,31,
2026_07_15_01_26_56,000060,10,all-cavs,selective_edgecooper_global,grid,,,,,,,singleton,20,60.0,10,10;5;8;9,5;8;9,"{""5"": 39, ""8"": 39, ""9"": 39}","{""5"": 4793, ""8"": 4662, ""9"": 2440, ""10"": 4953}",190320,10.585094549499445,10,40.0,ns3,899,0.5,10,12,28,,,[],[],,5;8;9,25,44,
