timestamp,senders_with_boxes,total_boxes,broadcast_messages,broadcast_packets,broadcast_bytes,broadcast_mbps,broadcast_scheduled_ms,broadcast_deadline_ok,broadcast_random_access_delivery_ratio,broadcast_random_access_full_success_prob,alltoall_messages,alltoall_packets,alltoall_bytes,alltoall_mbps,alltoall_scheduled_ms,alltoall_deadline_ok,alltoall_random_access_delivery_ratio,alltoall_random_access_full_success_prob,contention_rounds
000060,18,146,18,18,12832,1.026560,1.402667,1,1.000000,1.000000,342,342,243808,19.504640,24.440000,1,0.000000,0.000000,100
000062,18,151,18,18,13232,1.058560,1.456000,1,1.000000,1.000000,342,342,251408,20.112640,25.026667,1,0.000000,0.000000,100
000064,18,147,18,18,12912,1.032960,1.456000,1,1.000000,1.000000,342,342,245328,19.626240,24.493333,1,0.000000,0.000000,100
000066,18,149,18,18,13072,1.045760,1.509333,1,1.000000,1.000000,342,342,248368,19.869440,24.706667,1,0.000000,0.000000,100
000068,19,153,19,19,13456,1.076480,1.509333,1,1.000000,1.000000,361,361,255664,20.453120,25.682667,1,0.000000,0.000000,100
000070,18,145,18,18,12752,1.020160,1.456000,1,1.000000,1.000000,342,342,242288,19.383040,24.280000,1,0.000000,0.000000,100
000072,18,138,18,18,12192,0.975360,1.349333,1,1.000000,1.000000,342,342,231648,18.531840,23.586667,1,0.000000,0.000000,100
000074,19,153,19,19,13456,1.076480,1.509333,1,1.000000,1.000000,361,361,255664,20.453120,25.629333,1,0.000000,0.000000,100
000076,19,146,19,19,12896,1.031680,1.402667,1,1.000000,1.000000,361,361,245024,19.601920,24.936000,1,0.000000,0.000000,100
000078,19,153,19,19,13456,1.076480,1.509333,1,1.000000,1.000000,361,361,255664,20.453120,25.682667,1,0.000000,0.000000,100
000080,19,160,19,20,14016,1.121280,1.456000,1,1.000000,1.000000,361,380,266304,21.304320,26.672000,1,0.000000,0.000000,100
000082,19,148,19,19,13056,1.044480,1.402667,1,1.000000,1.000000,361,361,248064,19.845120,25.149333,1,0.000000,0.000000,100
000084,19,150,19,19,13216,1.057280,1.456000,1,1.000000,1.000000,361,361,251104,20.088320,25.362667,1,0.000000,0.000000,100
000086,19,150,19,19,13216,1.057280,1.456000,1,1.000000,1.000000,361,361,251104,20.088320,25.362667,1,0.000000,0.000000,100
000088,19,158,19,19,13856,1.108480,1.456000,1,1.000000,1.000000,361,361,263264,21.061120,26.162667,1,0.000000,0.000000,100
000090,18,153,18,18,13392,1.071360,1.509333,1,1.000000,1.000000,342,342,254448,20.355840,25.186667,1,0.000000,0.000000,100
000092,18,154,18,18,13472,1.077760,1.509333,1,1.000000,1.000000,342,342,255968,20.477440,25.186667,1,0.000000,0.000000,100
000094,18,163,18,18,14192,1.135360,1.562667,1,1.000000,1.000000,342,342,269648,21.571840,26.146667,1,0.000000,0.000000,100
000096,17,156,17,17,13568,1.085440,1.509333,1,1.000000,1.000000,323,323,257792,20.623360,25.010667,1,0.000000,0.000000,100
000098,18,161,18,18,14032,1.122560,1.509333,1,1.000000,1.000000,342,342,266608,21.328640,25.880000,1,0.000000,0.000000,100
000100,18,156,18,18,13632,1.090560,1.509333,1,1.000000,1.000000,342,342,259008,20.720640,25.400000,1,0.000000,0.000000,100
000102,18,158,18,18,13792,1.103360,1.509333,1,1.000000,1.000000,342,342,262048,20.963840,25.666667,1,0.000000,0.000000,100
000104,18,158,18,18,13792,1.103360,1.562667,1,1.000000,1.000000,342,342,262048,20.963840,25.613333,1,0.000000,0.000000,100
000106,17,150,17,17,13088,1.047040,1.456000,1,1.000000,1.000000,323,323,248672,19.893760,24.424000,1,0.000000,0.000000,100
000108,17,149,17,17,13008,1.040640,1.456000,1,1.000000,1.000000,323,323,247152,19.772160,24.317333,1,0.000000,0.000000,100
000110,17,156,17,17,13568,1.085440,1.562667,1,1.000000,1.000000,323,323,257792,20.623360,25.010667,1,0.000000,0.000000,100
000112,17,148,17,17,12928,1.034240,1.509333,1,1.000000,1.000000,323,323,245632,19.650560,24.157333,1,0.000000,0.000000,100
000114,18,151,18,18,13232,1.058560,1.509333,1,1.000000,1.000000,342,342,251408,20.112640,24.920000,1,0.000000,0.000000,100
000116,18,165,18,18,14352,1.148160,1.562667,1,1.000000,1.000000,342,342,272688,21.815040,26.306667,1,0.000000,0.000000,100
000118,18,162,18,18,14112,1.128960,1.616000,1,1.000000,1.000000,342,342,268128,21.450240,26.040000,1,0.000000,0.000000,100
000120,18,157,18,18,13712,1.096960,1.509333,1,1.000000,1.000000,342,342,260528,20.842240,25.453333,1,0.000000,0.000000,100
000122,18,153,18,18,13392,1.071360,1.509333,1,1.000000,1.000000,342,342,254448,20.355840,25.133333,1,0.000000,0.000000,100
000124,17,155,17,17,13488,1.079040,1.562667,1,1.000000,1.000000,323,323,256272,20.501760,24.850667,1,0.000000,0.000000,100
000126,18,154,18,18,13472,1.077760,1.562667,1,1.000000,1.000000,342,342,255968,20.477440,25.240000,1,0.000000,0.000000,100
