scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,1,1,,{},"{""1"": 4918}",0,,,7,16,
2026_07_15_01_26_56,000060,2,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,2,2,,{},"{""2"": 4863}",0,,,7,23,
2026_07_15_01_26_56,000060,3,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,3,3,,{},"{""3"": 4977}",0,,,4,6,
2026_07_15_01_26_56,000060,4,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,4,4,,{},"{""4"": 4886}",0,,,8,28,
2026_07_15_01_26_56,000060,5,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,5,5,,{},"{""5"": 4909}",0,,,5,9,
2026_07_15_01_26_56,000060,6,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,6,6,,{},"{""6"": 4556}",0,,,9,13,
2026_07_15_01_26_56,000060,7,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,7,7,,{},"{""7"": 4908}",0,,,6,14,
2026_07_15_01_26_56,000060,8,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,8,8,,{},"{""8"": 4838}",0,,,4,24,
2026_07_15_01_26_56,000060,9,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,9,9,,{},"{""9"": 4858}",0,,,3,15,
2026_07_15_01_26_56,000060,10,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,10,10,,{},"{""10"": 4953}",0,,,6,31,
2026_07_15_01_26_56,000060,11,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,11,11,,{},"{""11"": 4909}",0,,,10,13,
2026_07_15_01_26_56,000060,12,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,12,12,,{},"{""12"": 4891}",0,,,8,22,
2026_07_15_01_26_56,000060,13,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,13,13,,{},"{""13"": 4793}",0,,,0,11,
2026_07_15_01_26_56,000060,14,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,14,14,,{},"{""14"": 5044}",0,,,0,0,
2026_07_15_01_26_56,000060,15,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,15,15,,{},"{""15"": 4740}",0,,,11,9,
2026_07_15_01_26_56,000060,16,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,16,16,,{},"{""16"": 4857}",0,,,5,25,
2026_07_15_01_26_56,000060,17,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,17,17,,{},"{""17"": 4967}",0,,,1,10,
2026_07_15_01_26_56,000060,18,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,18,18,,{},"{""18"": 5003}",0,,,0,5,
2026_07_15_01_26_56,000060,19,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,19,19,,{},"{""19"": 4844}",0,,,1,10,
2026_07_15_01_26_56,000060,20,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,20,20,,{},"{""20"": 4909}",0,,,8,19,
2026_07_15_01_26_56,000062,1,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,1,1,,{},"{""1"": 4921}",0,,,8,16,
2026_07_15_01_26_56,000062,2,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,2,2,,{},"{""2"": 4862}",0,,,10,25,
2026_07_15_01_26_56,000062,3,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,3,3,,{},"{""3"": 4976}",0,,,2,6,
2026_07_15_01_26_56,000062,4,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,4,4,,{},"{""4"": 4848}",0,,,8,29,
2026_07_15_01_26_56,000062,5,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,5,5,,{},"{""5"": 4912}",0,,,6,9,
2026_07_15_01_26_56,000062,6,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,6,6,,{},"{""6"": 4561}",0,,,8,13,
2026_07_15_01_26_56,000062,7,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,7,7,,{},"{""7"": 4906}",0,,,8,14,
2026_07_15_01_26_56,000062,8,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,8,8,,{},"{""8"": 4838}",0,,,3,24,
2026_07_15_01_26_56,000062,9,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,9,9,,{},"{""9"": 4859}",0,,,4,15,
2026_07_15_01_26_56,000062,10,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,10,10,,{},"{""10"": 4955}",0,,,5,30,
2026_07_15_01_26_56,000062,11,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,11,11,,{},"{""11"": 4909}",0,,,9,13,
2026_07_15_01_26_56,000062,12,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,12,12,,{},"{""12"": 4894}",0,,,6,20,
2026_07_15_01_26_56,000062,13,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,13,13,,{},"{""13"": 4793}",0,,,1,11,
2026_07_15_01_26_56,000062,14,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,14,14,,{},"{""14"": 5042}",0,,,0,0,
2026_07_15_01_26_56,000062,15,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,15,15,,{},"{""15"": 4745}",0,,,12,9,
2026_07_15_01_26_56,000062,16,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,16,16,,{},"{""16"": 4866}",0,,,5,25,
2026_07_15_01_26_56,000062,17,all-cluster-heads,potential_game,head_only,utility,utility,none,0,0,,singleton,20,17,17,,{},"{""17"": 4985}",0,,,1,9,
