scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,4;8;12,4;8;12,8;12,"{""8"": 44, ""12"": 43}","{""4"": 4886, ""8"": 4772, ""12"": 2100}",109952,,8;12,13,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,1;2;10;11,11;10;1,10;1,"{""1"": 43, ""10"": 44}","{""1"": 4814, ""10"": 4857, ""11"": 4909}",154736,,10;1,21,48,
2026_07_15_01_26_56,000060,13,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,9;13;14;19,13;14;9,14;9,"{""9"": 43, ""14"": 44}","{""9"": 3780, ""13"": 4793, ""14"": 5022}",140832,,14;9,4,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,,6,12,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,5;7;16;20,16;7;20,7;20,"{""7"": 44, ""20"": 43}","{""7"": 4657, ""16"": 4857, ""20"": 2366}",112368,,7;20,12,30,
2026_07_15_01_26_56,000060,17,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 43, ""18"": 44}","{""3"": 3272, ""17"": 4967, ""18"": 4938}",131360,,18;3,2,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;8,11;8,"{""8"": 43, ""11"": 44}","{""1"": 4921, ""8"": 4390, ""11"": 4583}",143568,,11;8,19,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,4;12,12;4,4,"{""4"": 57}","{""4"": 3322, ""12"": 4894}",53152,,4,10,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,,6,12,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,5;7;16;20,16;7;5,7;5,"{""5"": 43, ""7"": 44}","{""5"": 4576, ""7"": 4681, ""16"": 4866}",148112,,7;5,11,30,
