scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;8;12,4;12;8,12;8,"{""8"": 43, ""12"": 44}","{""4"": 4886, ""8"": 4528, ""12"": 1557}",97360,,12;8,14,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;10;11,11;1;10,1;10,"{""1"": 44, ""10"": 43}","{""1"": 3794, ""10"": 3796, ""11"": 4909}",121440,,1;10,22,48,
2026_07_15_01_26_56,000060,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,9;13;14;19,13;19;9,19;9,"{""9"": 43, ""19"": 44}","{""9"": 3668, ""13"": 4793, ""19"": 1338}",80096,,19;9,4,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,,6,12,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;7,5;7,"{""5"": 44, ""7"": 43}","{""5"": 1282, ""7"": 3537, ""16"": 4857}",77104,,5;7,8,30,
2026_07_15_01_26_56,000060,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;17;18,17;18;3,18;3,"{""3"": 43, ""18"": 44}","{""3"": 3023, ""17"": 4967, ""18"": 4660}",122928,,18;3,1,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;11;8,11;8,"{""8"": 43, ""11"": 44}","{""1"": 4921, ""8"": 4011, ""11"": 4476}",135792,,11;8,17,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;12,12;4,4,"{""4"": 57}","{""4"": 3322, ""12"": 4894}",53152,,4,10,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,,6,12,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;7;20,7;20,"{""7"": 44, ""20"": 43}","{""7"": 2552, ""16"": 4866, ""20"": 3175}",91632,,7;20,10,30,
2026_07_15_01_26_56,000062,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;14;17;18,17;14;3,14;3,"{""3"": 43, ""14"": 44}","{""3"": 2931, ""14"": 3116, ""17"": 4985}",96752,,14;3,1,15,
2026_07_15_01_26_56,000062,19,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,9;10;13;19,19;13;10,13;10,"{""10"": 43, ""13"": 44}","{""10"": 4206, ""13"": 2597, ""19"": 4823}",108848,,13;10,3,35,
2026_07_15_01_26_56,000064,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,1;2;8;11,1;2;11,2;11,"{""2"": 44, ""11"": 43}","{""1"": 4921, ""2"": 4128, ""11"": 4393}",136336,,2;11,20,40,
2026_07_15_01_26_56,000064,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,4;12,12;4,4,"{""4"": 56}","{""4"": 3281, ""12"": 4896}",52496,,4,6,35,
2026_07_15_01_26_56,000064,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,6;15,15;6,6,"{""6"": 58}","{""6"": 4512, ""15"": 4750}",72192,,6,11,17,
2026_07_15_01_26_56,000064,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,5;7;16;20,16;5;7,5;7,"{""5"": 44, ""7"": 43}","{""5"": 4456, ""7"": 4022, ""16"": 4850}",135648,,5;7,9,30,
2026_07_15_01_26_56,000064,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,3;14;17;18,17;3;14,3;14,"{""3"": 44, ""14"": 43}","{""3"": 2977, ""14"": 4162, ""17"": 4966}",114224,,3;14,3,15,
