scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;8;12,4;12,12,"{""12"": 37}","{""4"": 4886, ""12"": 4000}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],12>4:0,,16,34,
2026_07_15_01_26_56,000060,11,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;10;11,11;10;2,10;2,"{""2"": 37, ""10"": 37}","{""2"": 4000, ""10"": 4000, ""11"": 4909}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],2>11:6;10>11:1,,26,45,
2026_07_15_01_26_56,000060,13,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,9;13;14;19,13;14;9,14;9,"{""9"": 37, ""14"": 37}","{""9"": 4000, ""13"": 4793, ""14"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],9>13:8;14>13:2,,8,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4000, ""15"": 4740}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,14,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;20;7,20;7,"{""7"": 37, ""20"": 37}","{""7"": 4000, ""16"": 4857, ""20"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],7>16:7;20>16:4,,20,30,
2026_07_15_01_26_56,000060,17,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 37, ""18"": 37}","{""3"": 4000, ""17"": 4967, ""18"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],3>17:5;18>17:9,,13,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4921, ""2"": 4000, ""11"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:6,,26,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,4;12,12;4,4,"{""4"": 37}","{""4"": 4000, ""12"": 4894}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],4>12:1,,15,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4000, ""15"": 4745}",64000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],6>15:2,,16,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,perception_aware_potential_game,grid,utility,utility,none,0,0,,coalition_game,6,,5;7;16;20,16;20;7,20;7,"{""7"": 37, ""20"": 37}","{""7"": 4000, ""16"": 4866, ""20"": 4000}",128000,35.595105672969964,10,40.0,ns3,899,0.5,10,12,28,,,[],[],7>16:8;20>16:3,,21,30,
