scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;8;12,4;12,12,"{""12"": 37}","{""4"": 4886, ""12"": 2078}",33248,18.491657397107897,10,40.0,100.0,200.0,2500000,693392,693392,1,ns3,899,0.5,10,12,28,,,[],[],12>4:0,,17,29,
2026_07_15_01_26_56,000060,11,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;10;11,11;10;2,10;2,"{""2"": 37, ""10"": 37}","{""2"": 4767, ""10"": 4835, ""11"": 4909}",153632,43.02558398220245,10,40.0,100.0,200.0,2500000,693392,693392,1,ns3,899,0.5,10,12,28,,,[],[],2>11:6;10>11:1,,29,51,
2026_07_15_01_26_56,000060,13,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,9;13;14;19,13;14;9,14;9,"{""9"": 37, ""14"": 37}","{""9"": 4826, ""13"": 4793, ""14"": 4980}",156896,44.31590656284761,10,40.0,100.0,200.0,2500000,693392,693392,1,ns3,899,0.5,10,12,28,,,[],[],9>13:8;14>13:2,,16,31,
2026_07_15_01_26_56,000060,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4396, ""15"": 4740}",70336,39.11902113459399,10,40.0,100.0,200.0,2500000,693392,693392,1,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,15,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 37, ""20"": 37}","{""7"": 4609, ""16"": 4857, ""20"": 4833}",151072,43.007786429365964,10,40.0,100.0,200.0,2500000,693392,693392,1,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:7,,21,27,
2026_07_15_01_26_56,000060,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17;3;18,3;18,"{""3"": 37, ""18"": 37}","{""3"": 3225, ""17"": 4967, ""18"": 4788}",128208,42.607341490545046,10,40.0,100.0,200.0,2500000,693392,693392,1,ns3,899,0.5,10,12,28,,,[],[],3>17:5;18>17:9,,21,25,
2026_07_15_01_26_56,000062,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4921, ""2"": 4365, ""11"": 4780}",146320,42.53615127919911,10,40.0,100.0,200.0,2500000,730048,730048,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:9,,27,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;12,12;4,4,"{""4"": 37}","{""4"": 3235, ""12"": 4894}",51760,28.78754171301446,10,40.0,100.0,200.0,2500000,730048,730048,1,ns3,899,0.5,10,12,28,,,[],[],4>12:1,,18,32,
2026_07_15_01_26_56,000062,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4388, ""15"": 4745}",70208,39.04783092324805,10,40.0,100.0,200.0,2500000,730048,730048,1,ns3,899,0.5,10,12,28,,,[],[],6>15:2,,12,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16;7;20,7;20,"{""7"": 37, ""20"": 37}","{""7"": 4610, ""16"": 4866, ""20"": 4834}",151104,43.016685205784206,10,40.0,100.0,200.0,2500000,730048,730048,1,ns3,899,0.5,10,12,28,,,[],[],7>16:3;20>16:8,,23,27,
2026_07_15_01_26_56,000062,17,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,3;14;17;18,17;14;3,14;3,"{""3"": 37, ""14"": 37}","{""3"": 4831, ""14"": 4968, ""17"": 4985}",156784,44.209121245828705,10,40.0,100.0,200.0,2500000,730048,730048,1,ns3,899,0.5,10,12,28,,,[],[],3>17:6;14>17:4,,18,19,
2026_07_15_01_26_56,000062,19,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,9;10;13;19,19;10;13,10;13,"{""10"": 37, ""13"": 37}","{""10"": 4876, ""13"": 4741, ""19"": 4823}",153872,43.39043381535039,10,40.0,100.0,200.0,2500000,730048,730048,1,ns3,899,0.5,10,12,28,,,[],[],10>19:5;13>19:7,,16,38,
2026_07_15_01_26_56,000064,1,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4921, ""2"": 4350, ""11"": 4643}",143888,41.317018909899886,10,40.0,100.0,200.0,2500000,727520,727520,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:9,,27,40,
2026_07_15_01_26_56,000064,12,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,4;12,12;4,4,"{""4"": 37}","{""4"": 3232, ""12"": 4896}",51712,28.760845383759733,10,40.0,100.0,200.0,2500000,727520,727520,1,ns3,899,0.5,10,12,28,,,[],[],4>12:1,,15,32,
2026_07_15_01_26_56,000064,15,all-cluster-heads,docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15;6,6,"{""6"": 37}","{""6"": 4413, ""15"": 4750}",70608,39.270300333704114,10,40.0,100.0,200.0,2500000,727520,727520,1,ns3,899,0.5,10,12,28,,,[],[],6>15:2,,13,17,
