scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_hd,grid,,,,,,,cov_coalition_game,6,60.0,4;8;12,4;8;12,8;12,"{""8"": 53, ""12"": 57}","{""4"": 4886, ""8"": 4784, ""12"": 2125}",110544,6.148164627363737,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,8;12,30,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_hd,grid,,,,,,,cov_coalition_game,6,60.0,1;2;10;11,11;9;1,9;1,"{""1"": 39, ""9"": 39}","{""1"": 4808, ""9"": 4823, ""11"": 4909}",154096,8.570411568409344,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,9;1,30,42,
2026_07_15_01_26_56,000060,13,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_hd,grid,,,,,,,cov_coalition_game,6,60.0,9;13;14;19,13;5;10,5;10,"{""5"": 39, ""10"": 39}","{""5"": 4832, ""10"": 4848, ""13"": 4793}",154880,8.614015572858731,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,5;10,23,41,
2026_07_15_01_26_56,000060,15,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_hd,grid,,,,,,,cov_coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,3.9911012235817576,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,6,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_hd,grid,,,,,,,cov_coalition_game,6,60.0,5;7;16;20,16;7;3,7;3,"{""3"": 39, ""7"": 39}","{""3"": 4735, ""7"": 4628, ""16"": 4857}",149808,8.331924360400444,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,7;3,17,31,
2026_07_15_01_26_56,000060,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_hd,grid,,,,,,,cov_coalition_game,6,60.0,3;17;18,17;18,18,"{""18"": 58}","{""17"": 4967, ""18"": 4975}",79600,4.42714126807564,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,18,10,11,
2026_07_15_01_26_56,000062,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_hd,grid,,,,,,,cov_coalition_game,6,60.0,1;2;8;11,1;11;2,11;2,"{""2"": 39, ""11"": 39}","{""1"": 4921, ""2"": 4337, ""11"": 4560}",142352,7.9172413793103456,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,11;2,27,40,
2026_07_15_01_26_56,000062,12,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_hd,grid,,,,,,,cov_coalition_game,6,60.0,4;12,12;8;7,8;7,"{""7"": 54, ""8"": 54}","{""7"": 4870, ""8"": 4805, ""12"": 4894}",154800,8.60956618464961,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,8;7,30,43,
2026_07_15_01_26_56,000062,15,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_hd,grid,,,,,,,cov_coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,3.984872080088988,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,6,15,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_edgecooper_global_hd,grid,,,,,,,cov_coalition_game,6,60.0,5;7;16;20,16;5;9,5;9,"{""5"": 39, ""9"": 39}","{""5"": 4567, ""9"": 4818, ""16"": 4866}",150160,8.351501668520578,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,5;9,20,32,
