scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,head_only,utility,utility,none,0,0,,cov_coalition_game,6,,4;8;12,4,,{},"{""4"": 4886}",0,0.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],12>4:0,,12,28,
2026_07_15_01_26_56,000060,11,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,head_only,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;10;11,11,,{},"{""11"": 4909}",0,0.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],2>11:6;10>11:1,,16,13,
2026_07_15_01_26_56,000060,13,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,head_only,utility,utility,none,0,0,,cov_coalition_game,6,,9;13;14;19,13,,{},"{""13"": 4793}",0,0.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],9>13:8;14>13:2,,2,11,
2026_07_15_01_26_56,000060,15,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,head_only,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15,,{},"{""15"": 4740}",0,0.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],6>15:3,,13,9,
2026_07_15_01_26_56,000060,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,head_only,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16,,{},"{""16"": 4857}",0,0.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],7>16:4;20>16:7,,17,25,
2026_07_15_01_26_56,000060,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,head_only,utility,utility,none,0,0,,cov_coalition_game,6,,3;17;18,17,,{},"{""17"": 4967}",0,0.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],3>17:5;18>17:9,,9,10,
2026_07_15_01_26_56,000062,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,head_only,utility,utility,none,0,0,,cov_coalition_game,6,,1;2;8;11,1,,{},"{""1"": 4921}",0,0.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:9,,14,16,
2026_07_15_01_26_56,000062,12,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,head_only,utility,utility,none,0,0,,cov_coalition_game,6,,4;12,12,,{},"{""12"": 4894}",0,0.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],4>12:1,,7,20,
2026_07_15_01_26_56,000062,15,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,head_only,utility,utility,none,0,0,,cov_coalition_game,6,,6;15,15,,{},"{""15"": 4745}",0,0.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],6>15:2,,15,9,
2026_07_15_01_26_56,000062,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,head_only,utility,utility,none,0,0,,cov_coalition_game,6,,5;7;16;20,16,,{},"{""16"": 4866}",0,0.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],7>16:3;20>16:8,,14,25,
