scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,4;8;12,4;8;12,8;12,"{""8"": 37, ""12"": 36}","{""4"": 4886, ""8"": 4791, ""12"": 4812}",153648,8.545494994438265,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,8;12,24,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,1;2;10;11,11;1;10;2,1;10;2,"{""1"": 37, ""2"": 36, ""10"": 37}","{""1"": 4899, ""2"": 4760, ""10"": 4897, ""11"": 4909}",232896,12.95305895439377,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,1;10;2,31,51,
2026_07_15_01_26_56,000060,13,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,9;13;14;19,13;9;14;19,9;14;19,"{""9"": 38, ""14"": 37, ""19"": 37}","{""9"": 4837, ""13"": 4793, ""14"": 4980, ""19"": 4793}",233760,13.00111234705228,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,9;14;19,10,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,6;15,15;6,6,"{""6"": 37}","{""6"": 4461, ""15"": 4740}",71376,3.9697441601779757,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,6,14,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,5;7;16;20,16;7;5;20,7;5;20,"{""5"": 37, ""7"": 37, ""20"": 37}","{""5"": 4870, ""7"": 4751, ""16"": 4857, ""20"": 4844}",231440,12.872080088987765,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,7;5;20,22,31,
2026_07_15_01_26_56,000060,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,3;17;18,17;18;3,18;3,"{""3"": 37, ""18"": 37}","{""3"": 4841, ""17"": 4967, ""18"": 4889}",155680,8.658509454949945,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,18;3,11,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,1;2;8;11,1;8;11;2,8;11;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 4776, ""8"": 4769, ""11"": 4849}",230304,12.808898776418243,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,8;11;2,32,46,
2026_07_15_01_26_56,000062,12,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,4;12,12;4,4,"{""4"": 40}","{""4"": 4803, ""12"": 4894}",76848,4.274082313681869,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,4,18,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,6;15,15;6,6,"{""6"": 41}","{""6"": 4495, ""15"": 4745}",71920,4.0,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,6,16,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_pacp_lidar,grid,,,,,,,cov_coalition_game,6,60.0,5;7;16;20,16;5;7;20,5;7;20,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4881, ""7"": 4759, ""16"": 4866, ""20"": 4854}",231904,12.897886540600668,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,5;7;20,22,31,
