scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,4;8;12,4;8;12,8;12,"{""8"": 53, ""12"": 57}","{""4"": 4886, ""8"": 4784, ""12"": 2125}",110544,6.148164627363737,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,8;12,30,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,1;2;10;11,11;1;10;2,1;10;2,"{""1"": 39, ""2"": 39, ""10"": 39}","{""1"": 4556, ""2"": 2155, ""10"": 2986, ""11"": 4909}",155152,8.629143492769744,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,1;10;2,26,51,
2026_07_15_01_26_56,000060,13,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,9;13;14;19,13;9;14;19,9;14;19,"{""9"": 39, ""14"": 39, ""19"": 39}","{""9"": 3459, ""13"": 4793, ""14"": 2341, ""19"": 1107}",110512,6.146384872080089,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,9;14;19,10,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,3.9911012235817576,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,6,13,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,5;7;16;20,16;20;7;5,20;7;5,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 984, ""7"": 1361, ""16"": 4857, ""20"": 1816}",66576,3.702780867630701,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,20;7;5,19,31,
2026_07_15_01_26_56,000060,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,3;17;18,17;18;3,18;3,"{""3"": 56, ""18"": 58}","{""3"": 3324, ""17"": 4967, ""18"": 4975}",132784,7.385094549499445,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,18;3,9,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,1;2;8;11,1;8;2;11,8;2;11,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 3984, ""8"": 4027, ""11"": 2606}",169872,9.447830923248054,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,8;2;11,24,46,
2026_07_15_01_26_56,000062,12,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,4;12,12;4,4,"{""4"": 57}","{""4"": 3322, ""12"": 4894}",53152,2.9561735261401556,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,4,17,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,3.984872080088988,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,6,15,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,5;7;16;20,16;5;7;20,5;7;20,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4061, ""7"": 3484, ""16"": 4866, ""20"": 1959}",152064,8.457397107897663,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,5;7;20,20,31,
2026_07_15_01_26_56,000062,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,3;14;17;18,17;18;14;3,18;14;3,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 1684, ""14"": 3728, ""17"": 4985, ""18"": 4636}",160768,8.941490545050055,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,18;14;3,8,16,
2026_07_15_01_26_56,000062,19,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,9;10;13;19,19;9;10;13,9;10;13,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 3464, ""10"": 4571, ""13"": 3706, ""19"": 4823}",187856,10.448053392658508,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,9;10;13,16,36,
2026_07_15_01_26_56,000064,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,1;2;8;11,1;8;11;2,8;11;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 2314, ""8"": 4307, ""11"": 2687}",148928,8.282981090100112,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,8;11;2,23,46,
2026_07_15_01_26_56,000064,12,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,4;12,12;4,4,"{""4"": 56}","{""4"": 3281, ""12"": 4896}",52496,2.919688542825362,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,4,14,35,
2026_07_15_01_26_56,000064,15,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,6;15,15;6,6,"{""6"": 58}","{""6"": 4512, ""15"": 4750}",72192,4.015127919911012,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,6,15,17,
2026_07_15_01_26_56,000064,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,5;7;16;20,16;5;7;20,5;7;20,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4418, ""7"": 3997, ""16"": 4850, ""20"": 3051}",183456,10.203337041156841,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,5;7;20,19,32,
2026_07_15_01_26_56,000064,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,3;14;17;18,17;18;14;3,18;14;3,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 2591, ""14"": 3397, ""17"": 4966, ""18"": 4550}",168608,9.377530589543937,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,18;14;3,10,16,
2026_07_15_01_26_56,000064,19,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,selective_random,grid,,,,,,,cov_coalition_game,6,60.0,9;10;13;19,19;9;13;10,9;13;10,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 3273, ""10"": 2222, ""13"": 3272, ""19"": 4819}",140272,7.801557285873192,10,40.0,100.0,,,,,2,ns3,899,0.5,10,12,28,,,[],[],,9;13;10,10,36,
