label,trace_path,ap_03,ap_05,ap_07,raw_lidar_mbps,total_mbps,frame_count,trace_rows,detector_calls_total,detector_calls_per_frame,detector_calls_per_frame_p95,mean_source_cavs_per_call,mean_uploaded_cavs_per_call,mean_selected_grids_per_call,mean_input_points_per_call,mean_input_points_per_frame,mean_pred_boxes_per_call,mean_pred_boxes_per_frame,mean_raw_bytes_per_call,mean_frame_comm_time_ms_per_call_row,calibrated_gflops_per_forward,profiled_detector_gflops_per_frame,profiled_detector_gflops_per_second_at_10hz,input_adjusted_detector_gflops_per_frame,input_adjusted_point_feature_gflops_per_frame
SGCP-CV,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\base_trace.csv,0.87,0.80,0.36,60.181354,60.903430,41,246,246,6.000,6.000,2.667,1.667,85.728,12719.3,76316.0,18.004,108.024,125377.8,41.696,89.411751,536.470508,5364.705084,536.917608,0.814286
Cluster-head late only,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\head_only_k2_trace.csv,0.42,0.30,0.13,0.000000,0.452121,41,246,246,6.000,6.000,1.000,0.000,0.000,4883.2,29299.4,11.049,66.293,0.0,0.000,89.411751,536.470508,5364.705084,536.468516,0.365194
FullPerception-PCS,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\pcs_k2_trace.csv,0.61,0.46,0.22,12.896281,13.421893,41,246,246,6.000,6.000,1.439,0.439,13.289,6562.4,39374.6,12.959,77.756,26867.3,41.165,89.411751,536.470508,5364.705084,536.564752,0.461430
Random budget,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\random_k2_trace.csv,0.85,0.75,0.36,61.752976,62.474427,41,246,246,6.000,6.000,3.333,2.333,103.199,12924.0,77543.9,17.988,107.927,128652.0,7.155,89.411751,536.470508,5364.705084,536.929335,0.826014
Density greedy,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\density_k2_trace.csv,0.86,0.78,0.38,75.942619,76.687173,41,246,246,6.000,6.000,3.333,2.333,103.199,14771.6,88629.5,18.589,111.537,158213.8,8.799,89.411751,536.470508,5364.705084,537.035223,0.931901
Link-aware density,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\linkaware_k2_trace.csv,0.86,0.78,0.38,75.942619,76.685768,41,246,246,6.000,6.000,3.333,2.333,103.199,14771.6,88629.5,18.553,111.317,158213.8,8.799,89.411751,536.470508,5364.705084,537.035223,0.931901
PACP-LiDAR,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\pacp_lidar_k2_trace.csv,0.88,0.78,0.37,86.302377,87.062384,41,246,246,6.000,6.000,3.333,2.333,94.984,16120.5,96723.1,18.992,113.951,179796.6,10.000,89.411751,536.470508,5364.705084,537.112531,1.009209
EdgeCooper-HD,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\edgecooper_hd_k2_trace.csv,0.81,0.70,0.32,52.485994,53.189807,41,246,246,6.000,6.000,2.561,1.561,71.736,11717.3,70304.0,17.545,105.268,109345.8,6.082,89.411751,536.470508,5364.705084,536.860182,0.756861
FullPerception-PCS K1 note,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\pcs_k1_note_trace.csv,0.58,0.43,0.21,10.843754,11.365307,41,246,246,6.000,6.000,1.366,0.366,11.870,6295.2,37771.0,12.854,77.122,22591.2,41.591,89.411751,536.470508,5364.705084,536.549435,0.446113
EdgeCooper-HD K1 note,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\edgecooper_hd_k1_note_trace.csv,0.72,0.60,0.29,30.518728,31.099161,41,246,246,6.000,6.000,1.935,0.935,44.272,8857.0,53142.1,14.358,86.146,63580.7,3.536,89.411751,536.470508,5364.705084,536.696256,0.592934
