label,display,scheduler,late_fusion,clustering,receiver_policy,ap_03,ap_05,ap_07,raw_lidar_mbps,box_mbps,total_mbps,avg_source_cavs,avg_selected_grids,avg_frame_comm_time_ms,max_senders_per_receiver,trace_path,note_row
SGCP-CV,SGCP-CV,cov_potential_game,inter_cluster_nms,cov_coalition_game,all-cluster-heads,0.87,0.80,0.36,60.181354,0.722076,60.903430,2.67,85.73,41.70,1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\parameter_sensitivity_cv_20260723\base_trace.csv,no
Cluster-head late only,Cluster-head late only,local_detection_head_only,inter_cluster_nms,cov_coalition_game,all-cluster-heads,0.42,0.30,0.13,0.000000,0.452121,0.452121,1.00,0.00,0.00,2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\head_only_k2_trace.csv,no
FullPerception-PCS,FullPerception-PCS,fullperception_pcs,inter_cluster_nms,cov_coalition_game,all-cluster-heads,0.61,0.46,0.22,12.896281,0.525612,13.421893,1.44,13.29,41.17,2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\pcs_k2_trace.csv,no
Random budget,Random budget,selective_random,inter_cluster_nms,cov_coalition_game,all-cluster-heads,0.85,0.75,0.36,61.752976,0.721452,62.474427,3.33,103.20,7.16,2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\random_k2_trace.csv,no
Density greedy,Density greedy,selective_density,inter_cluster_nms,cov_coalition_game,all-cluster-heads,0.86,0.78,0.38,75.942619,0.744554,76.687173,3.33,103.20,8.80,2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\density_k2_trace.csv,no
Link-aware density,Link-aware density,selective_communication_aware,inter_cluster_nms,cov_coalition_game,all-cluster-heads,0.86,0.78,0.38,75.942619,0.743149,76.685768,3.33,103.20,8.80,2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\linkaware_k2_trace.csv,no
PACP-LiDAR,PACP-LiDAR,selective_pacp_lidar,inter_cluster_nms,cov_coalition_game,all-cluster-heads,0.88,0.78,0.37,86.302377,0.760008,87.062384,3.33,94.98,10.00,2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\pacp_lidar_k2_trace.csv,no
EdgeCooper-HD,EdgeCooper-HD,selective_edgecooper_global_hd,inter_cluster_nms,cov_coalition_game,all-cluster-heads,0.81,0.70,0.32,52.485994,0.703813,53.189807,2.56,71.74,6.08,2,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\edgecooper_hd_k2_trace.csv,no
FullPerception-PCS K1 note,FullPerception-PCS,fullperception_pcs,inter_cluster_nms,cov_coalition_game,all-cluster-heads,0.58,0.43,0.21,10.843754,0.521553,11.365307,1.37,11.87,41.59,1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\pcs_k1_note_trace.csv,yes
EdgeCooper-HD K1 note,EdgeCooper-HD,selective_edgecooper_global_hd,inter_cluster_nms,cov_coalition_game,all-cluster-heads,0.72,0.60,0.29,30.518728,0.580433,31.099161,1.93,44.27,3.54,1,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\table3_cov_scheduler_20260724\edgecooper_hd_k1_note_trace.csv,yes
