scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,4;8;12,4;8;12,8;12,"{""8"": 53, ""12"": 57}","{""4"": 4886, ""8"": 4784, ""12"": 2125}",110544,6.148164627363737,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8;12,13,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,1;2;10;11,11;1;10;2,1;10;2,"{""1"": 39, ""2"": 39, ""10"": 39}","{""1"": 4808, ""2"": 3096, ""10"": 4843, ""11"": 4909}",203952,11.343270300333705,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,1;10;2,22,51,
2026_07_15_01_26_56,000060,13,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,9;13;14;19,13;9;14;19,9;14;19,"{""9"": 39, ""14"": 39, ""19"": 39}","{""9"": 3776, ""13"": 4793, ""14"": 4994, ""19"": 1580}",165600,9.210233592880979,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9;14;19,5,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,3.9911012235817576,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;7;20;5,7;20;5,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 1318, ""7"": 4628, ""16"": 4857, ""20"": 2353}",132784,7.385094549499445,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,7;20;5,12,31,
2026_07_15_01_26_56,000060,17,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,3;17;18,17;18;3,18;3,"{""3"": 56, ""18"": 58}","{""3"": 3324, ""17"": 4967, ""18"": 4975}",132784,7.385094549499445,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18;3,2,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8;11;2,8;11;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 4375, ""8"": 4380, ""11"": 4560}",213040,11.848720800889877,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8;11;2,21,46,
2026_07_15_01_26_56,000062,12,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,4;12,12;4,4,"{""4"": 57}","{""4"": 3322, ""12"": 4894}",53152,2.9561735261401556,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,4,10,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,3.984872080088988,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;5;7;20,5;7;20,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4567, ""7"": 4650, ""16"": 4866, ""20"": 3210}",198832,11.058509454949945,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5;7;20,12,31,
2026_07_15_01_26_56,000062,17,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,3;14;17;18,17;18;14;3,18;14;3,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 3202, ""14"": 4982, ""17"": 4985, ""18"": 4938}",209952,11.676974416017798,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18;14;3,1,16,
2026_07_15_01_26_56,000062,19,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,9;10;13;19,19;9;10;13,9;10;13,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 4056, ""10"": 4885, ""13"": 4083, ""19"": 4823}",208384,11.58976640711902,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9;10;13,7,36,
2026_07_15_01_26_56,000064,1,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8;11;2,8;11;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 4360, ""8"": 4381, ""11"": 4563}",212864,11.83893214682981,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8;11;2,22,46,
2026_07_15_01_26_56,000064,12,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,4;12,12;4,4,"{""4"": 56}","{""4"": 3281, ""12"": 4896}",52496,2.919688542825362,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,4,6,35,
2026_07_15_01_26_56,000064,15,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 58}","{""6"": 4512, ""15"": 4750}",72192,4.015127919911012,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,11,17,
2026_07_15_01_26_56,000064,16,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;5;7;20,5;7;20,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 4537, ""7"": 4647, ""16"": 4850, ""20"": 3193}",198032,11.014015572858732,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5;7;20,18,32,
2026_07_15_01_26_56,000064,17,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,3;14;17;18,17;18;14;3,18;14;3,"{""3"": 39, ""14"": 39, ""18"": 39}","{""3"": 3166, ""14"": 4990, ""17"": 4966, ""18"": 4931}",209392,11.645828698553949,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18;14;3,3,16,
2026_07_15_01_26_56,000064,19,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,9;10;13;19,19;9;10;13,9;10;13,"{""9"": 39, ""10"": 39, ""13"": 39}","{""9"": 4053, ""10"": 4875, ""13"": 4083, ""19"": 4819}",208176,11.578197997775305,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9;10;13,5,36,
2026_07_15_01_26_56,000066,1,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8;11;2,8;11;2,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4922, ""2"": 4367, ""8"": 4381, ""11"": 4563}",212976,11.84516129032258,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8;11;2,22,47,
2026_07_15_01_26_56,000066,12,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,4;7;12,12;7;4,7;4,"{""4"": 57, ""7"": 55}","{""4"": 3279, ""7"": 4864, ""12"": 4884}",130288,7.246273637374862,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,7;4,12,42,
2026_07_15_01_26_56,000066,15,all-cluster-heads,selective_density,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 57}","{""6"": 4507, ""15"": 4740}",72112,4.010678531701891,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,17,
