scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,4;8;12,4;8,8,"{""8"": 53}","{""4"": 4886, ""8"": 4784}",76544,4.257174638487208,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,9,36,
2026_07_15_01_26_56,000060,11,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;2;10;11,11;9,9,"{""9"": 39}","{""9"": 4823, ""11"": 4909}",77168,4.291879866518354,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9,12,26,
2026_07_15_01_26_56,000060,13,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,9;13;14;19,13;5,5,"{""5"": 39}","{""5"": 4832, ""13"": 4793}",77312,4.299888765294772,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,1,20,
2026_07_15_01_26_56,000060,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,3.9911012235817576,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;7,7,"{""7"": 39}","{""7"": 4628, ""16"": 4857}",74048,4.118353726362625,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,7,9,29,
2026_07_15_01_26_56,000060,17,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,3;17;18,17;18,18,"{""18"": 58}","{""17"": 4967, ""18"": 4975}",79600,4.42714126807564,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18,1,11,
2026_07_15_01_26_56,000062,1,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;11,11,"{""11"": 39}","{""1"": 4921, ""11"": 4560}",72960,4.057842046718576,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,11,17,29,
2026_07_15_01_26_56,000062,12,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,4;12,12;8,8,"{""8"": 54}","{""8"": 4805, ""12"": 4894}",76880,4.275862068965518,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8,7,33,
2026_07_15_01_26_56,000062,15,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,3.984872080088988,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,selective_edgecooper_global_hd,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;5,5,"{""5"": 39}","{""5"": 4567, ""16"": 4866}",73072,4.0640711902113456,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5,7,29,
