scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,4;6,4,,{},"{""4"": 4886}",0,44.07563959955506,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.07563959955506],[727360],,,12,28,
2026_07_15_01_26_56,000060,11,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,11;12,11;12,12,"{""12"": 39}","{""11"": 4909, ""12"": 4306}",68896,44.07563959955506,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.07563959955506],[727360],12>11:7,,25,31,
2026_07_15_01_26_56,000060,13,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,13;14,13,,{},"{""13"": 4793}",0,44.07563959955506,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.07563959955506],[727360],,,2,11,
2026_07_15_01_26_56,000060,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,5;15,15;5,5,"{""5"": 21}","{""5"": 3839, ""15"": 4740}",61424,44.07563959955506,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.07563959955506],[727360],5>15:9,,15,18,
2026_07_15_01_26_56,000060,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,8;16,16;8,8,"{""8"": 38}","{""8"": 4644, ""16"": 4857}",74304,44.07563959955506,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.07563959955506],[727360],8>16:1,,23,36,
2026_07_15_01_26_56,000060,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,1;17,17,,{},"{""17"": 4967}",0,44.07563959955506,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.07563959955506],[727360],,,9,10,
2026_07_15_01_26_56,000062,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,1;17,1;17,17,"{""17"": 65}","{""1"": 4921, ""17"": 4949}",79184,44.093437152391544,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.093437152391544],[655152],17>1:7,,20,24,
2026_07_15_01_26_56,000062,12,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,11;12,12,,{},"{""12"": 4894}",0,44.093437152391544,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.093437152391544],[655152],,,7,20,
2026_07_15_01_26_56,000062,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,5;15,15;5,5,"{""5"": 21}","{""5"": 3839, ""15"": 4745}",61424,44.093437152391544,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.093437152391544],[655152],5>15:8,,19,18,
2026_07_15_01_26_56,000062,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,2;16,16,,{},"{""16"": 4866}",0,44.093437152391544,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.093437152391544],[655152],,,14,25,
2026_07_15_01_26_56,000062,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,1;17,17,,{},"{""17"": 4985}",0,44.093437152391544,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.093437152391544],[655152],,,6,9,
2026_07_15_01_26_56,000062,19,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,7;19,19;7,7,"{""7"": 33}","{""7"": 4457, ""19"": 4823}",71312,44.093437152391544,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[44.093437152391544],[655152],7>19:5,,15,20,
2026_07_15_01_26_56,000064,1,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,1;17,1;17,17,"{""17"": 65}","{""1"": 4921, ""17"": 4921}",78736,43.888765294771964,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[43.888765294771964],[670336],17>1:7,,25,23,
2026_07_15_01_26_56,000064,12,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,2;12,12,,{},"{""12"": 4896}",0,43.888765294771964,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[43.888765294771964],[670336],,,9,19,
2026_07_15_01_26_56,000064,15,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,5;15,15;5,5,"{""5"": 21}","{""5"": 3839, ""15"": 4750}",61424,43.888765294771964,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[43.888765294771964],[670336],5>15:8,,18,18,
2026_07_15_01_26_56,000064,16,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,8;16,16;8,8,"{""8"": 39}","{""8"": 4639, ""16"": 4850}",74224,43.888765294771964,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[43.888765294771964],[670336],8>16:0,,20,36,
2026_07_15_01_26_56,000064,17,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,1;17,17,,{},"{""17"": 4966}",0,43.888765294771964,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[43.888765294771964],[670336],,,10,9,
2026_07_15_01_26_56,000064,19,all-cluster-heads,fullperception_pcs,grid,utility,utility,none,0,0,,coalition_game,6,,18;19,19,,{},"{""19"": 4819}",0,43.888765294771964,10,40.0,60.0,ns3,899,0.5,10,12,28,1,1,[43.888765294771964],[670336],,,1,10,
