scenario_id,timestamp,receiver_id,receiver_policy,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,4;8;12,4;8;12,8;12,"{""8"": 53, ""12"": 57}","{""4"": 4886, ""8"": 4784, ""12"": 2125}",110544,6.148164627363737,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8;12,13,40,
2026_07_15_01_26_56,000060,11,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,1;2;10;11,11;1;10;2,1;10;2,"{""1"": 39, ""2"": 39, ""10"": 39}","{""1"": 4711, ""2"": 1773, ""10"": 2858, ""11"": 4909}",149472,8.313236929922136,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,1;10;2,19,51,
2026_07_15_01_26_56,000060,13,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,9;13;14;19,13;9;14;19,9;14;19,"{""9"": 39, ""14"": 39, ""19"": 39}","{""9"": 3646, ""13"": 4793, ""14"": 3999, ""19"": 849}",135904,7.558620689655172,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,9;14;19,4,26,
2026_07_15_01_26_56,000060,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4485, ""15"": 4740}",71760,3.9911012235817576,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,17,
2026_07_15_01_26_56,000060,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;7;20;5,7;20;5,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 1144, ""7"": 3989, ""16"": 4857, ""20"": 1942}",113200,6.295884315906563,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,7;20;5,12,31,
2026_07_15_01_26_56,000060,17,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,3;17;18,17;18;3,18;3,"{""3"": 56, ""18"": 58}","{""3"": 3324, ""17"": 4967, ""18"": 4975}",132784,7.385094549499445,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,18;3,2,17,
2026_07_15_01_26_56,000062,1,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,1;2;8;11,1;8;2;11,8;2;11,"{""2"": 39, ""8"": 39, ""11"": 39}","{""1"": 4921, ""2"": 3346, ""8"": 4078, ""11"": 2735}",162544,9.040266963292549,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,8;2;11,21,46,
2026_07_15_01_26_56,000062,12,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,4;12,12;4,4,"{""4"": 57}","{""4"": 3322, ""12"": 4894}",53152,2.9561735261401556,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,4,10,35,
2026_07_15_01_26_56,000062,15,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,6;15,15;6,6,"{""6"": 56}","{""6"": 4478, ""15"": 4745}",71648,3.984872080088988,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,6,12,17,
2026_07_15_01_26_56,000062,16,all-cluster-heads,selective_random,grid,,,,,,,coalition_game,6,60.0,5;7;16;20,16;5;20;7,5;20;7,"{""5"": 39, ""7"": 39, ""20"": 39}","{""5"": 3995, ""7"": 2907, ""16"": 4866, ""20"": 3084}",159776,8.886318131256953,10,40.0,60.0,ns3,899,0.5,10,12,28,,,[],[],,5;20;7,12,31,
