scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,1;6;14;17,1;14;6,14;6,"{""6"": 14, ""14"": 37}","{""1"": 4918, ""6"": 336, ""14"": 4980}",85056,44.31590656284761,10,40.0,100.0,200.0,2500000,575040,575040,1,ns3,899,0.5,10,12,28,,,[],[],6>1:8;14>1:0,,19,28,
2026_07_15_01_26_56,000060,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,5;12;15;18,5;12;18,12;18,"{""12"": 37, ""18"": 13}","{""5"": 4909, ""12"": 4821, ""18"": 262}",81328,42.901001112347046,10,40.0,100.0,200.0,2500000,575040,575040,1,ns3,899,0.5,10,12,28,,,[],[],12>5:1;18>5:9,,19,32,
2026_07_15_01_26_56,000060,7,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,2;3;7;19,7;2;3,2;3,"{""2"": 37, ""3"": 25}","{""2"": 4795, ""3"": 2771, ""7"": 4908}",121056,42.66963292547275,10,40.0,100.0,200.0,2500000,575040,575040,1,ns3,899,0.5,10,12,28,,,[],[],2>7:2;3>7:6,,27,40,
2026_07_15_01_26_56,000060,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,9;10;11;20,10;20;11,20;11,"{""11"": 37, ""20"": 37}","{""10"": 4953, ""11"": 4742, ""20"": 4753}",151920,42.29588431590656,10,40.0,100.0,200.0,2500000,575040,575040,1,ns3,899,0.5,10,12,28,,,[],[],11>10:5;20>10:3,,34,44,
2026_07_15_01_26_56,000060,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,4;8;13;16,16;4;13,4;13,"{""4"": 37, ""13"": 22}","{""4"": 4786, ""13"": 3694, ""16"": 4857}",135680,42.58954393770856,10,40.0,100.0,200.0,2500000,575040,575040,1,ns3,899,0.5,10,12,28,,,[],[],4>16:4;13>16:7,,25,43,
2026_07_15_01_26_56,000062,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,1;6;14;17,1;14;6,14;6,"{""6"": 14, ""14"": 37}","{""1"": 4921, ""6"": 371, ""14"": 4968}",85424,44.209121245828705,10,40.0,100.0,200.0,2500000,589296,589296,1,ns3,899,0.5,10,12,28,,,[],[],6>1:8;14>1:0,,19,28,
2026_07_15_01_26_56,000062,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,5;12;15;18,5;12;18,12;18,"{""12"": 37, ""18"": 11}","{""5"": 4912, ""12"": 4812, ""18"": 265}",81232,42.82091212458287,10,40.0,100.0,200.0,2500000,589296,589296,1,ns3,899,0.5,10,12,28,,,[],[],12>5:1;18>5:9,,22,30,
2026_07_15_01_26_56,000062,7,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,2;3;7;19,7;2;3,2;3,"{""2"": 37, ""3"": 25}","{""2"": 4800, ""3"": 2715, ""7"": 4906}",120240,42.71412680756396,10,40.0,100.0,200.0,2500000,589296,589296,1,ns3,899,0.5,10,12,28,,,[],[],2>7:2;3>7:7,,31,42,
2026_07_15_01_26_56,000062,8,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,4;8;13;16,8;16;4,16;4,"{""4"": 37, ""16"": 37}","{""4"": 4515, ""8"": 4838, ""16"": 4813}",149248,42.82981090100111,10,40.0,100.0,200.0,2500000,589296,589296,1,ns3,899,0.5,10,12,28,,,[],[],4>8:6;16>8:3,,35,44,
2026_07_15_01_26_56,000062,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,9;10;11;20,10;20;9,20;9,"{""9"": 37, ""20"": 37}","{""9"": 4821, ""10"": 4955, ""20"": 4751}",153152,42.901001112347046,10,40.0,100.0,200.0,2500000,589296,589296,1,ns3,899,0.5,10,12,28,,,[],[],9>10:5;20>10:4,,26,42,
2026_07_15_01_26_56,000064,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,1;6;14;17,1;14;6,14;6,"{""6"": 15, ""14"": 37}","{""1"": 4921, ""6"": 389, ""14"": 4972}",85776,44.24471635150167,10,40.0,100.0,200.0,2500000,588160,588160,1,ns3,899,0.5,10,12,28,,,[],[],6>1:8;14>1:0,,18,28,
2026_07_15_01_26_56,000064,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,5;12;15;18,5;12;18,12;18,"{""12"": 37, ""18"": 11}","{""5"": 4913, ""12"": 4815, ""18"": 248}",81008,42.847608453837594,10,40.0,100.0,200.0,2500000,588160,588160,1,ns3,899,0.5,10,12,28,,,[],[],12>5:1;18>5:9,,23,29,
2026_07_15_01_26_56,000064,7,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,2;3;7;19,7;2;3,2;3,"{""2"": 37, ""3"": 26}","{""2"": 4817, ""3"": 2620, ""7"": 4911}",118992,42.86540600667408,10,40.0,100.0,200.0,2500000,588160,588160,1,ns3,899,0.5,10,12,28,,,[],[],2>7:2;3>7:7,,29,45,
2026_07_15_01_26_56,000064,8,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,4;8;13;16,8;16;4,16;4,"{""4"": 37, ""16"": 37}","{""4"": 4527, ""8"": 4837, ""16"": 4805}",149312,42.75862068965517,10,40.0,100.0,200.0,2500000,588160,588160,1,ns3,899,0.5,10,12,28,,,[],[],4>8:6;16>8:3,,36,43,
2026_07_15_01_26_56,000064,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,9;10;11;20,10;20;9,20;9,"{""9"": 37, ""20"": 37}","{""9"": 4814, ""10"": 4948, ""20"": 4753}",153072,42.83870967741935,10,40.0,100.0,200.0,2500000,588160,588160,1,ns3,899,0.5,10,12,28,,,[],[],9>10:5;20>10:4,,25,41,
2026_07_15_01_26_56,000066,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,1;6;14;17,1;14;6,14;6,"{""6"": 15, ""14"": 37}","{""1"": 4922, ""6"": 413, ""14"": 4958}",85936,44.12013348164627,10,40.0,100.0,200.0,2500000,588240,588240,1,ns3,899,0.5,10,12,28,,,[],[],6>1:8;14>1:0,,21,29,
2026_07_15_01_26_56,000066,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,5;12;15;18,5;12;18,12;18,"{""12"": 37, ""18"": 11}","{""5"": 4912, ""12"": 4812, ""18"": 234}",80736,42.82091212458287,10,40.0,100.0,200.0,2500000,588240,588240,1,ns3,899,0.5,10,12,28,,,[],[],12>5:1;18>5:9,,20,29,
2026_07_15_01_26_56,000066,7,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,2;3;7;19,7;2;3,2;3,"{""2"": 37, ""3"": 27}","{""2"": 4817, ""3"": 2615, ""7"": 4902}",118912,42.86540600667408,10,40.0,100.0,200.0,2500000,588240,588240,1,ns3,899,0.5,10,12,28,,,[],[],2>7:2;3>7:7,,29,43,
2026_07_15_01_26_56,000066,8,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,4;8;13;16,8;16;4,16;4,"{""4"": 37, ""16"": 37}","{""4"": 4548, ""8"": 4838, ""16"": 4797}",149520,42.68743047830923,10,40.0,100.0,200.0,2500000,588240,588240,1,ns3,899,0.5,10,12,28,,,[],[],4>8:6;16>8:3,,37,42,
2026_07_15_01_26_56,000066,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,density_greedy_cluster,5,,9;10;11;20,10;20;9,20;9,"{""9"": 37, ""20"": 37}","{""9"": 4817, ""10"": 4946, ""20"": 4754}",153136,42.86540600667408,10,40.0,100.0,200.0,2500000,588240,588240,1,ns3,899,0.5,10,12,28,,,[],[],9>10:5;20>10:4,,24,42,
