scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,distance_greedy,5,,1;2;8;11,1;11;2,11;2,"{""2"": 37, ""11"": 37}","{""1"": 4918, ""2"": 4712, ""11"": 4550}",148192,41.931034482758626,10,40.0,100.0,200.0,2500000,664608,664608,1,ns3,899,0.5,10,12,28,,,[],[],2>1:6;11>1:0,,24,40,
2026_07_15_01_26_56,000060,7,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,distance_greedy,5,,4;7;16;20,7;4;16,4;16,"{""4"": 37, ""16"": 37}","{""4"": 4569, ""7"": 4908, ""16"": 4776}",149520,42.50055617352614,10,40.0,100.0,200.0,2500000,664608,664608,1,ns3,899,0.5,10,12,28,,,[],[],4>7:1;16>7:7,,26,42,
2026_07_15_01_26_56,000060,9,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,distance_greedy,5,,5;9;10;19,9;10;19,10;19,"{""10"": 37, ""19"": 37}","{""9"": 4858, ""10"": 3538, ""19"": 4753}",132656,42.29588431590656,10,40.0,100.0,200.0,2500000,664608,664608,1,ns3,899,0.5,10,12,28,,,[],[],10>9:2;19>9:8,,14,34,
2026_07_15_01_26_56,000060,13,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,distance_greedy,5,,6;13;14;15,13;14;15,14;15,"{""14"": 37, ""15"": 1}","{""13"": 4793, ""14"": 4980, ""15"": 2}",79712,44.31590656284761,10,40.0,100.0,200.0,2500000,664608,664608,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;15>13:9,,2,18,
2026_07_15_01_26_56,000060,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,distance_greedy,5,,3;12;17;18,17;12;3,12;3,"{""3"": 37, ""12"": 37}","{""3"": 4837, ""12"": 4821, ""17"": 4967}",154528,43.04338153503893,10,40.0,100.0,200.0,2500000,664608,664608,1,ns3,899,0.5,10,12,28,,,[],[],3>17:5;12>17:4,,19,38,
2026_07_15_01_26_56,000062,1,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,distance_greedy,5,,1;2;8;11,1;2;11,2;11,"{""2"": 37, ""11"": 37}","{""1"": 4921, ""2"": 4365, ""11"": 4780}",146320,42.53615127919911,10,40.0,100.0,200.0,2500000,661680,661680,1,ns3,899,0.5,10,12,28,,,[],[],2>1:0;11>1:7,,27,40,
2026_07_15_01_26_56,000062,7,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,distance_greedy,5,,4;7;16;20,7;4;16,4;16,"{""4"": 37, ""16"": 37}","{""4"": 4561, ""7"": 4906, ""16"": 4781}",149472,42.54505005561735,10,40.0,100.0,200.0,2500000,661680,661680,1,ns3,899,0.5,10,12,28,,,[],[],4>7:1;16>7:6,,27,44,
2026_07_15_01_26_56,000062,9,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,distance_greedy,5,,5;9;10;19,9;10;19,10;19,"{""10"": 37, ""19"": 37}","{""9"": 4859, ""10"": 3517, ""19"": 4737}",132064,42.15350389321468,10,40.0,100.0,200.0,2500000,661680,661680,1,ns3,899,0.5,10,12,28,,,[],[],10>9:2;19>9:8,,17,33,
2026_07_15_01_26_56,000062,13,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,distance_greedy,5,,6;13;14;15,13;14;15,14;15,"{""14"": 37, ""15"": 1}","{""13"": 4793, ""14"": 4968, ""15"": 3}",79536,44.209121245828705,10,40.0,100.0,200.0,2500000,661680,661680,1,ns3,899,0.5,10,12,28,,,[],[],14>13:3;15>13:9,,0,18,
2026_07_15_01_26_56,000062,17,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,distance_greedy,5,,3;12;17;18,17;12;3,12;3,"{""3"": 37, ""12"": 37}","{""3"": 4831, ""12"": 4812, ""17"": 4985}",154288,42.98998887652947,10,40.0,100.0,200.0,2500000,661680,661680,1,ns3,899,0.5,10,12,28,,,[],[],3>17:5;12>17:4,,16,35,
