scenario_id,timestamp,receiver_id,receiver_policy,coperception_yaml,resource_allocation,upload_mode,grid_selection_mode,grid_score_mode,coverage_fallback,coverage_fallback_replacements,routing_hint_replacements,routing_hints_csv,clustering,cluster_count,selective_frame_deadline_ms,cluster_member_ids,source_cav_ids,uploaded_source_ids,selected_grid_counts_json,point_counts_json,communication_bytes,frame_comm_time_ms,num_channels,bandwidth_mhz,communication_deadline_ms,sgcp_frame_mbps_budget,sgcp_frame_budget_bytes,sgcp_frame_budget_original_bytes,sgcp_frame_budget_admitted_bytes,max_senders_per_receiver,channel_estimator,ns3_tb_size_bytes,ns3_slot_duration_ms,ns3_subchannel_prbs,ns3_symbols_per_slot,ns3_mcs,pcs_rounds_requested,pcs_rounds_accepted,pcs_round_comm_time_ms_json,pcs_round_comm_bytes_json,channel_allocation,missing_channel_sources,pred_boxes,gt_boxes,skipped
2026_07_15_01_26_56,000060,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,hho_vanet,5,,4;6;7;17,4;17;7,17;7,"{""7"": 37, ""17"": 37}","{""4"": 4886, ""7"": 4597, ""17"": 4815}",150592,42.847608453837594,10,40.0,100.0,200.0,2500000,623200,623200,1,ns3,899,0.5,10,12,28,,,[],[],7>4:6;17>4:0,,25,38,
2026_07_15_01_26_56,000060,5,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,hho_vanet,5,,5;8;11;16,5;11;16,11;16,"{""11"": 37, ""16"": 37}","{""5"": 4909, ""11"": 4801, ""16"": 4790}",153456,42.7230255839822,10,40.0,100.0,200.0,2500000,623200,623200,1,ns3,899,0.5,10,12,28,,,[],[],11>5:1;16>5:5,,27,38,
2026_07_15_01_26_56,000060,9,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,hho_vanet,5,,2;3;9;14,9;14;2,14;2,"{""2"": 22, ""14"": 37}","{""2"": 697, ""9"": 4858, ""14"": 4980}",90832,44.31590656284761,10,40.0,100.0,200.0,2500000,623200,623200,1,ns3,899,0.5,10,12,28,,,[],[],2>9:8;14>9:2,,15,38,
2026_07_15_01_26_56,000060,10,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,hho_vanet,5,,1;10;19;20,10;20;1,20;1,"{""1"": 33, ""20"": 37}","{""1"": 4761, ""10"": 4953, ""20"": 4753}",152224,42.367074527252505,10,40.0,100.0,200.0,2500000,623200,623200,1,ns3,899,0.5,10,12,28,,,[],[],1>10:7;20>10:3,,36,46,
2026_07_15_01_26_56,000060,12,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,hho_vanet,5,,12;13;15;18,12;13;18,13;18,"{""13"": 37, ""18"": 3}","{""12"": 4891, ""13"": 4745, ""18"": 11}",76096,42.224694104560626,10,40.0,100.0,200.0,2500000,623200,623200,1,ns3,899,0.5,10,12,28,,,[],[],13>12:4;18>12:9,,12,33,
2026_07_15_01_26_56,000062,4,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,hho_vanet,5,,1;4;13;17,4;17;1,17;1,"{""1"": 23, ""17"": 37}","{""1"": 1511, ""4"": 4848, ""17"": 4835}",101536,43.02558398220245,10,40.0,100.0,200.0,2500000,623312,623312,1,ns3,899,0.5,10,12,28,,,[],[],1>4:8;17>4:0,,23,39,
2026_07_15_01_26_56,000062,11,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,hho_vanet,5,,2;8;10;11,11;10;2,10;2,"{""2"": 37, ""10"": 37}","{""2"": 4778, ""10"": 4847, ""11"": 4909}",154000,43.13236929922136,10,40.0,100.0,200.0,2500000,623312,623312,1,ns3,899,0.5,10,12,28,,,[],[],2>11:5;10>11:1,,27,46,
2026_07_15_01_26_56,000062,16,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,hho_vanet,5,,3;5;9;16,16;3;9,3;9,"{""3"": 37, ""9"": 27}","{""3"": 4786, ""9"": 4109, ""16"": 4866}",142320,42.58954393770856,10,40.0,100.0,200.0,2500000,623312,623312,1,ns3,899,0.5,10,12,28,,,[],[],3>16:2;9>16:7,,18,31,
2026_07_15_01_26_56,000062,19,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,hho_vanet,5,,6;15;18;19,19;6;18,6;18,"{""6"": 37, ""18"": 1}","{""6"": 4468, ""18"": 12, ""19"": 4823}",71680,39.75973303670745,10,40.0,100.0,200.0,2500000,623312,623312,1,ns3,899,0.5,10,12,28,,,[],[],6>19:3;18>19:9,,12,27,
2026_07_15_01_26_56,000062,20,all-cluster-heads,C:\Workspace\OpenCDA\docs\doc_workspace\SGCP\artifacts\early_from_late_checkpoint_20260719\enable_coperception_early_from_attentive.yaml,cov_potential_game,grid,utility,utility,none,0,0,,hho_vanet,5,,7;12;14;20,20;14;7,14;7,"{""7"": 37, ""14"": 37}","{""7"": 4643, ""14"": 4968, ""20"": 4908}",153776,44.209121245828705,10,40.0,100.0,200.0,2500000,623312,623312,1,ns3,899,0.5,10,12,28,,,[],[],7>20:6;14>20:4,,21,27,
